Total 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,8.10000038146973,8,7.19999980926514,6.09999990463257,6.90000009536743,9.5,10.3999996185303,10.5,9.39999961853027,8.19999980926514,8.19999980926514,8.19999980926514,7.69999980926514,6.90000009536743,6.19999980926514,6.69999980926514,6.40000009536743,6,5.5,5.09999990463257
Canada,7.59999990463257,11,11.8999996185303,11.3000001907349,10.6000003814697,9.60000038146973,8.80000019073486,7.69999980926514,7.5,8.10000038146973,10.3000001907349,11.1000003814697,11.3000001907349,10.3000001907349,9.39999961853027,9.60000038146973,9.10000038146973,8.30000019073486,7.59999990463257,6.80000019073486,7.19999980926514,7.59999990463257,7.59999990463257,7.19999980926514,6.69999980926514
Czech Rep.,,,,,,,,,,,,,4.30000019073486,4.30000019073486,4,3.90000009536743,4.80000019073486,6.40000009536743,8.69999980926514,8.80000019073486,8.19999980926514,7.30000019073486,7.80000019073486,8.30000019073486,8.30000019073486
Estonia,,,,,,,,,,,,,,,,,,,,13.6999998092651,12.5,10.1999998092651,10,9.5,7.90000009536743
Finland,4.80000019073486,5.30000019073486,5.40000009536743,5,4.90000009536743,5.19999980926514,5,4.40000009536743,3.09999990463257,3.09999990463257,6.5,11.6000003814697,16.1000003814697,16.3999996185303,15.1999998092651,14.3999996185303,12.6000003814697,11.3000001907349,10.1999998092651,9.69999980926514,9.10000038146973,9,9,8.80000019073486,8.30000019073486
France,7.40000009536743,8.10000038146973,8.39999961853027,9.80000019073486,10.1999998092651,10.3999996185303,10.5,10,9.39999961853027,8.89999961853027,9.39999961853027,10.1999998092651,11.5,12.1000003814697,11.3999996185303,12,12.1000003814697,11.5,10.8000001907349,9.5,8.69999980926514,9,9.80000019073486,10,9.89999961853027
Germany,,,,,,,,,,,5.59999990463257,6.59999990463257,7.90000009536743,8.39999961853027,8.10000038146973,8.89999961853027,9.80000019073486,9.19999980926514,8.60000038146973,8.10000038146973,8.19999980926514,8.69999980926514,10,11,11.1000003814697
"Hong Kong, China",,,,,3,2.70000004768372,1.70000004768372,1.29999995231628,1.10000002384186,1.29999995231628,1.70000004768372,1.89999997615814,1.89999997615814,1.89999997615814,3.09999990463257,2.70000004768372,2.09999990463257,4.59999990463257,6.09999990463257,4.80000019073486,5.09999990463257,7.30000019073486,7.90000009536743,6.80000019073486,5.59999990463257
Ireland,,,13.6000003814697,15.3999996185303,16.7999992370605,17.1000003814697,16.8999996185303,16.2999992370605,15.1000003814697,12.8999996185303,14.6999998092651,15.1000003814697,15.6999998092651,14.6999998092651,12.1999998092651,11.8999996185303,10.3000001907349,7.80000019073486,5.69999980926514,4.30000019073486,3.59999990463257,4.19999980926514,4.40000009536743,4.40000009536743,4.30000019073486
Japan,2.20000004768372,2.29999995231628,2.59999990463257,2.70000004768372,2.59999990463257,2.79999995231628,2.79999995231628,2.5,2.20000004768372,2.09999990463257,2.09999990463257,2.20000004768372,2.5,2.90000009536743,3.20000004768372,3.40000009536743,3.40000009536743,4.09999990463257,4.69999980926514,4.69999980926514,5,5.40000009536743,5.19999980926514,4.69999980926514,4.40000009536743
"Korea, Rep.",,,,,,,,,,,,2.5,2.90000009536743,2.5,2,2,2.59999990463257,6.90000009536743,6.30000019073486,4.40000009536743,4,3.20000004768372,3.5,3.59999990463257,3.70000004768372
Latvia,,,,,,,,,,,,,,,,20.7000007629395,15.1999998092651,14.1000003814697,14.3000001907349,14.5,13.1000003814697,11.8999996185303,10.6000003814697,10.5,8.60000038146973
Lithuania,,,,,,,,,,,,,,,,,,13.1999998092651,14.5,16.2999992370605,17.2999992370605,13.6999998092651,12.3999996185303,11.3000001907349,8.19999980926514
Netherlands,,,,,,,9.60000038146973,9.19999980926514,8.30000019073486,7.5,7,5.5,6.19999980926514,6.80000019073486,7.09999990463257,6.40000009536743,5.40000009536743,4.19999980926514,3.40000009536743,2.90000009536743,2.79999995231628,3.20000004768372,4.40000009536743,5.09999990463257,5.19999980926514
New Zealand,,,,,,4,4,5.5,7.09999990463257,7.69999980926514,10.1000003814697,10.1999998092651,9.39999961853027,8.10000038146973,6.30000019073486,6.09999990463257,6.59999990463257,7.40000009536743,6.80000019073486,6,5.30000019073486,5.19999980926514,4.59999990463257,3.90000009536743,3.70000004768372
