Total 15-24 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,50.4000015258789,50.2000007629394,50.4000015258789,50,50,50,50.0999984741211,50.0999984741211,50.0999984741211,50.2000007629394,50.7999992370606,50.5999984741211,47.7999992370606,50,45.9000015258789,48.7999992370606,48
Albania,38.9000015258789,38.5,38.5999984741211,38.7999992370606,38.7999992370606,38.2000007629394,38.4000015258789,38.0999984741211,37.7000007629394,37.4000015258789,37,36.7999992370606,36.4000015258789,35.9000015258789,35.5,35.2000007629394,35.5999984741211
Algeria,25.3999996185303,24.7000007629395,25.2000007629395,25.1000003814697,23.7000007629395,24.6000003814697,25.2999992370605,24.7999992370605,24.2999992370605,23.2000007629395,24.8999996185303,25.7000007629395,26.8999996185303,31,32.5,34.7999992370606,34
Angola,69.0999984741211,68.5,69,68.9000015258789,69.9000015258789,69.9000015258789,69.5,69.0999984741211,68.9000015258789,68.9000015258789,68.8000030517578,68.6999969482422,68.4000015258789,68.3000030517578,68.0999984741211,67.5,67.6999969482422
Argentina,42.9000015258789,43.2999992370606,43.2999992370606,43.7999992370606,43.5,44,44,43.2999992370606,42.2999992370606,42.2000007629394,41.2999992370606,40,41.2999992370606,40.7000007629394,40,39.4000015258789,39
Armenia,23.7999992370605,21.6000003814697,21,22.5,21.3999996185303,22.2999992370605,21.8999996185303,22.2000007629395,22,22.8999996185303,23.8999996185303,24.2000007629395,24.5,24,24.1000003814697,23.7999992370605,25.6000003814697
Australia,57.5,55.9000015258789,55.9000015258789,58.5,60.9000015258789,60.5999984741211,59.0999984741211,59.9000015258789,61.0999984741211,62.0999984741211,61.2000007629394,61.0999984741211,61.7999992370606,62.2999992370606,63.4000015258789,63.9000015258789,64.3000030517578
Austria,61.2999992370606,61.7000007629394,58.7999992370606,59.2999992370606,57.2999992370606,55.5999984741211,54.9000015258789,54.2000007629394,53.9000015258789,53,51.7000007629394,51.7999992370606,51.4000015258789,51.9000015258789,53.0999984741211,54.2000007629394,52.5
Azerbaijan,38.0999984741211,38.0999984741211,37.9000015258789,38.0999984741211,36.2000007629394,36.7000007629394,37.0999984741211,36.7000007629394,37,37.0999984741211,37,36.9000015258789,37.2999992370606,38.7000007629394,36.7999992370606,35.2000007629394,39.2000007629394
Bahamas,45.2000007629394,43.0999984741211,45.2999992370606,45.0999984741211,46.7999992370606,44.2999992370606,44.0999984741211,46.2000007629394,45.5999984741211,45.5,45.5999984741211,43.5,41.2000007629394,42,43.5,45.2999992370606,43.2999992370606
Bahrain,32,32.0999984741211,32.0999984741211,32.2000007629394,32.4000015258789,32.5,31.7999992370606,32.4000015258789,32.9000015258789,33,33.0999984741211,32.7000007629394,32.2999992370606,31.7999992370606,31.5,30.7999992370606,30.3999996185303
Bangladesh,66.5999984741211,61.9000015258789,63.7999992370606,61.4000015258789,58.2999992370606,59.2999992370606,58,58.7000007629394,57.0999984741211,56.2999992370606,56.9000015258789,57.4000015258789,58.0999984741211,56.7999992370606,56.2999992370606,55.7999992370606,55.9000015258789
Barbados,41.5999984741211,37.2000007629394,36.2000007629394,37.2000007629394,40.7000007629394,46.7999992370606,44.2000007629394,46.5999984741211,46.5999984741211,46.7999992370606,44,42.9000015258789,40.9000015258789,43.5,44.4000015258789,44.9000015258789,44.5999984741211
Belarus,40,39.5999984741211,39.2000007629394,38.7999992370606,38.2000007629394,38.0999984741211,38.2000007629394,37,35.7000007629394,35.5,35,34.7999992370606,34.7000007629394,34.4000015258789,33.7999992370606,33.0999984741211,33.9000015258789
Belgium,31.3999996185303,31.2000007629394,27.7999992370605,27.1000003814697,26.2999992370605,26.1000003814697,25.5,26.2999992370605,25.6000003814697,30.2999992370606,28.1000003814697,28.1000003814697,26.7000007629395,27.7000007629395,26.5,26.2999992370605,26.7999992370605
Belize,38.5,39.2999992370606,40.9000015258789,40.5999984741211,38.5999984741211,37.0999984741211,38,37.5,39.2000007629394,40.5,42.4000015258789,41.7999992370606,41.7000007629394,41.7000007629394,41.7999992370606,42.5999984741211,41.7000007629394
Benin,64.3000030517578,66.1999969482422,66.0999984741211,65.9000015258789,65.5999984741211,65.1999969482422,64.5999984741211,64.0999984741211,63.5,63,62.4000015258789,61.9000015258789,61.4000015258789,60.9000015258789,60.4000015258789,59.9000015258789,59.4000015258789
Bhutan,42.9000015258789,41.5,41.2000007629394,39.9000015258789,39,38.9000015258789,38.5999984741211,38.5,38.5,39.2999992370606,40.5,40.9000015258789,43.0999984741211,44.2000007629394,45.7999992370606,45.4000015258789,42.5
Bolivia,47.7999992370606,45.9000015258789,44.7000007629394,43.4000015258789,42,41,49.7999992370606,49.5,49,48.0999984741211,47.7999992370606,47.5999984741211,47.5999984741211,47.5999984741211,47.5999984741211,47.5999984741211,49
