Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,57.8016957208347,57.893687809515,57.9703478834154,58.0669395765298,58.0700059794858,58.12826763565,58.2294589331984,58.2309921346764,58.2555233583245,58.2708553731046,58.3168514174448,58.3321834322248,58.3352498351808,58.3352498351808,58.3352498351808,58.3352498351808,58.3383162381368,58.3383162381368,58.3367830366588,58.3367830366588,58.3429158425709,58.3444490440489,58.3444490440489,58.3444490440489,58.3444490440489,58.3444490440489,58.3306502307468,58.3229842233568,58.3229842233568,58.3229842233568,58.3076522085767,58.3076522085767,58.1604648666881,57.9749474878494,57.882955399169,57.881422197691,57.9396838538552,58.0577403676617,57.882955399169,57.882955399169,57.882955399169,57.882955399169,58.123668031216,58.125201232694,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,,
Albania,,44.963503649635,44.963503649635,45,44.8905109489051,45.1459854014599,45.2554744525547,45.4014598540146,45.2554744525547,45.0729927007299,44.8905109489051,43.7956204379562,42.8467153284672,41.8248175182482,40.9489051094891,39.4160583941606,39.2335766423358,40.4744525547445,40.6569343065693,40.7664233576642,40.8029197080292,40.7299270072993,40.6569343065693,40.5109489051095,40.6204379562044,40.5839416058394,40.5474452554744,40.5474452554744,40.7664233576642,40.5109489051095,40.9124087591241,41.1313868613139,41.1313868613139,41.0948905109489,41.0948905109489,41.1313868613139,41.2773722627737,41.4233576642336,41.5693430656934,41.7883211678832,41.7518248175182,41.5693430656934,41.6058394160584,40.9124087591241,40.9489051094891,39.3065693430657,40.8759124087591,40.8394160583942,43.1021897810219,43.9416058394161,,
Algeria,,19.0915045303014,18.8517638365229,18.6880180036444,18.5427460596035,18.5440056429333,18.5440056429333,18.5792739761687,18.5591206428913,18.5591206428913,18.5645788373206,19.0755498081235,19.0600149470555,18.6015266149958,18.614962170514,18.3701831434162,18.4827059208814,18.4033521711018,18.4079706433112,18.3983138377825,18.4025124488819,16.4463795376489,16.4195084266125,16.4929841208528,16.6306985649147,16.3959962044556,16.2435866215456,16.2817939825506,16.2977487047285,16.2738166214616,16.2385482882263,16.2158757882892,16.3179020380058,16.316642454676,16.6432943982131,16.6470731482026,16.6416149537733,16.6642874537103,16.7213885646628,16.681501759218,16.803261481102,16.8402092587772,16.7335645368512,16.7545575923484,17.27518536868,17.3028962019364,17.2903003686381,17.3201105074441,17.344042590711,17.3507603684701,,
American Samoa,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,,
Andorra,,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,53.1914893617021,53.1914893617021,51.063829787234,51.063829787234,51.063829787234,48.936170212766,48.936170212766,48.936170212766,46.8085106382979,46.8085106382979,44.6808510638298,44.6808510638298,44.6808510638298,42.5531914893617,42.5531914893617,42.5531914893617,40.4255319148936,40.4255319148936,40.4255319148936,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,38.2978723404255,,
Angola,,45.8570626453838,45.881126173097,45.8971685249058,45.9212320526189,45.9372744044277,45.9613379321408,45.985401459854,46.0094649875672,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0447581615465,46.0816555707067,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.0415496911847,45.9613379321408,45.9613379321408,46.0335285152803,46.1939520333681,46.1939520333681,46.1939520333681,46.1939520333681,46.274163792412,46.274163792412,46.7554343466752,,
Antigua and Barbuda,,22.7272727272727,20.4545454545455,22.7272727272727,20.4545454545455,25,25,22.7272727272727,22.7272727272727,25,25,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,27.2727272727273,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,29.5454545454545,,
Argentina,,50.3633951963869,49.8536553281519,49.2839890524685,48.7073800832392,48.1530608143414,47.8490439180178,47.3941147883027,47.2231052841206,47.2475874139928,47.2395485056766,47.1935074853199,47.1474664649632,47.1014254446064,47.0553844242497,47.009343403893,46.9633023835363,46.9172613631796,46.8712203428229,46.8251793224662,46.7791383021095,46.7330972817528,47.0528265897855,47.0071509743522,46.9607445490721,46.9147035287153,46.8686625083586,46.7495405033087,46.5452791510913,46.5525872495606,46.5489332003259,46.5452791510913,46.7608680559362,46.7572140067015,46.7535599574669,46.7499059082322,46.9289543207305,46.9234732468785,46.9198191976439,47.020305551597,47.0531919947089,47.0860784378209,47.1310232434072,47.9411259587312,48.8071356273454,49.1104217138222,50.3345282074331,51.375932239311,51.5220942086974,51.3393917469644,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0814606741573,41.4676966292135,42.1348314606742,43.6797752808989,45.8567415730337,46.7696629213483,46.6292134831461,46.4536516853933,46.4536516853933,46.6292134831461,48.8412921348315,50.7022471910112,52.8441011235955,56.3553370786517,61.6573033707865,61.4817415730337,61.3412921348315,61.5519662921348,,
Aruba,,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,,
