Aid received % of GNI,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,3.12995974125052,6.19107117699774,3.03525880935732,4.7830432298199,5.66117162263597,5.25292201970788,3.52441683836317,2.37581275173222,2.085261548919,1.89528598757886,1.54726028877081,2.37788631669901,3.38297453443932,3.1590377430352,2.23319878333301,2.87247242647059,2.73561696772835,2.83685574488913,2.44785766744473,2.79335695786147,0.855900528845979,0.645076819989704,,,,,,,,,,,,,,,,,,,,,32.063987275287,34.7809137316851,43.6797551715399,45.183058865134,41.7115881072778,56.741227368158,45.6284529741755,50.8536673510935,40.8676693215087
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261499388580566,0.442821812846789,0.526259401136042,29.7055837448384,60.1823174807759,22.2585627192865,8.19320964943234,7.31737274103887,7.34355555871426,7.48544950194542,9.6344062072898,13.9652404816504,8.3854709138009,6.33838469056451,6.71667242225896,6.09128730184591,3.92278825379479,3.73663067384497,3.42846752432274,2.79347285111987,2.76557707123835,2.97234602655908,2.89730661230005
Algeria,11.0210456060892,14.7337670916832,18.0483810391365,10.19820733865,7.83009322846343,4.78616498714078,4.34906362610709,3.27188111897912,3.15478634927325,3.08250388104631,2.57720511321431,2.40225852649365,1.63662380564822,1.44791271683432,0.976788069609937,1.48738433456075,0.784732206303644,0.593638755664983,0.703483367610619,0.315798176651539,0.484744207960271,0.388364861818752,0.310744417543142,0.199636490630437,0.233201651721266,0.306649420111104,0.270017652207082,0.328542481352882,0.301301744651981,0.294390814232011,0.553163972028286,0.48549993834782,0.812463406966767,0.67322373561365,0.719593786498258,0.74265829737265,0.687313449325547,0.539211327312234,0.908746882681754,0.297363927573178,0.3832944949912,0.371427045098923,0.346498100679002,0.364550583008075,0.388383893812286,0.356377962933338,0.212932854199984,0.29424592213354,0.191556013367263,0.228290535642368,0.127505841389117
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,1.44269747829914,2.22085866237175,1.94091312629043,2.3673286993045,2.14646960899682,3.23552180451748,2.81168050899313,9.78729722423828,8.93332792547266,23.0094864015873,11.2925799573317,7.80838445642196,9.5183009807673,45.5396941656365,29.5639262807698,12.2111411453187,9.52870957537066,8.22243702450003,4.59835009009667,6.94842664208408,1.55920518735557,0.434816767044839,0.456976737418676,0.559639384701569,0.409184907028182,0.327757073042078
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,8.15838262091458,4.8350993243105,3.6266842034492,5.05205152829164,7.38182416819982,3.68710004304635,2.21316870936228,1.3632862885181,1.4811990305135,2.40595007072325,2.2558153911645,2.73554606343999,1.31593428149156,1.33132966455614,1.91224877010631,1.18508984391452,0.691822856155043,0.850949001220771,0.485576875097262,0.777143107371309,0.771028998377537,1.64941575458654,1.70908236648336,1.31732183454184,1.133342362059,1.76064816672031,0.759988599336454,0.189528614193494,0.811516909160172,0.299632268361056,0.593649935335913,0.6764421655747,0.48478551872231,1.69985334771018
Argentina,,,0.158670626383558,0.201654291274404,0.065555394328548,-0.21390569991151,-0.032520935170496,0.089097040177708,0.156347358180065,0.08209669652399,0.030727405869353,0.08238540028198,0.068188130965634,0.086604849784927,0.04942219910123,0.044234875423917,0.059724525378978,0.049556966379804,0.048790229187438,0.061900588372993,0.022520345453402,0.056947943528329,0.037655928879522,0.048229786245806,0.064922768398101,0.046634197632761,0.082192385595128,0.093758089870596,0.126412502164026,0.300059260455646,0.124853841085351,0.148854517051816,0.11752993789394,0.096815539383205,0.057593865288755,0.056259808888124,0.049039000845233,0.035578946872814,0.027117705496005,0.027735942071574,0.018973022776257,0.055776532848555,0.086209103260216,0.087678548741848,0.06333754247457,0.054343732734692,0.055092736914479,0.039661840990495,0.040880817710264,0.042568314880858,0.03377400617157
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131643242088057,2.11134109274419,9.92764610472842,14.5494037918748,14.8377261934724,17.796570693865,9.55817985681415,9.93794445882352,11.0070279140029,10.9897680371265,9.69479822047379,12.1560233536519,8.74703520325538,6.87860134542949,3.38449232762738,3.26548992310219,3.69064567208248,2.49422960634729,5.96702736958176,3.53065182090654
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8682202566483,2.97382639853816,3.31941303910267,3.46623182251326,2.62456238220335,2.91764257007599,2.21964280989794,1.48300359819846,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
