Debt servicing costs (% of exports and net income from abroad),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24931583756159,0.12427321560951,0.17619482786723,0.37519465428925
Albania,,,,,,,,,,,,,,,,,,,,,,4.29879518072289,2.17545748116254,3.1763085399449,6.63629764065336,2.77322331647591,4.6533070521244,8.50236098386074,5.64365279529214,3.67423400539768,3.33402489626556,3.77649056226905,5.57549999529859,4.1558042535112,4.1214616444144,3.89947075638947,7.78351430158949,4.46523383977979,3.79904848739396,6.89496523720327
Algeria,,,,,,,,18.3628302650704,25.0929556393353,30.2025532779141,28.1657064615518,28.6412390983845,31.766390133083,34.7084384422504,37.7081982622817,36.3650103110045,58.6501545586432,56.1333586233532,80.1769870283446,69.0465303493726,65.0500965226192,71.6506347628434,,,,,,,,,,,,,16.3528950370793,11.8926715735031,22.4592199531302,2.00121058893516,1.43531246416695,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,8.40328697850822,8.14214339245566,10.6865441742766,6.2314489504932,5.12161983032874,8.14919177306749,12.0448945787434,18.3895520513415,19.2277025086402,41.4158311188726,26.7780225549108,20.7393619350162,33.0086585530024,16.8766042525873,15.2509805539979,13.5645427982707,10.7031354465047,13.1995362043451,9.78260872648968,2.54124248717666,8.43510583696454
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,34.4497122148796,27.4449391510834,42.2500893312915,22.7468334005647,37.3349491162292,45.6650317662008,49.9460481804203,69.6695206882425,63.3893833888384,60.1105140865524,82.8329148286393,74.2830835117773,44.2175176056338,36.1845623650556,36.9782394619911,33.5984192908505,27.4945493162803,30.9288564856196,25.134735777088,30.161393684374,39.3131061002722,49.8188737497678,57.0617752014778,74.7222927265122,69.366476455736,41.4014882885056,16.4676596665065,38.0801031043627,29.4335463345202,19.4250603809836,36.1769334540459,12.2930684546685,8.8066645794591,17.284073652792
Armenia,,,,,,,,,,,,,,,,,,,,,,,,1.15351357583444,1.93869531045324,3.18414141699376,9.56991416212824,5.10795200238709,13.2532279656259,12.2727558790828,8.3144828374239,8.47465042463194,9.64619824359215,10.8489507302443,11.4951476767545,7.38369501767961,7.0167255575182,7.30343226419905,13.275013341437,20.939584737924
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,1.27517986290527,1.21834548089621,6.63956420052983,2.27684443010646,4.67208842267424,5.97355584023109,5.23447318163846,6.09505354712739,6.72060232981481,5.40109838107736,2.73663547005898,1.90222835816827,0.88320103600719,0.89349136797355,1.69865991790503
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,28.4915990450255,25.2323952060143,20.4797251490657,23.4056982890649,22.1320351967373,18.4403438947814,21.3836383428047,21.8169491588896,23.472041233712,25.8027800895677,39.4742456160073,37.9692386313024,30.6142247466337,29.3772806004411,34.559745808734,27.0601829991472,19.8615785217315,16.4028959050327,14.6572851462438,16.0506071594339,13.644610508698,11.8950581593489,10.4502996266903,11.0125127741388,10.5101443136583,9.58606983578523,10.2180352911338,8.15347499421158,6.98268213383026,7.49408001821202,5.44071187885139,6.90701490411929,5.02169172517406,5.60712776586359
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,0.67959723446708,4.30174879611861,3.44412824890913,2.3052626915921,2.43171044772326,2.83338480110047,3.90561482750565,4.80757842561795,3.99209727873556,3.94856110107048,3.58415012433453,2.34842585522538,3.70704472503937,3.25973552292713,3.86992939321171,3.14090199099186,4.97670531828752
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,6.65742879137798,13.3785741517347,10.9813278008299,9.57802064359441,8.28387416398316,7.8745169356672,7.1620615324319,6.36717230649553,5.57123145912384,6.27323162274619,8.85343506007344,12.1948253777361,12.7686284455293,11.7169092680622,13.757826308379,11.0630257165663,17.2572271148681,21.6699308214467,38.5035955444162,29.4311131222978,60.8667334442524,36.7293115580168,17.6270607106514,75.9584828686374,12.2507560147243,13.6205256785393
Benin,,,,,5.23720144931951,4.12176642507165,3.58530013740553,2.35051179999937,3.08450456434907,3.57790543428262,8.36465134065044,4.8577341746741,12.91912155552,17.5843385476527,16.3682579752441,14.3670612512693,16.153982991728,8.85974837137303,9.15107542772316,8.81141979870613,9.86427894421291,5.4189277287788,5.13018570650926,5.44843271481889,7.08268441004551,7.51405322064096,6.32511018580064,9.16212036329071,9.96896868582212,10.9154888472988,13.4703150523122,8.60402409267423,8.9554562539701,5.21212440372561,4.97750082609723,5.93330527493748,4.16936365652838,2.14760989734055,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11105113628415,8.75220932870344,4.71497086258309,5.18745105311232,11.7027087749862,21.3382130089624,11.4432299558395
Bolivia,,,,,,,21.555957246149,23.9059511916655,52.5240793201133,33.4168765743073,34.9504638041503,35.6885277995302,59.2575130662021,51.3235817575083,63.263679245283,49.5671277461351,36.6585793627594,33.4908463385354,54.0182873730044,32.7677107892669,38.6992466097438,35.0369465973033,36.4101429113444,36.8634808520031,28.966494415736,29.4679502416607,30.7767996243096,31.4148435226581,29.229394307298,28.4597043395327,39.4158887212994,33.1507524007474,28.8023508281547,21.279525007199,19.6758646142742,15.5790132364481,9.22918190823215,13.9136693115755,12.9717966627134,14.3989500671469
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15077393278405,14.1500829040002,13.8219683756563,7.75722029520898,7.57864338957161,6.84869289382848,6.76084359952964,7.06028089872342,6.4640913824037,5.5274141850261,10.5428067654934
Botswana,,,,,,3.21408420633485,1.55245806199125,1.88854668998639,2.46043160660812,1.61177080311014,1.8916934097864,1.61374509694424,2.24585666986458,3.00619881096592,3.71177063130547,5.35025148953943,4.25489724235081,3.87139131913481,4.243158849497,3.33935302595347,4.34871445646383,3.42921686395936,3.90546170601865,3.61820259105046,4.01071050018696,3.14761754486654,5.24362766166267,2.82514673589977,2.59536589179827,2.15822414194039,2.03311036890791,1.72954603867224,1.95794872059809,1.24664539448352,1.02606755345877,0.92384745724001,0.97268341265371,0.78068527587477,1.14744568688919,1.21681877444589
Brazil,,,,,,43.459885300332,37.9173978551804,42.4622057735011,58.0518117192353,62.841354594955,63.4046444683136,66.3895665416187,81.8735395628276,54.6565219177519,45.3880417149479,39.1347504179604,46.2252596394891,41.6196658545075,45.7452488933547,36.3680887240127,22.4512676521596,23.2199542436248,21.0804946462109,24.2327884551144,31.1200480356167,38.455338871261,43.5852720547566,63.9212811134187,80.6527991080542,120.18550290855,95.0714218002866,76.9955229746908,70.9995910827374,67.1012358246614,47.8367273435649,45.6868032238152,37.978029441473,28.0145671886813,23.4367796835406,23.3802677543117
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,0.71517125446522,1.71241766547889,2.98918300328391,4.11885400737609,10.22765625,15.6020988150231,17.1950043215212,22.1668372666098,26.8262112705344,19.4409618104668,6.5714251639833,8.75082495438488,6.57614620070535,13.0359890838798,16.4613851951315,19.7763468588827,15.6253429513857,21.9295641027291,20.172829608678,17.7040642008769,17.2242248620171,16.4636165240497,9.86022734778571,15.1584150415414,22.4328615354942,12.4485194312865,15.2686721790578,16.8334719343012,21.2966149326979
Burkina Faso,,,,,4.47891545129417,5.50069777542461,4.39287279800873,4.61899070757188,5.25738874161604,5.07406897554989,9.83653749767428,9.39185164064791,10.7630075080956,11.5269744916739,12.3601424536427,17.5946546907154,18.2215422940604,12.52969786724,13.6515897855594,15.1887323205374,9.35124598682464,12.9512447513157,10.3389388557334,12.1140801316923,15.2716743851952,,,,,,18.5709340154265,13.6938784132657,,,,,,,,
Burundi,,,,,,,,,,,,,,,,20.4205134197309,24.5041086759241,41.327260074609,33.2893805148941,36.4307521688578,43.4154240159442,29.9379213381723,36.5347319335346,36.1922965870589,39.4807461347586,27.6495250587427,53.9508297439441,30.3281914078269,42.339187787144,47.5097383994328,39.4403459487254,49.7073175834699,59.1937343956181,63.5492979176559,134.099963969507,39.8450693701235,18.8591573729854,19.3965421703727,13.2650994558755,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,4.14640356460853,9.88962053827944,0.35352241537054,0.74634794156706,1.07802197802198,0.9702981148619,1.14144607145683,2.20225875999243,1.66519467057075,1.02428748143335,0.88579656889735,0.95085557846167,0.80874307424898,0.75784662095467,0.60220721338199,0.52652521807131,0.65154797295514,0.82666314310061
Cameroon,,,,,,,,6.91378247303045,9.55977241323876,10.3547117681005,13.3344435962461,16.5898598606047,21.5091516798087,19.0423517843276,20.41020677623,30.2253469924572,26.1148606181846,30.782086277672,29.1029211013102,17.2861404976681,20.5242980837395,17.6499141419586,16.5118005441827,24.5657266747755,21.3007881889176,21.0066374863934,20.0852831325955,20.2707134931377,21.1367481560157,24.7318299605342,21.4523853825953,12.2251792087995,11.8614051899048,13.4729467190496,15.4968354453601,19.1784592672446,10.5059629465501,8.01519294828141,6.41854817960681,7.35123600765276
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,1.15347329305573,4.40343149446967,7.75513957523477,16.224747372359,15.6536415403135,12.6191412210067,16.2309663090584,17.0307843204736,11.4586161299222,9.08401260784062,14.7422150197916,18.8517483383182,12.3530206325126,14.3335755422236,11.1548807836266,7.63430806192469,10.4784193231866,16.0866352382306,15.122132615117,10.4650926732728,7.66004991097828,11.2246095897804,6.89422351747537,7.54962816139739,9.38129108082729,6.28493011474973,4.86532308378726,4.17204671024384,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,3.31196735458712,3.57673095080322,2.34869721341459,4.86410886224253,6.08789850021986,5.05408573602268,12.8446454203166,16.2742351748582,14.2184036361399,15.0838126961046,14.068212773599,13.7839308460908,15.6678816976097,13.2125563847801,8.32019614904147,9.25710504136952,4.96305291281945,12.9294550251892,,,,,,,,,,,,,,,
Chad,,,,,,,,2.6047093022617,5.39817336826589,3.90339640825673,8.39009203410873,8.70733465032183,2.79712945942785,1.05487675034328,5.18845035564883,17.5171845870348,5.39020866405687,4.11690922107394,4.241745283484,5.86895664726783,4.31043369089328,4.30806820050105,4.10664724722763,6.7032437639176,8.03625526085915,,,,,,,,,6.03018166309413,1.70578088837194,1.68031991433286,1.52744990243454,1.79720014991724,3.16065216435917,2.76709597110529
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,34.5590662323561,40.444824742268,46.1641739793972,53.5599195710456,44.0063000421408,43.1104684512428,64.7740114000712,71.3257081878153,54.4661146760505,59.8767471958585,48.3539474860668,40.6465518820069,36.2874091786995,25.7821320942742,27.0692155101999,25.890106399873,23.1832468826217,20.8388716528305,23.0805553736328,18.8877963254313,24.5411491911561,28.3416541820104,17.4033302316683,17.522680219619,22.4560915301085,24.8008529599559,27.836819059257,32.6276809168714,28.4954603973304,23.5890255106147,14.9167925215107,20.8146250691741,13.8101861465762,19.0157865419946,22.6097143009718
China,,,,,,,,,,,,,8.59246229123701,10.8809015564989,7.95374599637933,8.36019027698121,9.69094286738585,9.59381024734102,9.63398830754944,11.364788704065,11.6854763126956,11.9230662050936,10.20935885893,11.1419762828522,8.91413567300149,9.88362097666981,8.80223468680864,8.66155652292333,8.65454443025614,11.7136937730599,9.27360239349807,7.9453401425532,8.316682517311,7.38154924653348,3.43805208591894,3.124479179119,2.46156728576337,2.25825841479017,2.05513370739674,2.90100094164722
Colombia,28.1909715408756,27.0977384594576,26.5570337732164,22.3777640168058,21.3408000355837,14.475288893728,13.1129121542112,10.8113100120523,11.6704021216523,14.4734053737595,16.2326787645864,22.345168255642,29.983610499829,38.9973921520838,30.4701201201201,42.713431542461,34.0444058058664,40.0417129036847,47.0544092465753,51.3217637008805,43.0914690892976,39.5680266374442,41.3433764144034,35.2699341554388,49.148720754672,33.4945646571004,38.9256212510746,29.7964266115647,31.4786878200508,44.3230551163106,30.2909016900266,39.4814703198004,45.7367006450629,53.0971400552743,38.1574175969031,40.2140934250362,34.3989203247303,23.933136080859,17.8133391540001,22.4237181664617
Comoros,,,,,,,,,,,2.87297936983477,4.34242929795991,3.75131770900338,6.44941316268171,26.0084393229256,10.6454886890194,7.59120701694816,5.85189949234864,2.57662342183762,3.83277979440403,2.9071739958159,15.4094267367079,11.0282462609316,3.88093908316299,6.60623641016678,1.9603570381361,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,5.37094335012494,13.3391933880808,10.5587312444811,20.4372175382504,19.887605978953,28.5636939257118,26.6466308986776,34.321140399342,46.235528337371,45.0345855630325,46.0687847747244,27.9268593782197,34.571771482249,26.1128368727795,14.7161642155283,13.3399071046539,51.9778413909941,13.4928886333794,19.504348338004,6.66197014663795,3.0683223393363,1.50973047885905,1.68366553658952,4.23247006144091,1.20242786380233,2.31107377711322,5.78442495683625,2.24644520242479,1.36993965549322,1.74354650988946,,
Costa Rica,,,,,,,,21.575379217831,39.8560975609756,34.8870691982363,29.0823896274413,27.6052697406821,21.3965366450936,59.7253965546648,32.3257212453376,41.461029759093,34.7140674906263,22.4145949205924,24.2712201591512,17.7224784747847,24.11339861476,18.3406927723934,20.2672285756721,18.4036390150134,14.7856031800899,14.1823679116003,12.0915909813406,10.3001757662309,7.79709673081415,6.61153987848752,8.12428151503747,9.93243228548861,9.2485222552305,9.96264357563893,10.4119110650707,7.99789849056509,6.46998669238704,6.67359662037802,10.969971996358,9.61523134604415
Cote d'Ivoire,,,,,,9.46322490516623,11.2647017826149,10.927204946218,15.317124530442,20.1107601320354,38.6594879615126,52.5758170620928,54.1458711188814,49.9374590161951,37.5496857668814,34.8246619993877,35.4481556875854,38.3986258914091,32.3870239935898,33.2267940750424,35.437951100531,37.8612681930468,32.077988378367,33.2231438082324,35.1717934336155,23.1122534008316,26.5259742292168,26.1878872593632,25.6678888796204,26.7830855132371,22.6131186145754,13.2640805050016,13.8294662639204,8.60824024847113,4.96224428797336,3.50144081801694,2.80796346676087,4.36933900466829,9.00761982828473,9.4587087606415
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,4.02490827040998,4.70999993674888,3.6169915305317,4.66635654579732,5.0496539869481,5.42160941500525,3.13218390160361,2.20195721992006,4.33106144651694,6.07007403142709,4.45441000550807,4.93504414878207,5.62953812040941,6.31513456310679,4.88459941589402,6.19021950733235,6.61705959264991,6.15378218554431,
Dominica,,,,,,,,,,,,2.48360655737705,2.81345565749235,5.63081510934393,9.89304812834225,9.91709844559586,7.69257308879608,11.1870604026846,8.02219720846466,8.95101434933202,6.17045049328421,5.99245356037152,5.64874856741472,7.11489188388623,7.15766606822263,6.14637816868438,5.60418213681051,7.51211682673334,6.66104105432824,6.57856700392316,7.22457795431977,12.8465370772047,9.58198090558028,12.4249086471274,12.2283615023077,11.9999952363372,11.818791521082,12.3620457184296,10.770785165592,12.025787494718
Dominican Rep.,17.2998065764023,16.9653753856702,13.4246243334949,15.3001549186677,9.15057127312296,10.6616430260047,12.6245457742351,14.8780202235232,19.625589066918,27.6261570106274,28.8505064351535,25.9878640776699,34.534287209911,29.8757107391687,19.224371092046,22.4788753347218,26.1302374301676,19.5061908692615,17.7701925088931,15.5537006658304,12.1033368091762,13.591400061722,17.5922779529962,6.67522723993652,9.43300011232169,6.98146409735616,7.0872673214088,6.33380088046996,4.8987346736033,4.61026409759546,5.61808074265976,7.18517406269491,7.85518146247745,9.95542169972953,8.10944346042696,9.61563521638737,11.3076508575326,10.8182722586912,11.2283561665632,12.1485670846194
Ecuador,,,,,,,10.623271406621,12.0833845775427,19.3791992636908,45.3160257187917,33.8873146644885,46.6371619365609,78.4326261887345,29.5893521965748,37.6910804442948,32.9629840888622,43.1101758323981,33.9220647773279,39.7586025544703,35.5470934256055,32.9717979920901,32.1626236183828,26.0295763389289,24.0078983209495,21.2202601315637,26.5537958844472,23.02927939797,30.4511792036509,34.1490171433925,41.2340526808101,31.4241947015722,34.9364622384561,34.7949611467126,32.8618550994835,41.5393509374636,36.3049578886916,29.2526875399937,22.5811397124952,13.1407870430055,40.8055942137439
Egypt,,,,,,,,13.7875578843493,15.9369792460343,11.8269640418876,18.9560926678247,22.3658757789848,23.7411391940682,28.6262838638279,32.8272804545662,38.6765458757018,42.2557776487405,22.9182158772726,32.0858380171381,36.4735393671817,28.579268009115,22.084915727958,21.7862775384115,17.5518167330677,16.5558241594763,16.0456732713304,14.5824399724155,12.411594730629,13.0187937422808,12.8470517011745,9.77906058179877,11.3111384839983,12.122145645742,12.9939870243765,7.99885190708938,7.06187696787923,6.29067162752768,6.15862242438217,5.61109218469797,6.45076423762637
