"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0.001104587302675,0.001321139638557,0.001307899753244,0.001153026038856,0.00121156522344,0.001253963830164,0.001264080994376,0.001356735298606,0.001293998157866,0.001283293153146,0.000985922351652,0.000954106650653,0.000991661139916,0.00104134826517,0.000949881483335,0.000988337482153,0.000931496025846,0.000905000353694,0.000891122127832,0.000744564115394,0.000581702739774,0.000427977433614,0.000411324874779,0.000401928703213,0.00039348738118,0.000425575492105,0.000356373196822,0.000352527429843,0.000348209162877,0.00032098672594,0.000286896507351,0.000310463081814,0.000336655828804,0.000368942490562,0.000371221911006,0.000377535752788,0.000332773337245,0.000362527216817,0.000392706789784,,
Algeria,,,,,,,,,,,,0.002930187085329,0.003748940784111,0.003753056511828,0.003431465208018,0.003311355243209,0.003555721980391,0.003637296396365,0.00394391746473,0.004162698481577,0.00349469589897,0.00345577318218,0.00335103063111,0.003569183144039,0.003594427629826,0.003654611499944,0.003696667692296,0.003795435299829,0.003785036111772,0.003842324094681,0.003957199841481,0.003956383857502,0.003923934055349,0.003862402600407,0.003625996979001,0.003772636788083,0.003913985880014,0.004160271801886,0.004283635768435,0.004551584819567,0.004658605781712,0.004415444648339,0.004552614114794,0.004866778759384,0.004873769788216,0.005067638975617,0.004939544508237,0.004845570059285,0.004706747653394,0.004357401973003,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0.001507701890426,0.001701892248553,0.001847431603649,0.001870969679971,0.00171683872903,0.001638713585995,0.001532691043246,0.001416899321215,0.00148576483626,0.001479438156058,0.00130378909346,0.001269527821446,0.001519922319277,0.001626119823569,0.001736624050445,0.001966921175,0.002334192740282,0.002761685177475,0.002704645788484,0.002772315998023,0.002811795919,0.002976916561164,0.002685204124255,0.00280574957251,0.003008199102775,0.003195607708353,0.00324880042482,0.003270477722896,0.003223324815945,0.003136508192047,0.003020205870848,0.003454153507806,0.00333002884641,0.003610194166239,0.004300215640456,0.004702594171107,0.005423803792525,0.005864105117407,0.005440960565321,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,0.001253605897479,0.001248912844124,0.001210259658714,0.001203509965677,0.001174766555934,0.001171640234999,0.001215596596134,0.001242499423415,0.001311719718901,0.001379739319982,0.001381305104437,0.001378643539236,0.001426058119518,0.001435884448906,0.001401953763296,0.001391377893027,0.001385292179205,0.001457909403756,0.001467694506753,0.001483256307846,0.001517422579166,0.00161961597343,0.001675878769473,0.001812903540324,0.001918703973816,0.002041618083066,0.002169208680213,0.002205043487078,0.002190905680297,0.00222754250399,0.002264942583954,0.002159907099121,0.002217508365711,0.002272504798938,0.002189308680238,0.002208712389987,0.002105007012537,0.002086386721477,0.002017316730596,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000038737324368,0.000038503142466,0.000076150599721,0.000109818408823,0.000092123177351,0.000076070691831,0.000233835983715,0.000172023353056,0.000176027732775,0.000208935800667,0.000205443389645,0.000196383663697,0.000241188448342,0.00022615055967,0.000243721698994,0.000280919739826,0.000275568725968,0.000268671883666,0.000258865371456,0.000267403116845,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
