Female agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,12.5,,11,22.2999992370605,,,
American Samoa,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,1,,0.69999998807907,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,1.10000002384186,,,,,,
Argentina,,,,,,,,,,,0.20000000298023,0.10000000149012,0.30000001192093,0.30000001192093,0.20000000298023,0.40000000596046,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.30000001192093,0.5,1,0.89999997615814,0.60000002384186,0.30000001192093,
Armenia,,,,,,,,,,,,,,,,,,,,,,3.90000009536743,42.5999984741211,43.4000015258789,44.5999984741211,46.4000015258789,46.0999984741211,
Aruba,,,,,,,,,,,,,,,0.10000000149012,,,0.30000001192093,,,,,,,,,,
Australia,4.09999990463257,4.5,4.30000019073486,4.30000019073486,4,4.40000009536743,4.30000019073486,3.79999995231628,4.19999980926514,3.70000004768372,3.79999995231628,3.70000004768372,3.59999990463257,3.79999995231628,3.59999990463257,3.59999990463257,3.5,3.59999990463257,3.5,3.5,3.5,3.5,3.09999990463257,2.59999990463257,2.70000004768372,2.5,2.40000009536743,2.40000009536743
Austria,,,,12.5,10.8000001907349,10.5,10.1999998092651,10.1000003814697,9.30000019073486,9.19999980926514,9.39999961853027,8.5,8,7.80000019073486,8,8.5,8.39999961853027,7.5,7.30000019073486,6.80000019073486,6.09999990463257,6.09999990463257,6,5.80000019073486,5.19999980926514,5.59999990463257,5.69999980926514,5.90000009536743
Azerbaijan,,,,,,,,,,,,,,,,,,,,47.5999984741211,46.0999984741211,42.7999992370606,39.4000015258789,41.7999992370606,38,37.4000015258789,36.7000007629394,42
Bahamas,,,,,,,1.70000004768372,,,2.20000004768372,,1.5,1.5,1.39999997615814,1.60000002384186,1.10000002384186,1.20000004768372,2.20000004768372,1.29999995231628,0.89999997615814,,1.39999997615814,1.70000004768372,0.60000002384186,0.40000000596046,0.30000001192093,0.5,0.20000000298023
