Female salaried employees (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,57.7000007629394,,65.8000030517578,49.7999992370606,,,
American Samoa,,,,,,,,,,,98.5,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,82.9000015258789,,66.0999984741211,,,,,,
Antigua and Barbuda,,,,,,,,,,,,82.5,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,70.1999969482422,71.4000015258789,72.5,71.3000030517578,72.0999984741211,74.9000015258789,74.3000030517578,75,75.5,75.9000015258789,76.4000015258789,76.0999984741211,78.0999984741211,78.5999984741211,78.5999984741211,79,80.1999969482422,
Aruba,,,,,,,,,,,,95.1999969482422,,,93.9000015258789,,,,,,,,,,,,,
Australia,86.5999984741211,87.0999984741211,87.1999969482422,87.3000030517578,87.8000030517578,87.3000030517578,86.8000030517578,87.1999969482422,87.0999984741211,87.8000030517578,87.8000030517578,87.4000015258789,87.1999969482422,86.9000015258789,87.4000015258789,87.9000015258789,88.0999984741211,87.8000030517578,88.5999984741211,88.9000015258789,89.3000030517578,89.6999969482422,89.5999984741211,90,90.1999969482422,90.1999969482422,90.6999969482422,91
Austria,,,,,,,,,,,,,,,86.3000030517578,85.8000030517578,86.1999969482422,86.8000030517578,86.9000015258789,87.4000015258789,87.8000030517578,87.9000015258789,88.3000030517578,88.6999969482422,89.6999969482422,89.0999984741211,88.6999969482422,87.6999969482422
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,52.5999984741211,33.2000007629394,33.7999992370606,33.7999992370606,32.7000007629394
Bahamas,,,,,,,,,,,,,,88.5,88.3000030517578,87.5,85.6999969482422,89.0999984741211,89,88.1999969482422,,89.8000030517578,89.0999984741211,89.0999984741211,87.4000015258789,,,
Bangladesh,,,,,,,,,,,,,,,,,8.69999980926514,,,,8.30000019073486,,,13.3000001907349,,11.6999998092651,,
Barbados,,,,,,,,,,,90.6999969482422,91.1999969482422,90.5999984741211,89.8000030517578,90,90.1999969482422,89.1999969482422,91.0999984741211,90.4000015258789,90.3000030517578,91.8000030517578,90.5999984741211,90.5,91.0999984741211,89.5,,,
Belgium,82.5,82.3000030517578,82.1999969482422,81.8000030517578,81.8000030517578,81.9000015258789,82,82.0999984741211,82.5,82.4000015258789,82.5,82.3000030517578,82.3000030517578,81.9000015258789,82.0999984741211,82.0999984741211,82.4000015258789,82.9000015258789,83.5,84.0999984741211,,,,,,87.6999969482422,88.1999969482422,
Belize,,,,,,,,,,,,,,76.3000030517578,75.1999969482422,74.6999969482422,75.0999984741211,70.5999984741211,72.3000030517578,71.5,,,,,,73.9000015258789,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
Bolivia,,,,,,,,,,45.2999992370606,48.4000015258789,46.7999992370606,45.5,47.2999992370606,43.7999992370606,42,39.9000015258789,39.0999984741211,,37.2999992370606,43.4000015258789,27.8999996185303,26.5,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0999984741211,
Botswana,,,,,36.0999984741211,,,,,,,,,,64.9000015258789,,,,74.8000030517578,,67.9000015258789,81.9000015258789,,71.9000015258789,,,,
Brazil,,,,,,,,,,,68,,60,60.4000015258789,,60.2000007629394,63.2999992370606,59.9000015258789,60.4000015258789,59.4000015258789,,64.9000015258789,64.4000015258789,64.8000030517578,65.5,64.8000030517578,66,
British Virgin Islands,,,,,,,,,,,,91.9000015258789,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,96.0999984741211,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,87.3000030517578,,88.1999969482422,88.3000030517578,88.8000030517578,89.9000015258789,90.5999984741211
Burkina Faso,,,,,,0.89999997615814,,,,,,,,,1.39999997615814,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,12.1000003814697,13.6000003814697,,,,,,
Cameroon,,,,,,,,,,,,,,,,,5.69999980926514,,,,,8.69999980926514,,,,,,
Canada,92.0999984741211,92.4000015258789,92,91.8000030517578,91.5999984741211,90.9000015258789,92,90.0999984741211,90,90.1999969482422,89.9000015258789,89.8000030517578,89.5,88.8000030517578,88.3000030517578,88.3000030517578,87.5,86.6999969482422,86.6999969482422,87.0999984741211,87.6999969482422,88.8000030517578,88.5999984741211,88.6999969482422,88.8000030517578,88.5999984741211,88.6999969482422,88.5999984741211
