Female above 15 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,26.8999996185303,26.6000003814697,26.5,26.2000007629395,26.1000003814697,25.8999996185303,25.8999996185303,25.7999992370605,25.7000007629395,25.7999992370605,26.1000003814697,26.2000007629395,25.1000003814697,26.2999992370605,24.7999992370605,26.2000007629395,25.6000003814697
Albania,42.5,41.9000015258789,41.9000015258789,42.2000007629394,42.4000015258789,42.2999992370606,42.0999984741211,42.0999984741211,42.0999984741211,42.0999984741211,42.0999984741211,42.2000007629394,42.0999984741211,42.0999984741211,42,41.9000015258789,42.0999984741211
Algeria,17.8999996185303,17.7999992370605,18.5,18.7999992370605,18.2999992370605,19.1000003814697,19.8999996185303,20.2999992370605,20.6000003814697,20.6000003814697,22.1000003814697,23.1000003814697,24.3999996185303,27.2999992370605,28.7999992370606,30.5,31.7000007629394
Angola,68.8000030517578,69.5999984741211,68.3000030517578,69.3000030517578,67.6999969482422,67.8000030517578,67.6999969482422,68.0999984741211,68.3000030517578,68,68,68.3000030517578,68.1999969482422,68.4000015258789,68.6999969482422,69.1999969482422,69.4000015258789
Argentina,36.5999984741211,36.9000015258789,37,37.2999992370606,37.2000007629394,38.4000015258789,39.2000007629394,39.7000007629394,40,40.9000015258789,41.4000015258789,41.7000007629394,43.5999984741211,44.4000015258789,45.0999984741211,45.7999992370606,45.9000015258789
Armenia,32.4000015258789,31.7000007629394,31.2000007629394,31,31,32.0999984741211,31.5,32.4000015258789,31.6000003814697,32.2000007629394,33,33.7000007629394,33.9000015258789,33.2000007629394,33.7999992370606,33.7000007629394,34.2000007629394
Australia,47.2000007629394,46.7000007629394,46.5999984741211,47.7000007629394,49.4000015258789,49.2999992370606,49.2999992370606,49.9000015258789,50.2999992370606,51.4000015258789,51.5999984741211,51.9000015258789,52.5,52.5999984741211,54,54.5999984741211,54.5999984741211
Austria,42.0999984741211,43.2000007629394,43.4000015258789,46.0999984741211,46.2000007629394,45.7000007629394,45.7999992370606,45.9000015258789,46.4000015258789,46.5,47,48,48.4000015258789,47.7000007629394,48.5,49.4000015258789,49.7000007629394
Azerbaijan,51.0999984741211,51.2000007629394,51.0999984741211,50.5,50.0999984741211,50.5999984741211,51.5,51.7999992370606,52.0999984741211,52.5999984741211,52.7999992370606,52.9000015258789,53.2999992370606,54.7000007629394,54.4000015258789,54.7999992370606,56.2000007629394
Bahamas,56.5,53.7999992370606,55.5999984741211,54.7999992370606,56.5,55.4000015258789,57.7999992370606,59.2000007629394,59.5,60.7999992370606,61,59.5999984741211,58.4000015258789,59,59.2000007629394,61.2000007629394,60.7000007629394
Bahrain,25.7999992370605,26.2999992370605,26.7999992370605,27.2999992370605,27.7999992370605,28.2999992370606,28.7999992370606,29.2999992370606,29.8999996185303,30.3999996185303,30.8999996185303,30.7000007629394,30.5,30.2999992370606,30.2000007629394,29.7999992370606,30.2000007629394
Bangladesh,60.9000015258789,58.5999984741211,58.2000007629394,56.7000007629394,54.5999984741211,54,53.5999984741211,53.7000007629394,53.2000007629394,53,53.2999992370606,53.5999984741211,53.5,53,53.0999984741211,53.2999992370606,53.5999984741211
Barbados,48.7999992370606,46.4000015258789,45,46.2999992370606,50.5,54.5999984741211,53.7999992370606,55.0999984741211,56.9000015258789,58.2000007629394,58.2000007629394,57.9000015258789,57.7000007629394,58.7000007629394,59.5,60.0999984741211,60.2999992370606
Belarus,53.2999992370606,52.5,51.5999984741211,50.7999992370606,50,49.5999984741211,49.5999984741211,48.7999992370606,47.7999992370606,48.0999984741211,48.0999984741211,48.2000007629394,48.4000015258789,48.7999992370606,48.9000015258789,49,48.5999984741211
Belgium,33.7999992370606,35,35.0999984741211,34.9000015258789,35.4000015258789,35.4000015258789,36.0999984741211,36.5,38.5999984741211,39.9000015258789,38.7999992370606,39.0999984741211,39.4000015258789,40.4000015258789,41.5,41.2000007629394,41.7000007629394
Belize,20.2000007629395,22.8999996185303,26.2000007629395,29.2999992370606,28.8999996185303,28.8999996185303,28.8999996185303,29.3999996185303,30.7000007629394,32.9000015258789,35,35.4000015258789,36.0999984741211,36.9000015258789,37.0999984741211,39.2999992370606,38.7999992370606
Benin,54.2999992370606,57.4000015258789,57.2999992370606,57.4000015258789,57.4000015258789,57.5999984741211,57.7000007629394,57.5999984741211,57.7000007629394,57.7999992370606,57.9000015258789,57.9000015258789,57.9000015258789,57.9000015258789,57.7999992370606,57.7999992370606,58.2000007629394
Bhutan,23.6000003814697,22.1000003814697,21,19.7999992370605,19.1000003814697,19.1000003814697,19.3999996185303,20.1000003814697,21.1000003814697,22.7999992370605,25,27.1000003814697,30.5,33.2999992370606,36.2000007629394,38.0999984741211,39.9000015258789
