Female 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,3.20000004768372,2.90000009536743,3,2.90000009536743,2.79999995231628,3.5,3.29999995231628,4.09999990463257,4.5,3.40000009536743,3.79999995231628,3.79999995231628,3.90000009536743,3.09999990463257,2.79999995231628,2.79999995231628,2.59999990463257,2.90000009536743,2.70000004768372,2.5
Canada,4.09999990463257,6.19999980926514,7.40000009536743,6.80000019073486,7,6.90000009536743,7.19999980926514,5.69999980926514,5.5,5.19999980926514,7.59999990463257,8.19999980926514,9,8.10000038146973,7.69999980926514,7.19999980926514,7.09999990463257,6.30000019073486,5,5.30000019073486,5.5,5.5,5.30000019073486,5.5,5.19999980926514
Czech Rep.,,,,,,,,,,,,,5.90000009536743,3.79999995231628,3.59999990463257,4.09999990463257,4.59999990463257,4.69999980926514,5.09999990463257,5.09999990463257,5.5,4.69999980926514,5.09999990463257,6,5.59999990463257
Estonia,,,,,,,,,,,,,,,,,,,,6.80000019073486,8.30000019073486,5.5,5.59999990463257,5.40000009536743,3.40000009536743
Finland,5.19999980926514,6.5,6.5,7.19999980926514,7.19999980926514,6.30000019073486,4.30000019073486,4.30000019073486,3.40000009536743,2.59999990463257,4.40000009536743,9,13.8000001907349,16.5,17.7999992370605,20.7999992370605,14.3000001907349,12.5,9.10000038146973,9.10000038146973,8.60000038146973,7.80000019073486,7.30000019073486,6.80000019073486,6.30000019073486
France,6.09999990463257,6.30000019073486,6.59999990463257,7.30000019073486,7.5,7.5,8.5,8.30000019073486,8.10000038146973,7.90000009536743,8.30000019073486,8.89999961853027,8.80000019073486,8.19999980926514,8.10000038146973,8.69999980926514,9.30000019073486,9.19999980926514,8.80000019073486,8,7.09999990463257,7.19999980926514,7.80000019073486,7.59999990463257,7.09999990463257
Germany,,,,,,,,,,,8.60000038146973,9.89999961853027,11.6000003814697,12.3999996185303,12.6000003814697,14.6999998092651,16.2000007629395,15.5,14.6000003814697,13.5,12.8000001907349,11.6999998092651,12.1999998092651,12.6000003814697,11.8999996185303
"Hong Kong, China",,,,,0.89999997615814,1.10000002384186,0.60000002384186,0.40000000596046,0.30000001192093,0.10000000149012,0.30000001192093,0.80000001192093,1,0.5,1.60000002384186,0.89999997615814,0.60000002384186,2.09999990463257,2.59999990463257,1.79999995231628,2.29999995231628,4.90000009536743,5.19999980926514,6,4.90000009536743
Ireland,,,5,8.39999961853027,7.19999980926514,8.89999961853027,8.5,9.30000019073486,8,7,7.69999980926514,7.40000009536743,7.19999980926514,8.19999980926514,8,7.69999980926514,5.19999980926514,3.79999995231628,3.90000009536743,2.29999995231628,2.5,2.09999990463257,2,1.5,2.5
Japan,1.39999997615814,1.29999995231628,1.5,1.5,1.5,1.70000004768372,1.60000002384186,1.60000002384186,1.29999995231628,1.20000004768372,1.20000004768372,1.10000002384186,1.29999995231628,1.5,1.60000002384186,2,1.89999997615814,2.20000004768372,2.5,2.79999995231628,2.90000009536743,3,3.09999990463257,2.5,2.20000004768372
"Korea, Rep.",,,,,,,,,,,,0.20000000298023,0.30000001192093,0.20000000298023,0.30000001192093,0.30000001192093,0.40000000596046,1.60000002384186,1.70000004768372,1.10000002384186,0.69999998807907,0.60000002384186,0.89999997615814,1,1.10000002384186
Latvia,,,,,,,,,,,,,,,,26.5,6.80000019073486,0,9.10000038146973,8.19999980926514,7.59999990463257,8.10000038146973,6.59999990463257,8.19999980926514,5.80000019073486
Lithuania,,,,,,,,,,,,,,,,,,5.19999980926514,2.5,6.59999990463257,7.30000019073486,7.30000019073486,11.6000003814697,10.8000001907349,5.59999990463257
Netherlands,,,,,,,6.40000009536743,5.30000019073486,5.90000009536743,5.90000009536743,4.5,5.30000019073486,4.09999990463257,5.30000019073486,4.40000009536743,4.69999980926514,4.19999980926514,4.40000009536743,3.70000004768372,1.79999995231628,1.79999995231628,2.40000009536743,2.90000009536743,3.29999995231628,4
New Zealand,,,,,,1.79999995231628,1.5,2.59999990463257,3.20000004768372,3.79999995231628,3,4.09999990463257,3.59999990463257,3.29999995231628,2.5,2.59999990463257,2.79999995231628,3.90000009536743,3.79999995231628,3.29999995231628,2.59999990463257,3,3.40000009536743,2.40000009536743,1.89999997615814
Norway,0.69999998807907,0.69999998807907,1.39999997615814,1.39999997615814,0.69999998807907,0.69999998807907,0.69999998807907,1.39999997615814,1.5,1.5,2.29999995231628,1.60000002384186,1.70000004768372,1.60000002384186,1.60000002384186,1.60000002384186,1.5,1.5,1.39999997615814,1.29999995231628,1.20000004768372,1.10000002384186,1.10000002384186,1.10000002384186,1.60000002384186
Philippines,,,,,,6.90000009536743,7,6.09999990463257,6.09999990463257,5.69999980926514,7.09999990463257,4.59999990463257,4.09999990463257,4.5,4.59999990463257,4.30000019073486,5.19999980926514,4.69999980926514,4.30000019073486,4.69999980926514,4.5,4.90000009536743,5.19999980926514,5.40000009536743,1.39999997615814
Poland,,,,,,,,,,,,,4.90000009536743,5.09999990463257,4,4,3.79999995231628,4.40000009536743,7.69999980926514,8.10000038146973,7,7.80000019073486,8.10000038146973,7.80000019073486,7.5
Portugal,,,2.09999990463257,1.5,1.89999997615814,1.89999997615814,1.5,1.10000002384186,1,1.29999995231628,1.5,0.80000001192093,1.70000004768372,1.89999997615814,2.09999990463257,2.59999990463257,2.40000009536743,1.89999997615814,1.29999995231628,1.79999995231628,2,2.40000009536743,2.59999990463257,3.5,3.59999990463257
Romania,,,,,,,,,,,,,,0.80000001192093,0.69999998807907,0.60000002384186,0.5,0.20000000298023,0.40000000596046,0.40000000596046,0.40000000596046,0.5,0.89999997615814,1.39999997615814,1.20000004768372
