"Hydro production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0.027500589838544,0.034522339620582,0.042231973452072,0.047614391855906,0.057303890017306,0.066566266868442,0.075424238077667,0.080543758349492,0.088727517560252,0.09495539333598,0.096238533423678,0.096739058042338,0.097168563742284,0.0814636050004,0.061928603780348,0.115113058886051,0.092441373350578,0.079098610599344,0.081287414822017,0.074444501125022,0.091895984032783,0.084905881208231,0.088360141446968,0.101982560281214,0.115080291500219,0.158178966783062,0.139826611764377,0.137422784016369,0.147862961508332,0.128590955330725,0.099329682120257,0.097734414583856,0.135202709822772,0.150403938462454,0.147047820016753,0.14793794198968,0.075630973471041,0.102622600391607,0.140204905224597,0.203376697631773,
Algeria,,,,,,,,,,,,0.002003043544909,0.002915097104796,0.004295692760629,0.002752765440333,0.001760680493262,0.002023064532382,0.001355141161207,0.001219655505953,0.001374394557212,0.001174726946218,0.001618642662987,0.002049527659643,0.000973201830695,0.001813319524418,0.002513587323317,0.000944739064511,0.001833721472821,0.000654670793128,0.000787758366052,0.000458825529462,0.00097157428055,0.000644285714559,0.001117138200435,0.000514337737358,0.000586570507741,0.000403236497217,0.000220526536697,0.00062299868695,0.000579914692395,0.000152066238878,0.000191494774138,0.000155878808357,0.000713990181895,0.000666195926715,0.001451008229247,0.000561351574913,0.000573118486785,0.0007067967979,0.000752822246019,0.00042182302993,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0.008601671151894,0.009461562441194,0.011070745622124,0.011394138216911,0.01230678621413,0.005404932661516,0.005264869661059,0.006318530291894,0.006448637906867,0.006697823772143,0.00647328974908,0.00662325814627,0.005852674908251,0.005881272889188,0.006648804616075,0.006465521823205,0.006303088602216,0.006150726398506,0.006072977298036,0.006031781844908,0.0062308122334,0.006564354260841,0.006729502959479,0.006553385849341,0.006392845870177,0.006387010359336,0.005881415223753,0.006937262580185,0.005689208206341,0.005630890740952,0.006077618622068,0.0066002136362,0.006920051051894,0.009429628203694,0.011571315001777,0.013471124208875,0.012251004694874,0.014939352047216,0.014337615988884,0.01592897441557,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,0.005446320542029,0.005216231483782,0.010206779205028,0.016852248589741,0.017148284669582,0.016270148093752,0.018431298414204,0.0244131412747,0.033075972989481,0.046288712151049,0.044209163396599,0.052161048919326,0.053781254322444,0.057170133970171,0.058483969865089,0.058630027499575,0.060057564238479,0.040738757445931,0.034634583718153,0.047087755546008,0.04214578737797,0.049693585173805,0.06039051532173,0.068349752145039,0.066192113747039,0.055829939560953,0.067446764512592,0.062903649629218,0.050337414182725,0.06699353263544,0.085341136870153,0.081857750490993,0.076507867305726,0.068265930169773,0.07558761563989,0.083618418985438,0.066325127666657,0.065855154473049,0.072685279980672,0.071462320523049,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037720010588238,0.037850268184317,0.0758670838798,0.109522464225729,0.091823716797136,0.051193125291798,0.042610273303554,0.038125913659407,0.04250688913674,0.033385305796848,0.035248058817703,0.027148785494453,0.046572760014407,0.055683161990166,0.056094953107421,0.049723694125678,0.051117175362743,0.051828217246242,0.050181819301066,0.056273560210533,0.071077400604112,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.03342018012686,0.037864707293821,0.039523368413668,0.052038474820714,0.05287755388262,0.062771525027719,0.052282374553013,0.055109741825278,0.053720261972641,0.057786396935929,0.060041538614401,0.076670656682628,0.075176155903723,0.072829323365373,0.08290519158468,0.090901682267786,0.092078290321248,0.079452211767384,0.083009266644286,0.090906704731096,0.075650434889923,0.081220629363828,0.077370744885578,0.068034860611704,0.066753199857012,0.074292563404716,0.077611667748905,0.071592476343913,0.074078066720799,0.073746833890393,0.071156887071314,0.078539920278647,0.075289014187524,0.080220279312948,0.078467311193729,0.075385405901598,0.072318546873234,0.076640470404793,0.070600935539345,0.073528341603554,0.073402266154346,0.073477857654814,0.0696374574965,0.070598760298944,0.068629121995934,0.064296055981736,0.065080206016228,0.058133224358833,0.047596838899265,0.04312515045466,0.048146332244736,0.056366440297719
Austria,0.138683650793869,0.136034858452313,0.139806894353382,0.136262645701471,0.151372900119038,0.185668452885953,0.200370208681999,0.203275452679614,0.207397254890331,0.18865150828399,0.238861636465323,0.185977731932357,0.191642371706235,0.213519679030515,0.252068068106647,0.266321202876006,0.227070724770731,0.278247449313891,0.278416008597761,0.314043648268638,0.327191881015355,0.351569241916593,0.35218208838234,0.348771064869795,0.328737960246925,0.351905889259915,0.353402934276138,0.408433412125451,0.40482884472474,0.397503237992641,0.353207970374458,0.350227914036873,0.385226332904104,0.402589140855488,0.38893416185911,0.401630458563173,0.369582279580979,0.389443712559508,0.400626372493328,0.438274039413821,0.449391370391698,0.432731544931821,0.427919602975601,0.351105657057318,0.38616365035511,0.383087859207728,0.372468977886335,0.383919020379378,0.395329788586259,0.420243082058854,0.393431217968648,0.344574628281688
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008346053318712,0.020629047700344,0.020174116890375,0.027289183813458,0.020504710029148,0.017230572830724,0.016856465333392,0.018601368742865,0.021033501472895,0.016107434481404,0.016262453785386,0.013656394527822,0.020976262078439,0.02534350644319,0.027935923938903,0.030126965708594,0.024881179037716,0.023024052435287,0.021458635768385,0.021897753901311,0.032249636884133,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,0.000221775152083,0.000219790901171,0.000412875250543,0.000300344831092,0.000531143389286,0.000589507864218,0.000508352417218,0.000571976611281,0.000644257750653,0.000621759200487,0.000648382989724,0.000528086057294,0.000650833328942,0.000858615846948,0.000688557487093,0.000408044625778,0.000456269344468,0.00058003403999,0.000770398398177,0.000722146949978,0.000668607836346,0.000620942032341,0.000464098507422,0.000632969878976,0.000272253573115,0.000529836243333,0.000505210985397,0.000595950446922,0.000563024776965,0.000627671352752,0.000647109787951,0.00068266880005,0.00070921684207,0.000760401353033,0.000790807534392,0.000838985346139,0.000831433121331,0.00087120337938,0.000907623258915,0.000961088363648,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000167616056582,0.000150490359216,0.000141937162503,0.000158591655775,0.000158718136183,0.000167378994663,0.000134293715795,0.000176950939166,0.000237025666487,0.000161632750289,0.000230823819024,0.000257700763908,0.00025027153536,0.000242748977483,0.000287424800973,0.000315054522619,0.00030781556519,0.000309353183078,0.000346400554986,0.00039262273979,0.000403244789923,
