"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,0,,,,,,,,,,,1118.18066458719,1123.92051732425,22569.2775334621,28244.1186156471,338045.041222983,598865.06342521,553770.979,549055.8896,1085510.338,1256469.72,
Albania,0,,,,,350.820117309595,1002.15750945943,1502.47634610014,2002.21678304398,2502.33642880969,3504.90618590174,10026.0475802466,12052.6453686626,30194.0399178939,75633.7543409655,189886.963166664,303349.658573025,476594.487460007,759081.3242,1315401.876,1441927.8,
Algeria,0,,,,100.090832031362,500.465234905949,500.469038879027,3002.79815620845,6005.52674447401,60054.7014567967,150136.561418268,200180.427339164,500441.425787148,700615.293471768,1501386.77398051,1921981.91452109,2462985.50367093,3204577.8732033,3504773.2504,3924903.8664,4433526,
American Samoa,0,,,,,,,,,,,,,,,,,,,,,
Andorra,0,,,,,,995.756049156553,1979.71633368919,4424.11397441391,4885.69377844293,6811.67100766324,,7774.56541628545,9780.91648917527,20206.832618915,29290.379191476,39087.8171719396,57681.093,57836.9308,65711.5481,68739.84,
Angola,0,,,,,,96.6242453610143,725.799033647583,2424.4991714647,9723.48159374546,14629.0368484426,19570.0071196459,40260.3790048896,57158.96316903,74172.6067392542,188529.996138429,324497.822970428,560811.744,829746.344,1113306.9,1908191.2,
Antigua and Barbuda,0,,,,,1510.6517210012,2013.7777269609,2517.19385197973,3020.80647131476,4027.72256234926,5033.83721834729,7045.11937755854,10063.375,14078.5626384445,20101.9194836079,29132.6166590849,53212.9721552498,60206.061,65186.8143,65149.084,70968,
Argentina,0,,1003.81067700669,10033.8976614948,15043.7422270787,30072.014616718,50091.7169344836,100123.189754273,300194.56555638,1200183.50400688,2599435.56800332,3648448.07930804,4097918.57607031,4527353.72972209,6148589.4514481,6854529.68701254,8166599.95810164,10214687.5807473,11164731.0644615,13621239.8,14548455.36,
Armenia,0,,,,299.998997128444,1700.00210972493,3000.02742614172,3500.07368961678,4000.15310477835,30001.8541091167,40003.7323489642,50006.2634035204,60009.3119239676,140026.993781626,150037.624385828,161054.053198692,172887.099174671,185104.227896304,191211.3027,472001.787,1360511.68,
Aruba,0,,,,,,2299.66779408048,,,3985.35491793121,13940.3907034206,15794.073,17784.048,20150,22780.58,25652.984,28759.08,32205.525,36089.892,40192.724,45144.96,
Australia,100028.687193739,190042.659287297,310055.097027026,350047.449902708,400033.124382615,500005.684888297,600013.88705945,3032448.68411306,5772822.81686211,7727668.1429752,8960506.10978697,10212332.675485,,,,12854217.6,13691234.7,14667831.666,15418952.6439,16262457.75,16923971.84,
Austria,10000,20000,49999.9935718238,60000,110000,150000,550001.381832471,760005.815724334,1230014.49594616,1840018.20501051,2700000,3149914.57571861,2955166.3704,3473318.345,4443118.1684,4774673.68,5261760.288,5764496.4671,6078674.0322,6147499.8455,6102179.188,
Azerbaijan,0,,,,109.785760072414,159.609752738482,498.536856908101,1993.29547586933,2989.68034948117,7977.32420228613,11984.2076703174,25030.2172870138,413988.891827597,,,689640.765819561,1043525.57361834,1282575.1448,1527566.88,2484249.496,4226380.18,
Bahamas,0,,,,,2685.91634932318,4955.69733030994,3914.63531105377,6786.5492830602,11067.3482490661,23812.08,35589.508,55044.18,62040.2,69242.58,79839.5,84257.16,88792.47,105236.6794,114635.6904,147437.11,
Bahrain,0,,,,,1935.52954780324,4847.98656190076,9762.3237842492,19670.8422839581,29585.552557254,39272.690350332,96624.7289286176,115898.263606322,139495.844206606,144150.832178817,154410.951768347,229174.254426903,304658.7303,546700.5005,619876.34,694009.25,
Bangladesh,0,,,,,,,919.057808200274,4598.76963369499,46014.1263526376,92061.604478365,171274.591223873,187865.973428396,223717.214858476,275930.838695521,339712.894889024,1423535.01,2591222.49,3636957.5,4557934.495,5501608.847,
Barbados,0,,,,,20.4206364587775,1029.10855536039,2076.77603334273,5239.70052211605,6338.82906466956,10630.0267031185,32012.6048915574,74827.6533980196,106919.489591395,134433.606,151673.343836747,170769.06,175736.846,180999.7,187379.25,191878.362,
Belarus,0,,,,50.0195400844349,300.13642257931,3001.4209672656,5002.27898122431,7503.1660209376,50020.2109500592,187115.308772118,430483.492583423,891819.554301032,,,,1583845.326,1916460.916,2226558.7,2643159.1888,3041748.457,
Belgium,100.160715912677,2002.51229223683,10008.5735159989,20008.5961251221,69999.867761009,99958.3699876766,299755.90751023,499407.479671649,798808.64677483,1397655.41821051,2994875.94247635,3194940.66644673,4750689.7825,5148463.0676,5578276.4298,6228738.4029,6722850.5074,7300197.6666,6997430.22,7462656.6,8034049.5,
Belize,0,,,,,100.014981069376,1998.70227322887,2995.25801712955,4987.36724099707,9966.44842515512,14940.1230935606,,14930.6521351942,,15924.0456826691,25876.0295154325,29856.4568417038,31833.2664,33843.7047,35823.1854,43627.78,
Benin,0,,,,,,98.5720392968555,1475.99281241116,2946.70825182887,9804.78497627681,14681.2269881164,24426.5411062702,48770.2599464693,68162.359465202,87484.2032236067,97027.4514828234,121055.388223333,145215.0567,154585.63,192679.6704,277001.6196,
