Adult (15+) literacy rate (%). Male,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,30.3077476688153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1876063431248,,,,,,,97.3062020102419,,,98.0081625011027
Algeria,,,,,,,,,,,,,63.3774328472004,,,,,,,,,,,,,,,79.5690936106984,,,,81.2840426030348,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,82.919874536641,,,,,,,,,,82.60331
Anguilla,,,,,,,,,,95.0811843361987,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,,,,,,,,,98.4
Argentina,,,,,,94.2633913766788,,,,,,,,,,,96.2212710126556,,,,,,,,,,97.1932036332257,,,,,,,,,,97.82486
Armenia,,,,,,,,,,,,,,,99.4038476863893,,,,,,,,,,,,99.6722296817552,,,,,,,,,,99.70933
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,97.5374007264668,,,,,,,,,,96.940526626267,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.4724183412212,,,,,,,,99.8240024275527,,99.8426673928172,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,76.5183733932241,,,,,,,,,,88.5373733928352,,,,,,,,,,88.5541074994749,,,,,,,,,96.140233858161,
Bangladesh,,,,,,,39.7323009869234,,,,,,,,,,44.3142828403874,,,,,,,,,,53.8960920251071,,,,,,,,,,61.99212
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,99.384183199106,,,,,,,,,,99.7921146412421,,,,,,,,,,99.7636942767249,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,70.2687673772011,,,,,,,,,,,,,,,,,,,,
Benin,,,,,25.190062385926,,,,,,,,,,,,,39.9033411846811,,,,,,,,,,47.8659553391101,,,,40.6161708296038,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0477766414579,,,,,,
Bolivia,,75.8428876425489,,,,,,,,,,,,,,,,88.1555874293923,,,,,,,,,93.0574726419567,,,,,,96.036256777179,94.9554324750749,95.8036360876094,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.0337078651685,,,,,,,,,,,99.45056
Botswana,,,,,,,,,,,,,,,,,65.3869379620127,,,,,,,,,,,,80.4301079838343,,,,,,,,84.62992
Brazil,,,,,,76.3773646709077,,,,,,,,,,,,,,,,,,,,86.2279845681086,,,,88.4094616132296,,89.3532406842345,89.7721405450453,89.8378742274488,90.1748429006159,90.0561754182353,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,85.1777527361418,,,,,,,,,,92.4521891610499,,,,,,,,,,95.1504242735922,,,,,,,,,,96.97111
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7366046458907,,,,,,,,,,98.7472336607287
Burkina Faso,14.5284903241232,,,,,,,,,,,,,,,,19.6261336855037,,,,,18.5177895900709,,,,,,,29.3620039532494,,31.4419259350713,,36.68066684295,,,,
Burundi,,,,,34.262714776474,,,,,,,,,,,48.2362458457092,,,,,,,,,,67.3069306930693,,,,,,,,88.7761807942895,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,79.4821791280993,,,,,,84.6800143892625,,,,85.0826722473369,82.75239956391,,
Cameroon,,54.6298474853998,,,,,,,,,,,,,,,,,,,,,,,,79.1945240369309,,,,,,,78.9499621868683,,,78.3276874228367,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,74.7592660420383,,,,,,,,,,,,,,86.39725,,,,,,,89.74974
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7223937307053,,,,
Central African Rep.,29.5929212444422,,,,,,,,,,,,,48.0202995649453,,,,,,,,,,,,66.7895265903978,,,,,,,,,,,69.59757
Chad,,,,,,,,,,,,,,,,,,,18.2606005877158,,,,,,,40.8270575731815,,,,39.3682483249009,,,,,,,45.64743
Chile,,,,,,,,91.4805436891526,,,,,,,,,,94.5630729748501,,,,,,,,,,95.7964073127151,,,,,,98.6016356826989,98.6072025401213,,
China,,,,,,,,79.1917809583307,,,,,,,,87.0249797038148,,,,,,,,,,95.1352520162161,,,,,,,,,,97.4794579567512,
Colombia,,,,,,,,,,,,,,,,,,,81.4975078309386,,,91.0891030370089,,,,,,,,92.9041153123042,92.7779491389366,92.392804990021,92.4297012141329,93.3168784855299,93.0625396069094,93.250187252413,93.4882505559722
Comoros,,,,,,55.9770392749245,,,,,,,,,,,,,,,,,,,,74.5140388768898,,,,,,,,,,,80.51743
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,80.923235749576,,,,,,76.9156884854397,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,92.6821443847726,,,,,,,,,,,,,,,,94.650180370926,,,,,,,,,,,96.0423
Cote d'Ivoire,,,,,,,,,,,,,,44.3635384514439,,,,,,,,,,43.9464204978041,,60.8606557377049,,,,,,,,,,,65.64127
