Reported Deaths per 100000,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Algeria,,,,,,,,,0.006746176427423,0.019952364395086,0.003278037860944,0.003230577702243,0,,,,
Angola,,,,,,,,,,188.334055948295,96.0229306433895,66.1612486449795,97.9429669838425,254.267099689725,79.6839605825659,85.5409564607218,61.725971715976
Benin,,,,,,,,,10.0236054438466,7.76142188107476,10.2390698275505,6.27340126122175,9.17507866948641,7.03376735864702,11.4784652319234,3.79256283140021,15.891040432766
Botswana,,,,,,,,8.60924645280728,1.37661325606742,2.88027406101596,1.73523545988367,1.5398583786546,1.29566515505732,1.00267100414716,1.04677543581669,0.59914877299778,2.26029807950006
Burkina Faso,,,,,,,,,23.4450059590879,24.3624825057334,23.0605295135221,34.5214260374573,31.838284257603,37.150538415262,31.1317728356366,37.4927431374608,56.2941811470557
Burundi,,,,,,,,,,,8.68315396146779,6.09719632782095,6.85191132860688,5.82687703932127,9.34469994261006,24.7111801293609,5.31012214504464
Cameroon,,,,,,,,,,,,,,,,4.69790952579268,5.11700443297649
Cape Verde,,,,,,,,,,,,0,0.21169756039731,0.4135033659174,0.40390087464734,0.19731377033072,1.34987638989058
Central African Republic,,,,,,,,,10.0836131041675,12.7746314822347,,13.6027197303254,,10.2720213539805,20.8326967113442,15.9372853506525,20.2822919880961
Chad,,,,,,,,,,,,10.6572130203817,10.3521394275267,10.2480319552653,,,7.78550076102076
Comoros,,,,,,,,,,7.35326558524641,11.7304569871323,2.22739782856554,,,3.60071191218378,11.5302380492842,6.84233548459619
"Congo, Rep.",,,,,,,,,,,,,,,,,6.85767133539461
Cote d'Ivoire,,,,,,,,,8.21308766884437,5.83959671049642,4.28172859131305,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,5.01097660343459,,3.60126428285137,29.9012461414108,,,40.1474918626589
Eritrea,,,,,,,,,11.7540163677587,4.75715430970032,2.55136937965896,3.36511936391418,2.12531401514574,1.67638651533846,0.36751810658347,0.70691330282708,0.36230996043362
Ethiopia,,,,,,,,,,,1.59248435009424,2.35930599407162,2.19734787358667,2.84890372705498,4.3210373606735,1.37492969152693,1.67488247743383
Gabon,,,,,,,,,,,,7.54996249908737,,,,36.724457326413,6.02677106966795
Ghana,,,,,,,,,14.5449003099914,14.3538664902485,16.0317537919689,8.32819955045184,9.0880133560137,7.7866610602707,5.71249631691334,7.80563221405271,12.3085257141705
Guinea,,,,,,,,,0.16478916873752,0.16155934093234,5.37632573365512,6.18526409283112,5.16820328704777,6.75844231513786,5.97773971245713,5.44283820241493,
Guinea-Bissau,,,,,,,,,,,77.7096592011885,44.9730409637121,53.5758073633765,75.7093002582906,36.475733953098,35.3804082711254,30.8107792757097
Kenya,,,,,,,,,2.24069030243389,5.07306027682163,2.18546978096857,,0.41017250913857,,,,
Liberia,,,,,,,,,,,,,,,,1.19123852779189,24.5045854589734
Madagascar,,,,,,,,,,4.07156669114908,3.65114569368679,7.8021499604431,7.39576204170626,6.18634297028724,6.58406078290218,7.54723620424763,3.07949105929795
Malawi,610.283664556026,,,,,,,339.217394116178,,42.0550021310998,61.4193751759387,28.0881097631423,47.1049770506999,37.9125464840269,26.8112067586887,38.3333216140733,52.55434607199
Mali,,,,,,,,,,5.99425333092329,7.47685598205954,5.45739103109829,7.78751216798776,11.9767327491359,8.98379756130732,11.0670057677617,15.9921432956198
Mauritania,,,,,,,,,11.5189346100221,21.0609334927813,19.1337068108202,12.7540545215016,3.67525180987775,,,,2.20131303394162
Mozambique,,,,,,,,,5.17591227475683,6.70053980202356,7.53537007076322,18.2206339783849,22.0234467655819,17.786990387172,20.6692411410138,20.4990338570108,24.0422143518382
