Male agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,22.5,,22.7999992370605,20.3999996185303,,,
American Samoa,,,,,,,,,,,3.79999995231628,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,3.29999995231628,,4.80000019073486,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,4.09999990463257,,,,,,
Argentina,,,,,,,,,,,0.5,0.5,0.40000000596046,0.5,0.60000002384186,0.80000001192093,1.10000002384186,1.10000002384186,1.10000002384186,1.10000002384186,1,1.20000004768372,1.29999995231628,1.70000004768372,1.39999997615814,1.5,1.20000004768372,
Armenia,,,,,,,,,,,,,,,,,,,,,,6.59999990463257,47.5999984741211,48.2999992370606,48.7999992370606,46.0999984741211,46.2999992370606,
Aruba,,,,,,,,,,,,,,,0.10000000149012,,,0.60000002384186,,,,,,,,,,
Australia,7.80000019073486,7.59999990463257,7.69999980926514,8,7.5,7.40000009536743,7.09999990463257,6.90000009536743,7,6.40000009536743,6.69999980926514,6.5,6.30000019073486,6.59999990463257,6.19999980926514,6,6.19999980926514,6.30000019073486,6,6.09999990463257,6.09999990463257,5.90000009536743,5.59999990463257,5,4.59999990463257,4.59999990463257,4.40000009536743,4.30000019073486
Austria,,,,8.30000019073486,8.5,8,7.59999990463257,7.69999980926514,7.40000009536743,7.09999990463257,6.80000019073486,6.59999990463257,6.40000009536743,6.19999980926514,6.59999990463257,6.59999990463257,6.40000009536743,6.09999990463257,6,5.69999980926514,5.59999990463257,5.40000009536743,5.5,5.5,4.90000009536743,5.5,5.40000009536743,5.59999990463257
Azerbaijan,,,,,,,,,,,,,,,,,,,,37.5,36.4000015258789,37.4000015258789,40.9000015258789,35.7000007629394,40.9000015258789,41.0999984741211,36.2000007629394,35.2000007629394
Bahamas,,,,,,,7.80000019073486,,,6.40000009536743,,8.60000038146973,8.60000038146973,9,8.80000019073486,7.30000019073486,8.10000038146973,6,6,6.69999980926514,,6.80000019073486,5.59999990463257,5.30000019073486,8.19999980926514,6.40000009536743,4.40000009536743,4.19999980926514
Bahrain,,3,2.90000009536743,,,,,,,,,2.90000009536743,,,,,,,,,,1.89999997615814,,,,,,
Bangladesh,,,,,63.5,62.2999992370606,62.2999992370606,,,60.4000015258789,,54.4000015258789,,,,,54.4000015258789,,,,53.2999992370606,,,49.7999992370606,,41.7999992370606,,
Barbados,,9.80000019073486,8.69999980926514,8.30000019073486,10.1999998092651,9.39999961853027,8.80000019073486,9,8.69999980926514,6.59999990463257,6.90000009536743,6.40000009536743,8,6.30000019073486,6,5.5,6.09999990463257,6.5,5,5.19999980926514,4.09999990463257,4.80000019073486,4.90000009536743,5.30000019073486,4.19999980926514,,,
Belgium,3.70000004768372,3.79999995231628,3.79999995231628,3.79999995231628,3.79999995231628,3.70000004768372,3.70000004768372,3.59999990463257,,,,,,3.09999990463257,3.20000004768372,3.09999990463257,3,2.90000009536743,2.90000009536743,2.40000009536743,2.29999995231628,2,2.09999990463257,2.20000004768372,2.40000009536743,2.40000009536743,2.5,
Belize,,,,,,,,,,,,,,33,30.8999996185303,36.2000007629394,38.4000015258789,40.2999992370606,34.0999984741211,36.9000015258789,,,,,,28,,
Bermuda,,,,,,,,,,,,,,,,,,,,,2.40000009536743,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,32.5999984741211,,
Bolivia,52.0999984741211,52.0999984741211,52.9000015258789,53.9000015258789,53.7999992370606,54.0999984741211,54,54.0999984741211,54,3,1.89999997615814,2.29999995231628,2.70000004768372,2.79999995231628,2.40000009536743,3,6.40000009536743,7,,5,6.09999990463257,42.9000015258789,42.2999992370606,,,,,
Botswana,,,,,,55.2999992370606,,,,,,,,,,,19.6000003814697,,26.2000007629395,,21.8999996185303,16.7999992370605,,28.6000003814697,,35.0999984741211,,
Brazil,,33.5999984741211,34.4000015258789,30.8999996185303,35.0999984741211,33.7000007629394,31.5,29.3999996185303,29.3999996185303,28.1000003814697,,,,,,,,,,,23.2000007629395,,23.5,23.8999996185303,24.5,23.7000007629395,22.5,
British Virgin Islands,,,,,,,,,,,,3.29999995231628,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,2.09999990463257,,,,,,
