Male long-term unemployment (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Armenia,,,,,,,,,,,,,,,,,,,,,,30.7000007629394,,,,,,
Aruba,,,,,,,,,,,,,,,0.80000001192093,,,2.59999990463257,,,,,,,,,,
Australia,1,1,1.29999995231628,2.59999990463257,3,2.79999995231628,2.5,2.59999990463257,2.20000004768372,1.70000004768372,1.60000002384186,2.5,4.09999990463257,4.69999980926514,4,3.09999990463257,2.70000004768372,2.90000009536743,2.59999990463257,2.29999995231628,1.89999997615814,1.70000004768372,1.70000004768372,1.5,1.29999995231628,1,1,0.69999998807907
Austria,,,,,,,,,,,,,,,1,1.10000002384186,1.20000004768372,1.39999997615814,1.60000002384186,1.29999995231628,1.29999995231628,0.89999997615814,0.80000001192093,1.20000004768372,1.29999995231628,1.29999995231628,1.29999995231628,1
Bahamas,,,,,,,,,,,,2.79999995231628,4.19999980926514,4.19999980926514,5,2.70000004768372,2.70000004768372,2.79999995231628,1.60000002384186,1,,,,,,,,
Barbados,,,,,,,,,,,,,11.3000001907349,12.1000003814697,9,11.3999996185303,5.5,5.59999990463257,3.79999995231628,2.70000004768372,3.20000004768372,2.79999995231628,,,,,,
Belgium,,,,4.69999980926514,5,4.69999980926514,4.69999980926514,5.09999990463257,5.09999990463257,3.90000009536743,3,2.59999990463257,2.70000004768372,2.79999995231628,4.09999990463257,4.5,4.40000009536743,4.19999980926514,4.5,4.5,3,3,2.90000009536743,3.29999995231628,3.29999995231628,3.70000004768372,4.19999980926514,3.29999995231628
Belize,,,,,,,,,,,,,,2.29999995231628,3,3.29999995231628,4.19999980926514,3.5,4.40000009536743,3.79999995231628,,,,,,,,
Botswana,,,,,,,,,,,,,,,,7.19999980926514,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,8.69999980926514,8.80000019073486,7.5,6.5,8.30000019073486,8.10000038146973,8.30000019073486,,,,,,,,
