Male salaried employees (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,61.4000015258789,,64.5999984741211,61.9000015258789,,,
American Samoa,,,,,,,,,,,97,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,71.8000030517578,,63.2000007629394,,,,,,
Antigua and Barbuda,,,,,,,,,,,,77.9000015258789,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,68.4000015258789,69.5999984741211,68.8000030517578,67.3000030517578,69.0999984741211,68,68.5,69.5999984741211,69.9000015258789,70.0999984741211,69.5999984741211,68.8000030517578,67,69.9000015258789,70.8000030517578,71.1999969482422,72.5,
Aruba,,,,,,,,,,,,89.6999969482422,,,87.5,,,,,,,,,,,,,
Australia,81.5999984741211,82.4000015258789,82,82,81.5999984741211,82.1999969482422,82.1999969482422,82.3000030517578,82.3000030517578,82.8000030517578,82.8000030517578,82.0999984741211,81.5,81,81.6999969482422,82.0999984741211,82.4000015258789,82.5999984741211,82.9000015258789,82.9000015258789,83.3000030517578,83.4000015258789,83.4000015258789,83.8000030517578,84.1999969482422,84.5,84.9000015258789,85.5
Austria,,,,,,,,,,,,,,,86.0999984741211,85.5999984741211,86.0999984741211,86.3000030517578,86.0999984741211,86.3000030517578,86.4000015258789,86.0999984741211,86,86.3000030517578,85.3000030517578,84.8000030517578,84.6999969482422,83.9000015258789
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,56.2000007629394,33.2000007629394,33.7999992370606,47.5,50.7000007629394
Bahamas,,,,,,,,,,,,,,82.4000015258789,81.8000030517578,83.0999984741211,78.4000015258789,80.6999969482422,81,78.9000015258789,,80.5999984741211,79.3000030517578,81.4000015258789,81.5999984741211,,,
Bangladesh,,,,,,,,,,,,,,,,,14.6999998092651,,,,15.1999998092651,,,13.8000001907349,,14.5,,
Barbados,,,,,,,,,,,84.5999984741211,84.0999984741211,83.8000030517578,82.4000015258789,83.5999984741211,83.9000015258789,83.5999984741211,83.5999984741211,83.4000015258789,81.4000015258789,82.5999984741211,81.3000030517578,81.0999984741211,80.0999984741211,79.5,,,
Belgium,83.9000015258789,83.4000015258789,83,82.4000015258789,82.0999984741211,82,81.9000015258789,81.5999984741211,81.4000015258789,81.5,81.5,81.1999969482422,81.0999984741211,80.5999984741211,80.5,80.5,80.1999969482422,80.3000030517578,80.5,80.6999969482422,,,,,,82.5,82.4000015258789,
Belize,,,,,,,,,,,,,,67.8000030517578,66.9000015258789,65.5,61.7000007629394,61.7999992370606,64,62.0999984741211,,,,,,66.9000015258789,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,51.9000015258789,,
Bolivia,,,,,,,,,,60.2999992370606,62.7000007629394,63.4000015258789,62.4000015258789,63,62.2000007629394,59,57.2999992370606,53.0999984741211,,55.7999992370606,54.7999992370606,40.7000007629394,38.5,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1999969482422,
Botswana,,,,,53.2999992370606,,,,,,,,,,67.1999969482422,,,,72.1999969482422,,71.1999969482422,83.1999969482422,,74.4000015258789,,,,
Brazil,,,,,,,,,,,64.6999969482422,,60.9000015258789,61.0999984741211,,60,60.5,49,49.2999992370606,48.0999984741211,,60.0999984741211,60.2999992370606,60.0999984741211,60.9000015258789,61.2999992370606,61.9000015258789,
British Virgin Islands,,,,,,,,,,,,83.9000015258789,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,94.4000015258789,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,79.5,,81.5,81.6999969482422,83.0999984741211,84.0999984741211,84.9000015258789
Burkina Faso,,,,,,5.40000009536743,,,,,,,,,5.80000019073486,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,18.6000003814697,19.1000003814697,,,,,,
Cameroon,,,,,,,,,,,,,,,,,22.2999992370605,,,,,29.2999992370606,,,,,,
Canada,90.0999984741211,90,89.1999969482422,88.8000030517578,88.9000015258789,88.1999969482422,88.9000015258789,82.8000030517578,82.5999984741211,83,82.3000030517578,81.3000030517578,81.1999969482422,80.4000015258789,80.6999969482422,80.8000030517578,80.0999984741211,79.5999984741211,79.5999984741211,79.6999969482422,80.6999969482422,81.3000030517578,81.6999969482422,81.1999969482422,81,80.9000015258789,81.4000015258789,80.8000030517578
