Male 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,7.69999980926514,7.69999980926514,6.69999980926514,5.59999990463257,6.69999980926514,9.80000019073486,11,11.1000003814697,9.69999980926514,8.5,8.39999961853027,8.39999961853027,7.90000009536743,7,6.40000009536743,7,6.5,5.90000009536743,5.40000009536743,4.90000009536743
Canada,7.09999990463257,11.1000003814697,12.1999998092651,11.3000001907349,10.5,9.5,8.39999961853027,7.40000009536743,7.30000019073486,8.10000038146973,10.6999998092651,11.8999996185303,11.8000001907349,10.8000001907349,9.69999980926514,9.89999961853027,9.19999980926514,8.5,7.80000019073486,6.90000009536743,7.5,8.10000038146973,7.90000009536743,7.40000009536743,7
Czech Rep.,,,,,,,,,,,,,3.40000009536743,3.59999990463257,3.40000009536743,3.29999995231628,3.90000009536743,5,7.30000019073486,7.40000009536743,6.80000019073486,5.90000009536743,6.19999980926514,7.09999990463257,7.30000019073486
Estonia,,,,,,,,,,,,,,,,,,,,14.3000001907349,13,10.6999998092651,10,10.3999996185303,9
Finland,5,5.40000009536743,5.59999990463257,5.09999990463257,5.30000019073486,5.90000009536743,5.69999980926514,4.90000009536743,3.09999990463257,3.59999990463257,7.80000019073486,13.3000001907349,17.7999992370605,17.7999992370605,15.3999996185303,14,12.1000003814697,10.6999998092651,9.60000038146973,9,8.60000038146973,9,9,8.60000038146973,8.10000038146973
France,5.30000019073486,6,6.5,7.90000009536743,8.39999961853027,8.5,8.39999961853027,7.80000019073486,7.09999990463257,6.69999980926514,7.30000019073486,8.19999980926514,9.89999961853027,10.3999996185303,9.60000038146973,10.3999996185303,10.6000003814697,9.89999961853027,9.30000019073486,7.90000009536743,7.19999980926514,8,8.89999961853027,9.10000038146973,9.10000038146973
Germany,,,,,,,,,,,4.5,5.30000019073486,6.59999990463257,7.19999980926514,7.19999980926514,8.30000019073486,9.19999980926514,8.69999980926514,8.19999980926514,7.69999980926514,8.19999980926514,8.89999961853027,10.3999996185303,11.5,11.3000001907349
"Hong Kong, China",,,,,3.29999995231628,2.90000009536743,1.70000004768372,1.29999995231628,1.10000002384186,1.29999995231628,1.89999997615814,1.89999997615814,2,2,3.29999995231628,3,2.29999995231628,5,7.09999990463257,5.5,6,8.39999961853027,9.30000019073486,7.80000019073486,6.5
Ireland,,,13.1999998092651,15,16.1000003814697,16.3999996185303,16.5,15.8999996185303,14.8999996185303,12.5,14.1999998092651,15,15.6000003814697,14.6999998092651,12.1000003814697,11.8999996185303,10.3999996185303,8,5.90000009536743,4.30000019073486,3.70000004768372,4.5,4.69999980926514,4.90000009536743,4.59999990463257
Japan,2.29999995231628,2.40000009536743,2.70000004768372,2.70000004768372,2.59999990463257,2.79999995231628,2.79999995231628,2.5,2.20000004768372,2.09999990463257,2,2.09999990463257,2.40000009536743,2.79999995231628,3.09999990463257,3.40000009536743,3.40000009536743,4.09999990463257,4.80000019073486,4.90000009536743,5.19999980926514,5.59999990463257,5.5,4.90000009536743,4.59999990463257
