Male 15-24 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,69.5,69.3000030517578,69.6999969482422,69.3000030517578,69.3000030517578,69.4000015258789,69.5,69.6999969482422,69.5999984741211,69.5999984741211,70.3000030517578,70,66,68.8000030517578,63.7999992370606,67.3000030517578,66
Albania,43.5999984741211,43.4000015258789,43.7000007629394,43.9000015258789,43.7999992370606,43.2000007629394,43.4000015258789,42.9000015258789,42.4000015258789,42.0999984741211,41.5999984741211,41.2999992370606,40.9000015258789,40.4000015258789,40,39.7000007629394,40.2000007629394
Algeria,36.2999992370606,35.4000015258789,36.2999992370606,36.2999992370606,34.2999992370606,35.7000007629394,36.5999984741211,35.5,34.5999984741211,32.9000015258789,35.2000007629394,36,37.4000015258789,42.5,44.4000015258789,47.0999984741211,44.9000015258789
Angola,74.1999969482422,72.8000030517578,74.3000030517578,73.5999984741211,76.3000030517578,76.3000030517578,75.8000030517578,75,74.5999984741211,74.8000030517578,74.8000030517578,74.5999984741211,74.3000030517578,74,73.5999984741211,72.3000030517578,72.9000015258789
Argentina,53.9000015258789,54.0999984741211,54,54.4000015258789,54,54.2999992370606,54,53.2000007629394,51.9000015258789,51.5999984741211,50.5,48.9000015258789,49.9000015258789,48.9000015258789,48,47.0999984741211,46.4000015258789
Armenia,30,25.5,26.2000007629395,30.1000003814697,27.7999992370605,27.7999992370605,27.3999996185303,26.8999996185303,26.8999996185303,28.2000007629394,29.6000003814697,29.5,30.1000003814697,29.7000007629394,29.6000003814697,29.5,31.8999996185303
Australia,59.2000007629394,57.2999992370606,57.5999984741211,60,62.2000007629394,62,60.4000015258789,61.2000007629394,62.2000007629394,63.0999984741211,61.9000015258789,61.7999992370606,62.5,63,64.3000030517578,64.8000030517578,65.1999969482422
Austria,63.9000015258789,64,61.7999992370606,62.4000015258789,61.2999992370606,59.7000007629394,59.2000007629394,58.2999992370606,59.2000007629394,58.2999992370606,56.7999992370606,56.5999984741211,56.5999984741211,55.9000015258789,56.7999992370606,58.2999992370606,57.4000015258789
Azerbaijan,42.2999992370606,41.7000007629394,41.4000015258789,43,40.4000015258789,41,41.0999984741211,40.2000007629394,40.7999992370606,40.7999992370606,40.5999984741211,40.4000015258789,40.9000015258789,42.4000015258789,40.4000015258789,38.7000007629394,42.7999992370606
Bahamas,50.5,49.7000007629394,52.0999984741211,51.9000015258789,53.5,51.5,50.4000015258789,51.2999992370606,50.5,49,48.5,46.7999992370606,45.2000007629394,45.7999992370606,47.2999992370606,48.5,46.0999984741211
Bahrain,46.7000007629394,46.5999984741211,46.4000015258789,46.2000007629394,46.2000007629394,46.0999984741211,45,45.4000015258789,45.9000015258789,45.7000007629394,45.5999984741211,45,44.5999984741211,43.9000015258789,43.5,42.5999984741211,41.7999992370606
Bangladesh,75.4000015258789,70.0999984741211,72.5,69.8000030517578,66.9000015258789,67.9000015258789,66.6999969482422,67.3000030517578,65.6999969482422,65.0999984741211,65.4000015258789,65.8000030517578,66.4000015258789,65.6999969482422,65.6999969482422,65.0999984741211,65.1999969482422
Barbados,43.7000007629394,42.4000015258789,40.9000015258789,45,46.0999984741211,50.2000007629394,49.4000015258789,51.7999992370606,51.7999992370606,50.5999984741211,47.9000015258789,46.5,44.2999992370606,49.5,50.0999984741211,50.2999992370606,50.2999992370606
Belarus,40.7999992370606,40.5999984741211,40.4000015258789,40.2999992370606,40,40.2000007629394,40.7999992370606,39.9000015258789,38.7999992370606,38.5,38,37.7000007629394,37.5,37,36.2999992370606,35.2999992370606,36.4000015258789
Belgium,33.7000007629394,32.5999984741211,29.7000007629394,29.2999992370606,28.6000003814697,29.5,28.7999992370606,29.6000003814697,27.7000007629395,33.7999992370606,31.5,30.8999996185303,29.8999996185303,29.7999992370606,27.6000003814697,29.5,30.1000003814697
Belize,60,59.7000007629394,60.0999984741211,58.4000015258789,55.0999984741211,52.5,55.0999984741211,53.5999984741211,55.9000015258789,56.0999984741211,57.5999984741211,56.5999984741211,56.0999984741211,55.5999984741211,55.5999984741211,55.7000007629394,54.2999992370606
Benin,77,77.5,77.6999969482422,77.5,77.3000030517578,76.9000015258789,76.0999984741211,75.4000015258789,74.8000030517578,74.1999969482422,73.5,73,72.4000015258789,72,71.4000015258789,70.9000015258789,69.8000030517578
Bhutan,63.2000007629394,61.7999992370606,62.0999984741211,60.9000015258789,59.9000015258789,59.7999992370606,59.2999992370606,58.7000007629394,57.7999992370606,57.7999992370606,57.9000015258789,56.7000007629394,57.9000015258789,57.9000015258789,59,57.7000007629394,53.7999992370606
Bolivia,59.7999992370606,56.5,53.7000007629394,50.7999992370606,47.7999992370606,43.7000007629394,57.4000015258789,57.2999992370606,57,56.2999992370606,55.7000007629394,55.7000007629394,55.2999992370606,54.9000015258789,54.5,54,57.0999984741211
Bosnia and Herzegovina,32.4000015258789,30.2000007629394,27.6000003814697,27.1000003814697,27.5,26.7999992370605,25.1000003814697,24.6000003814697,23.6000003814697,22.7000007629395,23.3999996185303,22.2000007629395,22.5,20.3999996185303,21.2000007629395,17.2000007629395,19.8999996185303
Botswana,48.0999984741211,41.7000007629394,35.2000007629394,28.2000007629394,26.8999996185303,25.6000003814697,32.5999984741211,40.4000015258789,38.5999984741211,36.7999992370606,28.1000003814697,28.3999996185303,26.7999992370605,24.2000007629395,21.5,26.8999996185303,27.6000003814697
Brazil,69.4000015258789,73.9000015258789,73.4000015258789,72.5,71.5,67.9000015258789,67.4000015258789,65.3000030517578,63.9000015258789,63.0999984741211,62.2000007629394,62.5,61.7999992370606,63.5,63,63.9000015258789,63.0999984741211
Brunei,49.2999992370606,49,48.4000015258789,48.0999984741211,47.9000015258789,47.9000015258789,47.9000015258789,48.0999984741211,48.2999992370606,48.2000007629394,48.0999984741211,47.5999984741211,47,46.4000015258789,46,45.7000007629394,45.7000007629394
Bulgaria,24,30.2000007629394,24.7000007629395,24.3999996185303,25.7999992370605,26,24.5,24.2000007629395,21.7000007629395,17.6000003814697,20.7000007629395,21.1000003814697,22.7999992370605,24.6000003814697,26.1000003814697,28.2999992370606,28.6000003814697
Burkina Faso,80.6999969482422,80.6999969482422,80.5999984741211,80.6999969482422,80.8000030517578,80.5999984741211,80.4000015258789,80.5,80.1999969482422,80.0999984741211,79.8000030517578,79.5,79.0999984741211,78.6999969482422,78.4000015258789,77.9000015258789,77.8000030517578
Burundi,69.5999984741211,70,70.6999969482422,71.5,72.1999969482422,73,73.6999969482422,73.8000030517578,73.6999969482422,73.8000030517578,73.1999969482422,72.5999984741211,71.9000015258789,71.4000015258789,70.9000015258789,70.5999984741211,70.6999969482422
Cambodia,64.4000015258789,64,64.4000015258789,64.0999984741211,61.9000015258789,59.0999984741211,59.7000007629394,62.7000007629394,64.4000015258789,66.5999984741211,70,72.0999984741211,74.1999969482422,75.9000015258789,75.5,74,76.8000030517578
Cameroon,46.5999984741211,47,47.2999992370606,47.4000015258789,47.2000007629394,48.5999984741211,48,47.4000015258789,46.7999992370606,46.2999992370606,45.2999992370606,44.9000015258789,44.7000007629394,44.2999992370606,43.7999992370606,43.2000007629394,42
Canada,57.0999984741211,54.2999992370606,53.2999992370606,54.0999984741211,54.2999992370606,53.4000015258789,52.7999992370606,53,55.4000015258789,56.9000015258789,56.5,57.4000015258789,57.7999992370606,57.5,56.5,57.7000007629394,59.5999984741211
