Male 25-54 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5.5,5.59999990463257,4.69999980926514,4.09999990463257,4.80000019073486,7.5,8.5,8.89999961853027,7.59999990463257,6.80000019073486,6.59999990463257,6.5,6.30000019073486,5.59999990463257,5.09999990463257,5.40000009536743,5.09999990463257,4.59999990463257,4,3.59999990463257
Canada,5.19999980926514,8.69999980926514,9.89999961853027,9.39999961853027,8.80000019073486,7.90000009536743,7.09999990463257,6.19999980926514,6.19999980926514,7.09999990463257,9.30000019073486,10.6000003814697,10.3999996185303,9.5,8.60000038146973,8.69999980926514,7.90000009536743,7.09999990463257,6.40000009536743,5.69999980926514,6.30000019073486,6.80000019073486,6.5,6.09999990463257,5.80000019073486
Czech Rep.,,,,,,,,,,,,,2.5,2.5,2.5,2.5,3.09999990463257,4,5.80000019073486,5.90000009536743,5.5,4.90000009536743,5,5.59999990463257,5.90000009536743
Estonia,,,,,,,,,,,,,,,,,,,,13.6000003814697,12.8000001907349,10.6999998092651,9.5,9.5,8.39999961853027
Finland,4.09999990463257,4.5,4.59999990463257,4,4.40000009536743,5,5,4.30000019073486,2.20000004768372,2.5,6.5,11.3000001907349,15.8000001907349,15.5,13.1999998092651,11.6999998092651,10.3000001907349,8.89999961853027,8,7.19999980926514,6.90000009536743,7.40000009536743,7.5,7,6.5
France,3.79999995231628,4.30000019073486,4.59999990463257,5.59999990463257,6.19999980926514,6.59999990463257,6.80000019073486,6.40000009536743,6,5.80000019073486,6.30000019073486,7.09999990463257,8.69999980926514,9.39999961853027,8.69999980926514,9.39999961853027,9.60000038146973,9,8.19999980926514,7.09999990463257,6.5,7,7.69999980926514,7.90000009536743,8.10000038146973
Germany,,,,,,,,,,,4.19999980926514,4.90000009536743,6,6.5,6.5,7.40000009536743,8.19999980926514,7.80000019073486,7.30000019073486,6.90000009536743,7.40000009536743,8.30000019073486,9.69999980926514,10.8000001907349,10.6000003814697
"Hong Kong, China",,,,,2.5,2.09999990463257,1.29999995231628,0.89999997615814,0.69999998807907,0.89999997615814,1.5,1.5,1.5,1.60000002384186,2.79999995231628,2.5,1.89999997615814,4.19999980926514,6,4.59999990463257,5.19999980926514,7.19999980926514,8.10000038146973,6.69999980926514,5.59999990463257
Ireland,,,11.8999996185303,13.3999996185303,15,14.6000003814697,14.8999996185303,14.5,14.1999998092651,11.8000001907349,13.1999998092651,14,14.3999996185303,13.3999996185303,11.1999998092651,11.1999998092651,9.69999980926514,7.69999980926514,5.69999980926514,4.30000019073486,3.40000009536743,4,4.30000019073486,4.5,4
Japan,1.70000004768372,1.79999995231628,2,1.89999997615814,1.79999995231628,2,2,1.70000004768372,1.5,1.39999997615814,1.39999997615814,1.39999997615814,1.70000004768372,2,2.20000004768372,2.5,2.5,3.09999990463257,3.70000004768372,3.90000009536743,4.19999980926514,4.69999980926514,4.59999990463257,4.30000019073486,4
