Male 0-4 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,17.4324964471814,16.8091168091168,17.1445758973331,17.4750227066303,17.822265625,18.0254408788667,18.1981484040348,18.5069008782936,18.7404229236899,18.9846416382253,18.9737806597124,18.4575389948007,17.6283326701154,17.3331829206385,16.9212748303968,16.2383980749398,15.2669134200786,14.1560798548094,13.1009652689407,12.1803059978995,11.3739858675739
Albania,14.4499178981938,15.8273381294964,17.6761433868974,17.1066525871172,15.2777777777778,14.238683127572,12.9172714078374,12.2462344466274,11.9739181979846,10.8433734939759,9.76408912188729,7.39779364049319,7.35294117647059,7.66832917705736,7.68292682926829,7.0828331332533,6.23127621330138,5.70913461538462,5.64320388349514,5.75980392156863,5.65217391304348
Algeria,15.6586021505376,16.8256545565253,18.6016559337626,19.719485723827,20.2915798869384,19.4026072649032,18.1375145672211,17.6444124527623,15.4009267258305,13.0382942909244,10.0246881496882,9.73830197780994,9.82047983893518,9.58597732237595,8.90601375408477,7.90568654646324,6.99645075421473,6.49166523457639,6.34050389219051,6.36642784032753,6.25100692766232
Angola,17.2736220472441,18.578497525866,19.0883190883191,19.4886995183401,19.470509383378,19.3365212193664,19.7930142302717,20.0087089048552,20.1066260472201,19.9741016510197,18.9116226200625,18.68896484375,17.3091297383876,16.8724279835391,16.0761589403974,15.0547175391896,13.9435586096471,12.926162260711,12.0772407634781,11.3433452030758,10.6363548976257
Argentina,11.2369732668781,11.2294488677489,10.9879610166253,10.6074100463128,10.3954613716002,10.874613003096,12.0422991151716,11.0065851364064,10.6347020530796,10.2793885081708,9.62047661076787,8.89707817846802,8.67843176576757,8.32654625592871,7.87028518859246,7.38436930732661,6.9368902702236,6.54319946000675,6.4082409399305,6.26196001791458,6.08877620829812
Armenia,11.3707165109034,16.2198391420912,18.1312569521691,16.6355140186916,12.1951219512195,11.1675126903553,11.1994698475812,11.8332311465359,11.5116279069767,9.75130890052356,7.26141078838174,7.83216783216783,8.46634281748786,8.53825136612022,7.74410774410774,6.76490288010717,6.24580255204836,6.14035087719298,6.17367706919946,6.10844200411805,5.78800557880056
Aruba,18.75,21.0526315789474,17.3913043478261,14.8148148148148,11.1111111111111,10,9.67741935483871,10,9.375,7.5,6.81818181818182,6.12244897959184,6,5.76923076923077,5.66037735849057,5.88235294117647,5.66037735849057,5.88235294117647,5.66037735849057,5.66037735849057,6
Australia,10.9314671814672,10.798626019751,10.7754473734847,10.4547020323803,9.65377417342483,9.38733733001901,7.90406105205778,7.76157260621433,7.58304965371522,7.3901464713715,6.87697160883281,6.50414528227398,6.49836372136512,6.35951258560882,6.22293912895832,6.09438567941416,5.92522924994122,5.78951362015327,5.72713201149849,5.71305533625206,5.69908282573689
Austria,8.20130475302889,7.68277571251549,8.8163514338011,9.61481917083211,8.87119704293432,7.14884110583636,6.19394618834081,6.43992194034012,6.10021786492375,6.14058008884244,5.47379292538084,5.09872531867033,4.83989244683452,4.753861003861,4.79713603818616,4.79792011344836,4.72829922371207,4.63311382878645,4.62482302973101,4.72123368920522,4.89143402529229
Azerbaijan,10.8584005869406,15.9263959390863,19.9677938808374,19.3212669683258,15.2407481098289,12.8288288288288,12.0080053368913,12.7653029836973,13.7716066874469,12.0925341745531,9.19888804649987,8.74423123633714,9.6523330283623,9.50118764845606,8.46582696675614,7.21298337006612,6.42436149312377,6.25726462611391,6.30993479094745,6.16765323658583,5.81706850363567
