Total 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,14.3330469996319,13.9952288992389,13.7091741210734,13.4847342630984,13.2781484922713,13.1162302093494,12.9705312970531,12.7877653949402,12.7116622943,12.2760451227604,11.9394264011297,11.7649459294022,11.7632916609424,11.9813111403125,12.2827405012126,12.7443349863239,13.4079646192422,14.3337938852871,15.4715466730877,16.6615301075742,17.7827068991168
Albania,14.332784184514,14.8550724637681,14.3389199255121,13.697164258962,14.1253507951356,14.493960849646,15.6752712308268,16.3624070317782,16.3829787234043,18.2572614107884,20.5345501955671,22.7404310067546,24.0769958977595,23.9644062595888,22.8511530398323,23.3441271710333,25.256072578285,27.7582159624413,29.4500295683028,27.8805970149254,25.5222524977293
Algeria,15.1930546036098,14.473955116327,13.6401518659135,12.5975006290363,11.9508292115217,12.3173929329504,12.695374800638,11.9201701588451,11.794952930939,12.630014858841,14.1424075531078,16.6839157433337,19.1930884553488,21.2581060148599,23.6765031626098,26.1794267857559,28.0032195318264,28.8033726083667,27.5698969939037,25.8502842833392,24.8725029732508
Angola,14.9059334298119,14.6766718163761,14.3541625074865,13.9665819106429,13.5459477231629,13.0945390487375,12.5668449197861,12.0231461637377,11.46018944012,11.3184972481455,11.4651912032498,11.7101937657961,12.1103622577928,12.3467035500231,12.7769842889206,13.4516564014724,14.4599704093375,15.7628387483156,16.9681143485432,18.3569232332986,19.474281928737
Argentina,20.581890268789,21.2110033726813,21.5383871591568,21.9035260425989,22.1463089485086,21.7899431031831,20.9170988136677,20.242821225354,19.956302314131,20.1397676291269,20.6258967486938,21.1122873150706,21.3003491860522,21.8041224998237,23.2258938244854,24.2726064119609,25.340190040844,26.0918970290484,25.8685930512556,25.6912121573776,25.5643673196969
Armenia,16.6420118343195,16.5706973768394,14.1327623126338,12.9251700680272,15.3296266878475,17.1913689423417,20.6262104583602,19.3828639904134,17.9740406320542,19.2737430167598,21.0269743256419,25.4491996079713,26.1727596247169,24.5859872611465,22.8589420654912,23.3113415017279,26.8769716088328,29.2156240076215,28.2782943251042,26.2422864566418,24.0304938680809
Aruba,13.5135135135135,13.953488372093,14,15.3846153846154,15.5172413793103,16.9491525423729,18.3333333333333,18.4615384615385,23.8095238095238,25,28.0898876404494,31.3131313131313,33.3333333333333,33.6363636363636,30.3571428571429,26.5486725663717,23.8938053097345,24.1071428571429,24.5454545454545,25.4545454545455,25.4716981132075
Australia,23.0319990266456,22.8804347826087,22.6427945898609,22.7978824958778,22.3854796888505,21.2566059894304,20.8477920664081,20.7961521422695,22.1682658553709,24.0878732682011,26.1606677099635,27.4113666454175,27.2418762493608,27.1122710784747,26.1372756071806,25.3734364247257,25.0292352069853,24.6982953688339,24.6621497894159,24.3097667118499,24.072269024577
Austria,28.3881199538639,28.6516853932584,25.5503479619372,24.1644890661532,22.8307445099089,21.7999472156242,23.4296315928969,23.7962962962963,24.0583865502411,24.6880907372401,26.267799150637,27.9761904761905,29.8831385642738,30.5102763997165,29.4296756060429,27.7906976744186,26.2042612320519,25.8594744762125,25.6240566585394,24.7462373118656,23.8520258367587
Azerbaijan,17.9620034542314,17.9548872180451,15.041067761807,13.1394840402274,14.0757927300851,15.5563367902971,18.5978578383642,17.2889488678962,15.6843710997088,15.4053706796865,17.4652050745166,22.1959299574065,25.0111957008509,25.3341820496499,24.3314692425013,24.1484845493139,26.2204571871368,28.1551542944492,28.1146532967553,26.7596344106285,25.5838139358986
Bahamas,15.1898734177215,15.9090909090909,15.7407407407407,14.0845070422535,14.6198830409357,14.2857142857143,13.8095238095238,14.1630901287554,15.4150197628458,17.0818505338078,19.078947368421,21.9135802469136,24.0579710144928,25.8855585831063,26.0416666666667,26.3681592039801,26.2019230769231,26.4501160092807,27.0454545454545,26.5033407572383,26.3157894736842
Bahrain,13.0434782608696,13.3333333333333,12.1019108280255,11.5183246073298,12.9032258064516,12.3636363636364,13.5446685878963,13.8014527845036,13.8211382113821,15.7439446366782,18.8650306748466,19.9175824175824,21.2608158220025,25.8796821793417,28.6014721345952,29.382957884427,28.9400921658986,28.2342657342657,27.5459098497496,27.3972602739726,26.8025078369906
Bangladesh,16.2151622892534,15.4783039511168,14.78259263364,14.388170419484,14.0015611899737,13.4829470701346,13.0648819071851,12.6438232466915,12.5657257506573,13.3668004309604,14.4160208003296,15.8512055588934,17.7286632648717,19.7787898503578,22.2291685754167,24.6938649929235,26.6131929237507,27.8024684301032,28.3145566504751,28.2322885026117,27.645565068878
Barbados,18.957345971564,19.9115044247788,19.8275862068966,18.6440677966102,17.6470588235294,17.0731707317073,15.3225806451613,15.2941176470588,16.2162162162162,20.0772200772201,24.901185770751,28.968253968254,31.25,31.7829457364341,29.5019157088123,28.2442748091603,27.6923076923077,26.7716535433071,26.1904761904762,24.8979591836735,23.5294117647059
