Female 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,13.4028484231943,13.9693757361602,13.4499136442142,13.7404580152672,14.0449438202247,14.3480973175296,14.5497912939773,14.6601285086236,14.8992401717872,15.0516647531573,15.2672527028392,15.3474985185812,15.0876193189913,14.4959128065395,14.3545430741032,14.1625956309337,13.7842150484841,13.1711255458916,12.4052400585184,11.640838650866,10.9571788413098
Albania,12.4584717607973,12.1345029239766,13.2665832290363,14.4552319309601,14.3803216650899,12.962962962963,11.7647058823529,11.5143056524773,10.4803493449782,10.9324758842444,9.91574854180168,8.84786760025462,6.59614187927816,6.46916565900846,6.70982931135962,6.70132871172732,6.24284077892325,5.56192660550459,5.07789959607617,5.06697728596389,5.14184397163121
Algeria,13.1529850746269,13.411322331314,13.8303821062442,14.6156439649359,15.3430116709365,15.2291769344505,14.7994024754588,14.6432471787404,14.7548824232762,13.2443238612023,11.6580653698558,9.00319567354966,8.74472694105575,8.87015534701235,8.73993838815462,8.19764705882353,7.34598224345396,6.53119832912714,6.0699501562896,5.92763347466348,5.96804132031313
Angola,12.8253667770942,12.6894759636206,13.8606108065779,14.2551674982181,14.5530816392385,14.6524372656475,14.5290581162325,14.8828372387587,15.0619109221955,15.2177330608395,15.3410660038663,14.646884272997,14.8390446521288,13.9194472224748,13.7431606050853,13.2878189004671,12.6320565169486,11.8692085226937,11.1321776814735,10.509187402994,9.9608647036899
Argentina,10.1261261261261,10.2117596474256,10.2280512870706,9.96671763965098,9.56065901148278,9.24087368260272,9.51378657124816,10.5345501955671,9.59152798789712,9.28301033956721,9.01552200722943,8.48659877387648,7.8679345465077,7.69656699889258,7.4233291969509,7.04966419985456,6.64563529948944,6.26746022106158,5.91800356506239,5.80594983472681,5.67990188563544
Armenia,8.00561797752809,9.69325153374233,12.2026887280248,13.8570167696381,13.5198135198135,10.2971665514858,9.38287153652393,9.26686217008798,9.9780701754386,10.0294985250737,8.09815950920245,5.5045871559633,5.76106731352335,6.21266427718041,6.33510953226761,5.92768227622999,5.28817587641117,4.91901619676065,4.93000608642727,5.06485484867202,5.12333965844402
Aruba,16.6666666666667,14.2857142857143,16.6666666666667,15.3846153846154,13.7931034482759,10.3448275862069,6.45161290322581,6.06060606060606,9.09090909090909,7.69230769230769,8.69565217391304,7.69230769230769,5.35714285714286,5.26315789473684,5.35714285714286,5.26315789473684,5.08474576271186,5.35714285714286,5.26315789473684,5.17241379310345,5.35714285714286
Australia,8.51742758959254,10.0967883853938,9.81703718276608,9.81283890152178,9.67690845739626,8.91541408782788,8.68678629690049,7.27640222334512,7.16285580961269,6.91775557263643,6.82124003726322,6.34317451037708,6.00036982248521,6.01073660124967,5.9016393442623,5.79278117950371,5.68305163591254,5.54930633670791,5.4317751565458,5.39007092198582,5.38743854303719
Austria,7.42534301856336,6.67025282409898,6.27492688114863,7.18903542798035,7.9260572296784,7.50562922191644,6.12757408337519,5.3135230420549,5.62922191643733,5.50280009739469,5.59051306873185,4.93973056015126,4.65874679711158,4.44136016655101,4.39080459770115,4.46020128087832,4.49258836944128,4.44495099156599,4.36571428571429,4.36280137772675,4.45933456561922
Azerbaijan,7.89817232375979,8.62364363221017,11.2315270935961,14.575411913815,15.1014274981217,12.8301886792453,10.5346409364125,9.99123575810692,10.8365019011407,11.3847700427243,10.4416706673068,7.63200368918607,6.70758439281017,7.54795663052544,7.63068295613859,6.99123661148978,6.09592967704949,5.52309142318567,5.45081202165391,5.61651478519621,5.60328726186029
Bahamas,11.9047619047619,12.7659574468085,14.2857142857143,15.2777777777778,15.2941176470588,14.7368421052632,13.2075471698113,10.9243697478992,10.8527131782946,9.79020979020979,9.67741935483871,9.09090909090909,7.90960451977401,7.4468085106383,7.03517587939698,6.69856459330144,6.04651162790698,5.82959641255605,5.65217391304348,5.50847457627119,5.43933054393305
Bahrain,14.8148148148148,14.5161290322581,15.0684931506849,17.5257731958763,16.6666666666667,16.260162601626,13.7931034482759,12.5,12.2549019607843,11.1570247933884,11.1510791366906,10.3225806451613,10.1156069364162,8.97097625329815,8.23244552058112,7.39910313901345,6.90376569037657,6.69291338582677,6.36704119850187,6.07142857142857,5.84192439862543
Bangladesh,13.550591847853,13.1610337972167,14.3989017454403,14.4823769499498,14.6463882925649,14.7537540690959,14.97378618646,15.0635605864683,14.6166331463251,13.3852769887491,12.1444610778443,11.2917939158371,10.4144370225486,9.13589645984012,8.59558631496474,8.1406411582213,7.62446488029174,7.0615274120182,6.52637658478421,6.1691152345886,5.98210840833027
Barbados,9.64912280701754,10.8333333333333,11.5384615384615,12.6984126984127,12.5984251968504,9.375,10,7.63358778625954,7.46268656716418,7.5187969924812,6.97674418604651,6.06060606060606,5.26315789473684,5.3030303030303,5.22388059701493,5.22388059701493,4.51127819548872,4.58015267175572,4.65116279069767,4.7244094488189,4.91803278688525
Belarus,6.66204024982651,7.15277777777778,8.54853072128228,9.95726495726496,9.16717822795171,7.26478761413259,6.93719806763285,6.83904815439385,7.33810310034856,7.19530102790015,5.53684998129443,4.38931297709924,4.307152601832,4.62704427602712,4.58077709611452,4.33410477593099,4.03996524761077,3.78208014407924,3.74619527042847,3.91293714844705,4.07587798000513
Belgium,6.08139003200732,7.56936736958934,7.39708404802744,7.68911055694098,7.77370777370777,7.11857628474305,6.38678869876642,5.89402659257789,5.72609208972845,5.64391000775795,5.70495582020745,5.39473684210526,5.24097489463075,5.4054054054054,5.32197977647685,5.32679165936569,5.23487606170914,5.12379642365887,5.04015035024774,5.05445881552076,5.11122431652233
Belize,11.7647058823529,12.8205128205128,14.8936170212766,16.6666666666667,14.2857142857143,14.9253731343284,15.7142857142857,13.9240506329114,15.2173913043478,13.8888888888889,13.7096774193548,12.7659574468085,11.5384615384615,10.4046242774566,9.62566844919786,9.04522613065326,8.41121495327103,7.58928571428572,6.75105485232068,6.5843621399177,6.32411067193676
Benin,11.5981735159817,11.5826702033599,11.1759799833194,11.9723714504988,12.8561501042391,13.4615384615385,13.7874659400545,14.1706161137441,14.3734643734644,14.2906815020862,14.4397843019772,14.2090467671863,13.953488372093,13.9300646142151,13.5427052176803,12.8273021476905,12.0283948994347,11.2838158519222,10.6348520837832,10.0307265338487,9.42893867058391
Bhutan,13.75,13.5416666666667,12.962962962963,13.3858267716535,13.6986301369863,13.4502923976608,13.6585365853659,14.2857142857143,14.1263940520446,15.2,14.0287769784173,11.3636363636364,10.4790419161677,9.39226519337017,9.23076923076923,8.69565217391304,7.83410138248848,7.07964601769912,6.56779661016949,6.37860082304527,6.187624750499
Bolivia,12.7941176470588,13.4831460674157,13.6524822695035,13.8258575197889,13.736521331458,13.7417218543046,14.075165806927,13.4239310573417,13.1727624145109,13.0873374037696,13.1818181818182,12.3290644671153,11.793953858393,10.9619275335663,10.1921757035003,9.4360962998869,8.73563218390805,8.08036368969057,7.47175141242938,6.93340641271581,6.47145340286134
Bosnia and Herzegovina,10.1522842639594,11.865524060646,12.6769230769231,12.1387283236994,11.3861386138614,9.65879265091864,8.55991943605237,7.69966523194644,7.84403669724771,7.58459743290548,5.59623430962343,5.44806517311609,4.4592516658124,4.23772609819121,4.19067574646412,4.10885805763074,3.94088669950739,3.72881355932203,3.58191426893717,3.5517452541335,3.67031551835158
Botswana,12.6760563380282,12.0833333333333,15.0735294117647,15.3846153846154,15,14.9643705463183,14.9700598802395,15.2284263959391,14.9709302325581,13.7931034482759,12.4280782508631,11.5926327193933,10.5476673427992,10.7074569789675,10.4735883424408,10.0957354221062,9.56375838926174,8.94308943089431,8.60299921073402,8.34609494640122,8.01781737193764
Brazil,12.8318258695492,13.5671069720295,14.2038757777595,14.2241787371012,14.4268774703557,13.1318539305099,12.3270811795402,12.2236690026481,11.9708766242394,10.573540407693,9.2842141113697,9.02901501654365,8.51213932253611,7.19794593547137,6.32420712763861,5.84231787412178,5.40168324407039,5.05741401239894,4.87386487227326,4.68922511636945,4.67733489540343
Brunei,13.0434782608696,9.67741935483871,15,16.6666666666667,14.2857142857143,12.8205128205128,13.3333333333333,13.0841121495327,11.5702479338843,10.7913669064748,10.6918238993711,9.6045197740113,8.62944162436548,7.981220657277,7.32758620689655,7.14285714285714,6.69144981412639,6.64335664335664,6.27062706270627,6.03174603174603,5.74018126888218
