Total above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,4.50362007608296,4.38486879472907,4.25421260661535,4.14624952883528,4.07128980488217,4.00690327905755,3.97935039793504,3.93720003253884,3.89538119087368,3.84317628843176,3.78341529921605,3.73801265047949,3.80546778403627,3.77865381807563,3.81467259498787,3.92492606017479,4.12446445142056,4.41421334183583,4.79974315755679,5.30533174833796,5.94965984554418
Albania,10.1317957166392,8.6231884057971,7.51086281812539,6.79507758159444,6.64172123479888,6.87213660974594,7.66928544706322,7.43745774171738,7.81155015197568,9.41589530801149,10.9517601043025,12.3190736571245,13.663616282739,15.2500767106474,17.6400119796346,19.7821607300559,21.5393620134621,22.6819248826291,23.7729154346541,26,29.0644868301544
Algeria,6.80831619830934,6.4237183446572,5.85239374016113,5.09100058710056,6.27000290951411,6.08065925833437,5.90111642743222,5.48038195230122,5.45447353848588,5.82678836765018,6.26147390506163,6.45318397662243,6.89178124735312,7.96030349969808,9.20233319386675,11.0678389030107,13.2693898540032,15.6891146903038,18.4675215471936,21.6260596481865,24.3080892579975
Angola,4.94452484322238,4.70094901787685,4.57177081253743,4.54050127134036,4.50435640309058,4.50675278919554,4.45632798573975,4.35062151735962,4.22020069398856,4.07593523171413,3.97814820002801,3.92947406426766,3.94376579612468,4.14015675426464,4.39910222403591,4.73413754145559,5.11260891007726,5.52777361880521,6.10225398570643,6.8482707798643,7.79349832016278
Argentina,7.04332108914932,8.04700674536256,9.03113517694837,9.99194558797208,10.9731711381436,11.7368906658465,12.1368189244868,12.7100701336509,13.2477843426883,13.5367537098815,13.7253309510274,14.104980506571,14.7322087247332,15.5475121630197,16.4341820151679,17.3332170956563,18.2951347004423,19.6438163712243,21.6920617576236,23.3341289732267,24.9420910054572
Armenia,12.2041420118343,10.2367242482406,8.61884368308351,8.20861678004535,8.33995234312947,8.34807216130173,7.68237572627502,8.05871779508688,10.0169300225734,12.5077591558038,15.1446213844654,14.37438745508,14.4936913620188,16.1783439490446,19.1120906801008,21.7090794847628,22.397476340694,22.7056208320102,23.7576146200705,26.3072426112374,29.7315213788532
Aruba,0,2.32558139534884,4,3.84615384615385,6.89655172413793,6.77966101694915,10,9.23076923076923,9.52380952380952,10,11.2359550561798,11.1111111111111,13.8888888888889,16.3636363636364,21.4285714285714,24.7787610619469,28.3185840707965,29.4642857142857,30,30,28.3018867924528
Australia,12.4589366102932,12.445652173913,12.250656806461,12.2103618849258,12.2416908933763,12.7935995302408,13.6354358032251,14.8218467185621,15.5277322724081,16.0125848650439,16.6614501825769,17.5697543274653,19.5202454558133,21.3792798372114,23.3284054910243,25.1912723151034,26.545567942621,27.7945391461759,28.3647683574437,28.9826639081116,29.5272575367263
Austria,15.4411764705882,16.6954768078364,18.1792359039909,19.447118690689,20.0856989823246,20.2823964106624,19.1094619666048,19.8015873015873,20.174638342239,19.773156899811,20.6095428428678,21.9509232264334,23.0741712377772,24.4153082919915,26.6307530155756,29.6976744186046,32.4687355257064,33.9043870818382,34.5059793335655,35.3401003383502,35.8073987081621
Azerbaijan,11.0880829015544,10.015037593985,8.82956878850103,8.19851333624836,8.08197989172467,7.87484619441026,7.12431028886725,7.15249662618084,7.34988212453196,8.08171656173712,8.92967114176623,8.92096545196403,8.68786386027765,10.0042435815829,12.6588713777326,15.8752097936618,17.9581557535839,19.3465176268272,20.471100179737,22.4159050221427,25.2150893448048
Bahamas,6.32911392405063,6.81818181818182,5.55555555555556,5.63380281690141,5.26315789473684,5.82010582010582,5.71428571428571,6.00858369098712,5.92885375494071,7.11743772241993,7.89473684210526,8.95061728395062,9.85507246376812,11.716621253406,14.0625,16.6666666666667,18.9903846153846,21.3457076566125,22.9545454545455,24.9443207126949,26.3157894736842
Bahrain,4.34782608695652,4.44444444444444,4.45859872611465,3.1413612565445,3.2258064516129,4,3.45821325648415,3.6319612590799,3.65853658536585,3.80622837370242,4.4478527607362,3.84615384615385,3.70828182941904,4.65380249716232,6.62460567823344,9.69637610186092,13.5483870967742,17.2202797202797,20.2003338898164,22.32070910556,24.294670846395
Bangladesh,5.3836449134075,5.44362330209323,5.36406959991134,5.28622070504825,5.1721645609876,4.94636170428094,4.7491564798938,4.77420357118583,4.89397398643974,5.03489842761894,5.2995375336549,5.65750633473525,6.17796780255804,7.11799016082822,8.23124888843378,9.59428137755625,11.2688531850503,13.3734417499083,15.9437721163938,18.7003902745584,21.2054203465246
Barbados,8.53080568720379,9.29203539823009,9.91379310344827,11.0169491525424,11.7647058823529,13.8211382113821,14.1129032258064,13.3333333333333,13.5135135135135,13.1274131274131,13.4387351778656,13.8888888888889,15.625,18.2170542635659,22.2222222222222,25.9541984732824,29.6153846153846,32.2834645669291,33.7301587301587,34.6938775510204,35.7142857142857
Belarus,12.5645661157025,12.2004357298475,11.7381214119946,12.3387940048798,13.1843822585997,14.2216527866752,13.7384822445388,14.58,16.5204678362573,17.775396902698,19.0253605171556,18.0975659435788,18.2964970809008,19.5917058572039,22.0478489903424,24.361581920904,25.6335396473199,27.388303668725,29.3539856441254,32.1292525942467,35.0329851566795
Belgium,15.9133055169217,16.6064981949458,17.631636443085,18.4299619128227,18.9615784008307,19.1839656406586,18.3760683760684,19.490575649516,20.5577368368066,21.437778879524,22.0347297164721,22.0238095238095,23.3738317757009,25.0045964331679,26.9913106444605,29.0795352993744,30.667138559547,31.6404533872243,32.0744820351429,32.2903956771832,32.3442394709363
