"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.118841852161,35.3353113291046,35.047044351146,35.2438972031038,39.2062209744578,39.6866993333093,45.8871357135805,47.6076569015817,47.9176232337845,
Albania,,,,,,,,,,,,,,,,,,,,,21.3997944355241,24.5996394434379,24.5001191489362,22.5998530127698,22.9000603918106,22.0998613473722,21.7998851989428,20.9998236058571,22.2001429915334,22.8997393215344,15.8984118650742,18.0077993544255,25.0375709039962,22.457316667073,24.6483353573788,21.689913631981,46.8091194686606,47.6950107234703,51.3694929093509,53.7144500177217,51.8601896029407,53.2566836562957,55.171354785754,54.9178815856399,55.3000020347258,55.7,57.7012006860041,59.2179716545903,60.6089025715294,60.2392552446124,60.5302348330388,
Algeria,,,,,,49.3950069507161,49.7571660479229,47.2834498687552,46.8828615849242,48.438368046377,45.2638036760129,49.115572970495,43.4511906620103,39.9706872443929,34.9357452295005,39.3686507254171,35.9728896191978,36.2989621437399,37.5070375963657,36.4626554059427,33.8390488202115,33.7110479679895,35.4872353352095,36.4442354543643,36.6666671161591,37.4393428101637,41.7063363245882,40.7016336343428,42.539878665132,41.4271053272561,40.4724397259099,36.6744961460178,38.1572131501999,39.2645405265425,40.9788187071245,39.1016082119625,37.0028366269644,38.2105874012338,41.3196980351996,39.7985160912099,32.5134040596112,36.139677972942,36.9077580157828,34.6910236116188,33.4571188159778,30.4679106587504,29.7141077546023,30.6916475777108,30.9613223585138,30.9609673313534,30.9609673313534,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,43.1846313929589,51.5052574524875,45.8585901774936,44.7030624176095,41.8359729989597,41.2150407524033,42.6431165416142,36.6483846729005,37.2339248097145,26.3752512910946,26.4308789842037,25.1524548978866,30.2402406688035,31.2853014735971,20.9923708578417,22.2123554945612,26.9598114360045,23.9601738241562,24.2729226205517,25.2720304975287,19.7516463451655,21.4377257821857,25.5740780677162,25.8715683480574,30.75124818408,27.6107339513425,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,73.7508663600277,75.8918491758862,75.9852839733272,74.7686085400949,74.763287027438,79.1795421580375,79.6355067979891,79.811627901812,78.4911793484282,76.4503399264541,75.16796206359,74.947544539807,73.9714638664085,75.7212569405311,74.9764022615817,76.3812286259106,77.7103141202788,78.2412952067907,77.7674607684434,78.2756961587306,77.723313488628,77.725922783199,76.6837994793405,82.0906923941544,83.3719412600822,83.3215311458745,83.0330994351826,82.9457249691455,81.2424996178601,76.75908222077,77.1317219170752,75.909178390349,76.2857582806998,79.2729200256592,
Argentina,,,,,,38.6813582847529,40.1164246015857,42.6362011601487,43.2426585260429,43.4275469820532,48.0836525044134,43.179046463158,43.4334758166852,44.6951229902977,46.1763596271031,43.2747682870688,40.9540839988618,44.1066558214185,46.3979525030528,48.1755980553814,52.4268325073466,53.186253598431,49.3009953094612,49.7853685268061,51.9458352298589,53.0895381715363,54.8191624683246,54.0769662656489,52.5355207001495,48.0360922412516,55.8544476443929,60.5611984924018,63.3252164443486,65.2788256020321,65.9232548126077,66.2969891642908,65.5778647258918,65.2536388695474,65.8146422548981,67.4402794483835,67.4200889152563,68.5836271656216,57.3330205481436,54.2861689230428,53.9750726452125,54.98987645521,55.9662856546147,56.8689234752252,57.8850877402623,60.6974838521879,59.062397352942,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6678193213745,25.7829087048832,29.5566329398538,21.6850317897331,18.1506094663615,25.7580270096111,30.5882105190721,34.8314939080495,35.2491591629504,38.3392050062646,35.4695904905082,35.2649290141341,35.0624883593104,34.3306125698946,34.2171526050864,33.8093048791701,34.8913486840955,35.8091315021555,38.0543476360467,45.2804497217273,44.4603158243609,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,53.8659987905556,52.7748824549923,53.2159346260902,54.0797238585869,54.6621381070863,55.2519065215636,56.6053338873554,54.773457367318,54.2834009942016,54.19759632164,56.0709819043643,58.8500393191845,57.1081303693932,56.9982711618567,57.8610642675822,60.4723018014367,61.738982885684,63.2752670652391,63.8725327017632,66.2505339598462,67.0871842833949,67.1754835124488,67.1288489606212,67.6143639148463,67.8190302121674,68.7555688742383,68.8617424706719,69.4555326925729,69.5779168185316,69.9128992251518,69.7548689796429,70.3657970606849,70.3875606766812,69.9620007811559,68.9047579899522,77.3521146341221,77.5866946523088,76.3741135130015,77.9105511863614,
Austria,,,,,,,,,,,53.5764373570189,54.34409958651,54.1482662601866,52.7720925146836,53.3424115075023,55.7824393168201,56.5802795438415,57.7856907384416,57.683297157809,58.8587706683607,58.7651585786342,59.5993576891597,60.9314003977517,61.672327229449,62.4528560252296,62.748039451223,62.982177937602,63.6329174112868,63.9263655116346,64.3079277112724,64.1160670127465,64.5385122322539,65.5862985292564,66.7792000444362,66.5425471191287,66.6490286953405,66.9001504512852,66.9161324559912,67.1700757481165,67.2768484560021,67.3460448770454,67.9498487217043,68.7681319754611,68.8966753044973,68.9734661376472,69.1336581355623,68.9925280179664,68.3924843529817,67.9993689477802,69.3540401956075,69.3885505417076,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0667812056473,36.3073749355338,31.5290454642418,37.7273761713521,38.8031920975007,39.1130752819262,33.3930111814586,38.319987417685,44.6142000569894,40.1334841004992,37.523323318801,36.7187914776138,34.6498857640894,33.9544894146251,33.4382028150507,26.5091568762958,23.78591827142,24.5033627403238,23.8067644718361,32.2689347271862,29.5270879308737,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,83.8677171485832,83.9512260111023,83.914032257642,83.4272283441279,,79.7597244647812,81.0405080675351,78.2939485520766,78.6508609295669,82.0686255205909,79.6297825488577,80.410511907757,80.2826111586645,78.5657862998497,79.1054464265009,80.6909180246373,79.6022310844708,83.7658059359329,81.786033687881,81.7077762840626,82.757014155373,82.4067285194387,80.5362566386002,84.2555686411002,83.7047171400542,83.5827674975804,,
Bahrain,,,,,,,,,,,,,,,,,,,,,39.9274685067602,41.1841536023522,46.0607084913919,50.6550840216463,49.8740221967782,50.3532141786448,55.1076707880504,54.6316602606447,56.8011667391979,56.3761744310335,53.3160724346076,59.2534813021325,61.8786063591581,61.2036399317324,61.7146838875801,59.1894155624819,,,,,,,,,,,,,,,,
