Total reserves (% of total external debt),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1835241975894,25.3188846109001,57.8167760315238,65.225479964549,65.5902588577197,65.6923674435647,72.8394973592954,60.4226848420534,69.8029456224867,76.90480951205,69.5408934329509,89.178468458451,70.0729251973146,74.8375436543516,75.7461438859998,60.5545714178446,50.4809318519087,53.6488789668099,
Algeria,,,,,,,,,,,37.4938167744581,42.6168360078925,41.306617849026,51.0236704272159,73.5216095665901,40.9191906032874,40.9236571674023,24.4429022851392,20.5270107285585,29.8140447099294,36.4803822514364,32.1964621726808,28.1912130516786,24.5012398873313,20.0457884923803,25.4381622900485,16.9652333184095,17.7888909618044,12.2338800326235,11.3301194752658,9.60484274024347,12.1456395202134,12.1303358202542,13.9132755324428,15.9166118610506,12.5993261878742,18.7094588911496,31.2817958539644,27.5409845675148,21.9453233737484,53.3951289970967,86.9466428503908,110.150116957881,150.595766798953,205.954500820962,350.694525998036,1423.94980770428,1946.15880104918,2495.51479124633,2859.7443824793,3230.92827778616,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85072070243127,5.23069129760255,3.98492402962899,1.88661243744058,4.81723084550372,12.7364204003545,8.67776764654221,4.29723956285511,7.29381690663016,14.676593077221,27.0146638079956,90.768918451348,97.4271949512351,118.336775013086,82.2337299530054,106.397080227561,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,11.7352270516976,4.86795749482505,8.45182741314588,22.1141939024318,24.770841579402,10.9838336261384,21.3755525278603,33.5854214291144,44.6918533944534,55.4969255503682,34.2333717331918,14.0476284486312,10.3268230394632,6.18531126133457,5.30224210670183,9.23065943107196,8.44122046613346,6.38742701120031,8.76613476299283,4.9295796065574,9.99803100182295,11.4096075578084,16.750288512617,24.0569791789611,21.3892271485448,16.2285786849683,17.7525050232523,17.7224184508167,17.7810032751685,18.7754083822844,17.8493007247706,9.7949465347849,7.24114474290404,8.83297006014341,12.1072591094236,22.4762984929979,27.6379734073728,39.3373358601712,39.0114668234061,39.9118047345072,40.8351545749308,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1452833344534,16.8469571017823,29.9960442973828,32.3126982836033,37.4677440570256,36.4527815461628,33.6550581492175,34.2862658342679,25.5317315483203,27.0700909010652,26.9370507824427,27.8091135659067,36.3400331615272,53.4906544893472,57.2482934001262,41.3062499077346,41.0112727712553,30.572692174857,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66031401238042,1.80315427912955,37.6601529915324,48.7466181997331,91.981112417493,63.4784550812798,62.3762685282238,49.0917816070363,54.8547332934291,48.6643145765594,46.850320789544,58.2258443169799,60.6809443911691,100.339334608336,121.345082282788,151.723481967118,118.366761943485,91.903248696806,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,184.617088951838,28.7645306242123,10.9901907378617,8.82263794867619,14.4894092283349,10.3570538496936,11.3919938370726,13.9412137054687,8.71028067234413,3.79355329939354,4.22095012423605,10.2104636853721,7.36376062490635,5.45500298273842,5.49535612520851,8.99912001330173,10.4788042541357,4.97359379288015,5.36874342964174,10.0688979920788,13.8119192329271,17.3314305578248,20.5069539677053,15.1099912001856,12.331092375804,11.3035922583234,12.4867421951221,9.97780325699534,9.75745015371704,8.7832591463896,10.3914265480931,14.3300920236201,16.4492558282464,15.3687663440899,19.3520564557342,24.779010654973,25.2946027068415,43.4489704480147,44.7662697109668,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
