Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,769308,814923.0492,858521.6976,903913.86486,951225.94143,1000582.34999,1058743.467464,1119067.204752,1182159.057156,1248900.78846,1319848.78086,1409001.087204,1502401.791024,1598835.452208,1696444.827408,1793266.13232,1905032.57742,2021307.692256,2142247.682502,2268014.567364,2398775.0325,2493264.953112,2590846.397706,2691611.827554,2795656.425198,2903077.98738,3006983.06655,3113957.03872,3224082.30858,3337444.05221,3454129.21446,3617841.57378,3788685.28092,3966955.7533,4152960.212614,4347017.98083,4531284.645246,4722602.736618,4921226.862894,5127420.633192,5341456.45728,5564491.94004,5795939.87865,6036099.715656,6285280.775412,6543803.78484,6812538.467974,7091244.930584,7380272.241072,7679981.651404,7990745.95252,8316975.82504
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,494443,511802.7798,529438.85145,547376.7486,565571.7525,583982.8866,602512.16676,621179.8476,639964.46304,658853.12412,677839.1226,698932.2456,720206.570424,741681.036096,763385.453832,785350.02312,807989.8311,830959.17432,854262.38382,877898.1456,901884.306,927223.817598,952447.407168,978476.388372,1006612.900752,1037541.1337,1072365.09336,1109953.56589,1146633.1006,1177286.05581,1198292.86724,1215445.21197,1222544.242396,1222811.511378,1221363.567648,1222234.19922,1228759.91769,1238090.31786,1250366.13533,1265194.51875,1282223.41296,1315689.880608,1352278.419036,1391143.427388,1430917.599954,1470488.072,1512254.655132,1553490.85248,1594350.743756,1635261.637032,1676545.47448,1716842.329848
Algeria,3293999,3515147.548338,3739963.00704,3973289.13381,4220987.01442,4488175.64286,4649105.238832,4826104.222682,5017298.598264,5219331.868548,5429743.075,5619041.53074,5815734.49288,6020647.35258,6235114.38468,6460138.0435,6774099.232852,7102902.287376,7447728.392432,7810072.950128,8190772.26858,8637724.151056,9105820.404352,9591900.047592,10091289.48196,10600111.58464,11101756.566054,11609104.09356,12122940.908534,12645262.7496,13177078.9447,13708812.87744,14248297.252562,14789175.940766,15322651.130556,15842442.21227,16395553.26525,16935450.52221,17469200.39474,18007936.6929,18560597.41849,19198872.478236,19854835.291344,20529355.662284,21222197.500128,21932977.75361,22625052.35224,23335542.75915,24061748.7692,24799590.70776,25545622.12992,26216967.62945
American Samoa,,13660.298,14165.796648,14758.92576,15396.419168,16044.8232,16693.10552,17348.66398,17995.51116,18618.68192,19206.38592,19752.01646,20262.6684,20741.97378,21194.3788,21631.67538,22046.64506,22452.405024,22899.496044,23457.293996,24176.5758,25173.253348,26342.303316,27655.182076,29062.125736,30523.91786,32013.529328,33547.790344,35094.627328,36617.70926,38087.65296,39599.805888,41049.363584,42442.813072,43797.99636,45129.3232,46342.570572,47527.040496,48705.29842,49905.946896,51151.4075,52341.327302,53582.691136,54864.457788,56166.246316,57473.60246,58679.3099,59894.1993,61118.291,62357.16368,63615.5476,64816.718634
Andorra,,8723.92113,9700.34576,10748.38331,11865.86148,13052.75405,14216.8068,15439.61988,16726.99301,18088.32051,19528.9642,20928.728064,22405.836186,23937.051124,25481.982288,27019.32684,28366.222464,29677.147272,31036.729344,32571.555048,34365.64992,36355.83358,38617.6978,40983.36756,43206.6708,45118.68826,46254.212488,47018.998208,47669.342288,48577.185374,49982.36376,51972.209928,54469.428572,57079.18538,59243.053032,60597.73039,60927.105706,60461.99313,59685.433444,59280.95077,59718.5843,61062.2025,63212.31865,65802.20405,68301.1378,70328.9696,71726.372756,72684.36282,73335.147314,73897.334302,74525.01888,75207.39695
Angola,521205,548265.046184,579695.369958,612086.696176,645261.590826,679109.1204,717833.39914,757496.318184,798459.256248,841261.955248,886401.62681,955010.087232,1027397.34999,1103829.783624,1184486.230648,1269605.50632,1372800.337,1481597.85648,1597267.2924,1721589.73984,1855983.2916,2015833.04208,2188350.50636,2371047.44804,2559551.7276,2750310.19956,2955173.7696,3161498.608784,3373206.65088,3597089.944476,3838851.71488,4102966.92492,4388136.55456,4690892.362,5004755.60832,5324793.5874,5602207.01755,5882842.782612,6173329.12861,6483826.5184,6822112.34151,7190985.362808,7589585.254956,8012294.902458,8449762.30428,8894672.59803,9326817.698532,9764678.832858,10210317.370344,10667669.60557,11139829.40648,11602850.764032
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,21699,21635.050944,21664.200112,21740.738048,21830.177376,21908.8884,22003.134576,22086.247536,22149.392954,22182.919616,22180.86753,22560.874244,22907.762658,23221.289196,23502.917152,23753.4414,23977.17252,24167.655974,24303.979008,24357.78345,24311.52904,24163.758054,23929.132976,23632.155616,23305.596204,22978.67894,22654.47978,22344.7233,22099.59616,21981.7624,22035.68052,22047.36282,22228.6168,22537.77186,22914.2133,23311.50962,23667.1139,24030.720228,24379.27914,24690.41393,24948.54312,25196.79453,25383.374058,25520.397096,25623.284484,25705.98828,25895.748256,26066.31981,26222.770944,26368.872244,26508.3222,26771.226552
