Total 25-54 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5.80000019073486,5.90000009536743,5.19999980926514,4.59999990463257,5.09999990463257,7.30000019073486,8,8.30000019073486,7.30000019073486,6.40000009536743,6.40000009536743,6.40000009536743,6,5.40000009536743,5,5.30000019073486,5.09999990463257,4.80000019073486,4.19999980926514,3.90000009536743
Canada,5.90000009536743,8.89999961853027,9.89999961853027,9.69999980926514,9.19999980926514,8.30000019073486,7.69999980926514,6.90000009536743,6.80000019073486,7.30000019073486,9.19999980926514,10,10.1999998092651,9.30000019073486,8.5,8.60000038146973,7.80000019073486,7,6.40000009536743,5.69999980926514,6.19999980926514,6.5,6.40000009536743,6,5.69999980926514
Czech Rep.,,,,,,,,,,,,,3.40000009536743,3.40000009536743,3.29999995231628,3.20000004768372,4.09999990463257,5.5,7.5,7.69999980926514,7.19999980926514,6.5,7,7.30000019073486,7.40000009536743
Estonia,,,,,,,,,,,,,,,,,,,,12.8999996185303,11.8000001907349,10,9.39999961853027,8.89999961853027,7.5
Finland,3.79999995231628,4.19999980926514,4.19999980926514,3.70000004768372,3.79999995231628,4.19999980926514,4.30000019073486,3.79999995231628,2.09999990463257,2.09999990463257,5.19999980926514,9.60000038146973,14.1000003814697,14.1000003814697,13.1000003814697,12.1999998092651,10.6999998092651,9.39999961853027,8.5,8,7.40000009536743,7.30000019073486,7.30000019073486,7.19999980926514,6.80000019073486
France,5.19999980926514,5.69999980926514,6,7,7.69999980926514,8.19999980926514,8.69999980926514,8.5,8.19999980926514,7.80000019073486,8.30000019073486,9,10.3999996185303,11,10.5,11.1000003814697,11.1000003814697,10.6999998092651,10,8.80000019073486,8.10000038146973,8.30000019073486,8.89999961853027,9.10000038146973,9.10000038146973
Germany,,,,,,,,,,,5.40000009536743,6.5,7.59999990463257,8.10000038146973,7.69999980926514,8,8.89999961853027,8.39999961853027,7.80000019073486,7.30000019073486,7.59999990463257,8.19999980926514,9.5,10.3999996185303,10.3999996185303
"Hong Kong, China",,,,,2.20000004768372,1.79999995231628,1.10000002384186,0.89999997615814,0.69999998807907,0.89999997615814,1.29999995231628,1.5,1.39999997615814,1.39999997615814,2.5,2.20000004768372,1.70000004768372,3.70000004768372,5,4,4.30000019073486,6.30000019073486,6.90000009536743,5.90000009536743,4.80000019073486
Ireland,,,12.5,14,15.6000003814697,15.5,15.3999996185303,15,14.3999996185303,12.3999996185303,13.6000003814697,13.8999996185303,14.3000001907349,13.3999996185303,11,11,9.5,7.30000019073486,5.30000019073486,4,3.29999995231628,3.70000004768372,4,3.90000009536743,3.70000004768372
Japan,1.79999995231628,1.89999997615814,2.20000004768372,2.20000004768372,2.09999990463257,2.20000004768372,2.29999995231628,2,1.79999995231628,1.60000002384186,1.60000002384186,1.70000004768372,2,2.29999995231628,2.59999990463257,2.70000004768372,2.79999995231628,3.40000009536743,4,4,4.40000009536743,4.90000009536743,4.69999980926514,4.40000009536743,4.19999980926514
"Korea, Rep.",,,,,,,,,,,,1.79999995231628,2.09999990463257,1.89999997615814,1.60000002384186,1.60000002384186,2.09999990463257,6.30000019073486,5.80000019073486,3.90000009536743,3.59999990463257,3,3.09999990463257,3.20000004768372,3.40000009536743
Latvia,,,,,,,,,,,,,,,,18,14.1999998092651,12.8999996185303,13.6000003814697,14.1000003814697,12.3999996185303,11.1000003814697,9.89999961853027,9.80000019073486,8.19999980926514
Lithuania,,,,,,,,,,,,,,,,,,12.8000001907349,14,15.6000003814697,16.5,13.1999998092651,11.1999998092651,10.3999996185303,7.80000019073486
Netherlands,,,,,,,8.30000019073486,8.19999980926514,7.5,6.69999980926514,6.30000019073486,5.09999990463257,5.5,6.30000019073486,6.09999990463257,5.40000009536743,4.80000019073486,3.59999990463257,2.70000004768372,2.40000009536743,2.20000004768372,2.70000004768372,3.79999995231628,4.40000009536743,4.40000009536743
New Zealand,,,,,,2.79999995231628,2.90000009536743,4,5.30000019073486,6,8.10000038146973,8.30000019073486,7.69999980926514,6.59999990463257,5.09999990463257,4.90000009536743,5.30000019073486,6.09999990463257,5.40000009536743,4.5,4.09999990463257,4,3.5,2.90000009536743,2.70000004768372
Norway,1.5,1.79999995231628,2.59999990463257,2.59999990463257,2,1.39999997615814,1.5,2.20000004768372,3.79999995231628,4.30000019073486,4.30000019073486,4.80000019073486,5,4.5,4,3.79999995231628,3.20000004768372,2.29999995231628,2.29999995231628,2.5,2.70000004768372,3,3.90000009536743,3.90000009536743,4
Philippines,,,,,,7.80000019073486,7.40000009536743,6.30000019073486,5.80000019073486,5.90000009536743,6.59999990463257,4.90000009536743,4.69999980926514,4.80000019073486,4.90000009536743,4.30000019073486,5.80000019073486,5.40000009536743,5.19999980926514,6.09999990463257,6,6.40000009536743,6.40000009536743,6.59999990463257,5.59999990463257
Poland,,,,,,,,,,,,,12.6999998092651,12.8000001907349,11.6999998092651,10.8000001907349,10,9.30000019073486,11.8999996185303,13.8999996185303,15.6999998092651,17.5,17.3999996185303,16.8999996185303,16
Portugal,,,5.30000019073486,5.80000019073486,6.19999980926514,6.19999980926514,5.19999980926514,4.19999980926514,3.79999995231628,3.59999990463257,3.29999995231628,3.09999990463257,4.40000009536743,5.80000019073486,6.09999990463257,6.09999990463257,5.69999980926514,4.5,4.09999990463257,3.5,3.5,4.5,5.80000019073486,6.09999990463257,7.30000019073486
Romania,,,,,,,,,,,,,,6.69999980926514,6.80000019073486,5.19999980926514,4.80000019073486,5.40000009536743,6.09999990463257,6.59999990463257,6.09999990463257,7.40000009536743,6.30000019073486,6.90000009536743,6.40000009536743
Singapore,1.79999995231628,1.60000002384186,2.09999990463257,1.89999997615814,3.09999990463257,4.80000019073486,3.59999990463257,2.40000009536743,1.60000002384186,1.39999997615814,1.60000002384186,1.79999995231628,1.79999995231628,1.79999995231628,2.09999990463257,2,1.89999997615814,3,3.79999995231628,,3.5,4.59999990463257,4.80000019073486,4.30000019073486,
Slovak Republic,,,,,,,,,,,,,,,,,9.89999961853027,10.1999998092651,13.1000003814697,15.3999996185303,15.8999996185303,15.3000001907349,15,16,
Slovenia,,,,,,,,,,,,,7,7.40000009536743,5.80000019073486,5.69999980926514,5.59999990463257,6.40000009536743,6.19999980926514,6.09999990463257,4.69999980926514,5.19999980926514,5.80000019073486,5.30000019073486,5.69999980926514
Spain,8.89999961853027,10.1999998092651,11.5,13.8000001907349,15.5,15,14.8999996185303,14.6000003814697,13.6000003814697,13.1000003814697,13.6000003814697,15.6999998092651,19.3999996185303,20.8999996185303,20,19.3999996185303,18.2000007629395,16.5,13.8000001907349,12.3000001907349,9.30000019073486,10.1999998092651,10.3000001907349,9.80000019073486,8
Sweden,1.70000004768372,2.20000004768372,2.40000009536743,2.20000004768372,1.89999997615814,1.89999997615814,1.60000002384186,1.39999997615814,1.20000004768372,1.29999995231628,2.5,4.80000019073486,7.90000009536743,8.19999980926514,7.80000019073486,8.60000038146973,9,7.59999990463257,6.19999980926514,4.90000009536743,4,4.19999980926514,4.90000009536743,5.5,6.30000019073486
Switzerland,,,,,,,,,,,1.60000002384186,2.59999990463257,3.29999995231628,3.59999990463257,3,3.70000004768372,4.09999990463257,3.29999995231628,2.70000004768372,2.29999995231628,2.09999990463257,2.70000004768372,3.70000004768372,4,3.79999995231628
Turkey,,,,,,,,,5.90000009536743,5.40000009536743,5.59999990463257,5.80000019073486,6,6.19999980926514,5.09999990463257,4.59999990463257,4.59999990463257,4.90000009536743,5.80000019073486,4.90000009536743,6.69999980926514,8.60000038146973,8.69999980926514,8.69999980926514,9.5
United Kingdom,,,,,,,,,,,,,,,,,,,,,3.90000009536743,4.09999990463257,3.70000004768372,3.59999990463257,3.5
United States,5.69999980926514,7.80000019073486,7.90000009536743,6,5.80000019073486,5.59999990463257,5,4.40000009536743,4.19999980926514,4.5,5.59999990463257,6.30000019073486,5.80000019073486,4.90000009536743,4.40000009536743,4.30000019073486,3.90000009536743,3.5,3.20000004768372,3.09999990463257,3.79999995231628,4.80000019073486,5,4.59999990463257,4.09999990463257
