Total 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5,5.19999980926514,5.30000019073486,4.80000019073486,4.90000009536743,7.09999990463257,8.30000019073486,9.19999980926514,8.10000038146973,6.40000009536743,6.30000019073486,5.80000019073486,5.40000009536743,4.69999980926514,3.79999995231628,4.19999980926514,3.70000004768372,3.40000009536743,3.20000004768372,2.90000009536743
Canada,4.19999980926514,6.5,7.59999990463257,7.30000019073486,7.59999990463257,6.90000009536743,6.5,5.80000019073486,5.69999980926514,5.5,7.59999990463257,8.60000038146973,9.30000019073486,8.60000038146973,7.69999980926514,7.30000019073486,6.90000009536743,6.30000019073486,5.5,5.09999990463257,5.5,5.80000019073486,5.90000009536743,5.59999990463257,5.09999990463257
Czech Rep.,,,,,,,,,,,,,4,3.59999990463257,2.79999995231628,3.70000004768372,3.59999990463257,3.90000009536743,4.80000019073486,5.30000019073486,5,3.90000009536743,4.5,5.40000009536743,4.90000009536743
Estonia,,,,,,,,,,,,,,,,,,,,8.5,8.30000019073486,6.69999980926514,5.69999980926514,4.80000019073486,4.59999990463257
Finland,4.69999980926514,5.30000019073486,5.40000009536743,6.5,6.19999980926514,5.80000019073486,4.09999990463257,4.19999980926514,2.90000009536743,2.5,4.59999990463257,10.1000003814697,14.1999998092651,17.7000007629395,18.6000003814697,19.7999992370605,14,12.3000001907349,9.60000038146973,8.80000019073486,8.69999980926514,7.69999980926514,7.40000009536743,6.90000009536743,6.5
France,5.09999990463257,5.40000009536743,5.69999980926514,6.40000009536743,7,7.09999990463257,7.80000019073486,7.5,7.09999990463257,6.59999990463257,7,8,8.19999980926514,8.10000038146973,8,8.60000038146973,9,8.80000019073486,8.39999961853027,7.30000019073486,6.30000019073486,6.69999980926514,7.40000009536743,7.19999980926514,6.90000009536743
Germany,,,,,,,,,,,6.90000009536743,8.39999961853027,10.1000003814697,10.8000001907349,11,13.1000003814697,14.3999996185303,13.8000001907349,13.3999996185303,12,11.8000001907349,10.8999996185303,11.8999996185303,12.3999996185303,11.6000003814697
"Hong Kong, China",,,,,2.40000009536743,2,1,0.60000002384186,0.5,0.60000002384186,0.89999997615814,1.20000004768372,1.5,1.39999997615814,2.40000009536743,1.79999995231628,1.29999995231628,3.29999995231628,5.09999990463257,4.40000009536743,4.19999980926514,7.19999980926514,8,8.19999980926514,6.09999990463257
Ireland,,,5.69999980926514,7.5,7.90000009536743,7.30000019073486,8.89999961853027,8.60000038146973,7.90000009536743,7,7.09999990463257,7,7,7.59999990463257,6.59999990463257,6.5,5.30000019073486,4.19999980926514,3.59999990463257,2.09999990463257,2.20000004768372,2.09999990463257,2.09999990463257,2.20000004768372,2.5
Japan,2.79999995231628,2.90000009536743,3.09999990463257,3.29999995231628,3.20000004768372,3.29999995231628,3.29999995231628,2.90000009536743,2.5,2.20000004768372,2.09999990463257,2.09999990463257,2.40000009536743,2.90000009536743,3,3.40000009536743,3.20000004768372,4.09999990463257,4.40000009536743,4.5,4.69999980926514,4.80000019073486,4.69999980926514,3.79999995231628,3.5
"Korea, Rep.",,,,,,,,,,,,0.5,0.5,0.5,0.69999998807907,0.60000002384186,0.89999997615814,3.29999995231628,3.40000009536743,2.20000004768372,1.70000004768372,1.29999995231628,1.5,1.70000004768372,1.89999997615814
Latvia,,,,,,,,,,,,,,,,22.7999992370605,10.6999998092651,9.30000019073486,8.69999980926514,9.30000019073486,9.19999980926514,9,7.09999990463257,7.69999980926514,7.5
Lithuania,,,,,,,,,,,,,,,,,,5.59999990463257,5,9.5,11.5,10.1000003814697,10.6999998092651,9.80000019073486,6.19999980926514
Netherlands,,,,,,,5.40000009536743,5.09999990463257,4.40000009536743,4.40000009536743,4.19999980926514,2.40000009536743,2.90000009536743,3.5,3.40000009536743,3.70000004768372,3.09999990463257,2.90000009536743,2.79999995231628,2.20000004768372,1.70000004768372,2.09999990463257,3,3.90000009536743,4.5
New Zealand,,,,,,1.5,1.70000004768372,2.5,3.79999995231628,4.19999980926514,3.90000009536743,5.09999990463257,5,4.30000019073486,3,3.29999995231628,3.59999990463257,4.09999990463257,4.5,4.19999980926514,3.20000004768372,3,3.20000004768372,2.20000004768372,1.79999995231628
Norway,0.80000001192093,1,1.60000002384186,1.39999997615814,1.10000002384186,0.80000001192093,0.89999997615814,1.5,2.5,2.29999995231628,2.70000004768372,2.79999995231628,2.09999990463257,2.5,2.40000009536743,2.40000009536743,1.70000004768372,1.89999997615814,1.29999995231628,1.5,1.70000004768372,1.29999995231628,1.5,1.5,1.70000004768372
Philippines,,,,,,7.69999980926514,7.40000009536743,6.19999980926514,6.19999980926514,5.40000009536743,6.40000009536743,4.80000019073486,4.30000019073486,4.69999980926514,4.5,4.5,5.5,5.30000019073486,4.80000019073486,5.30000019073486,5.30000019073486,5.40000009536743,6,6.59999990463257,2.29999995231628
Poland,,,,,,,,,,,,,5.40000009536743,5.80000019073486,4.80000019073486,4.59999990463257,4.30000019073486,4.80000019073486,7.59999990463257,7.90000009536743,7.80000019073486,8.60000038146973,9.10000038146973,9.69999980926514,9.5
Portugal,,,1.79999995231628,1.5,2,1.89999997615814,1.89999997615814,1.70000004768372,1.20000004768372,1.60000002384186,1.60000002384186,1.60000002384186,2.59999990463257,3.09999990463257,3,3.40000009536743,3.59999990463257,2.29999995231628,2.20000004768372,2.20000004768372,2.09999990463257,2.40000009536743,2.90000009536743,3.79999995231628,4.19999980926514
Romania,,,,,,,,,,,,,,1.20000004768372,1.39999997615814,1,0.89999997615814,0.69999998807907,0.89999997615814,1,1.10000002384186,1.70000004768372,1.79999995231628,2.90000009536743,2.5
Singapore,1.5,1.20000004768372,1.29999995231628,1.60000002384186,2.29999995231628,4,2.70000004768372,1.5,0.89999997615814,0.69999998807907,0.89999997615814,1,1.29999995231628,1.39999997615814,1.39999997615814,1.89999997615814,1.60000002384186,2.29999995231628,3.70000004768372,,3,4.5,3.90000009536743,4.40000009536743,
Slovak Republic,,,,,,,,,,,,,,,,,6.69999980926514,7.59999990463257,9.60000038146973,12.3999996185303,12.1000003814697,15.1000003814697,13.1000003814697,15.1000003814697,
Slovenia,,,,,,,,,,,,,4.80000019073486,4.19999980926514,2.79999995231628,3,2.70000004768372,2.40000009536743,2.59999990463257,4.19999980926514,3.90000009536743,1.29999995231628,2.79999995231628,2.20000004768372,3.09999990463257
Spain,5.5,6.19999980926514,6.59999990463257,8.89999961853027,9.60000038146973,10.5,9.30000019073486,8.30000019073486,8.19999980926514,7.59999990463257,7.90000009536743,8.89999961853027,10.6999998092651,11.6999998092651,11.5,11,10.8999996185303,9.89999961853027,9.30000019073486,9,6.09999990463257,6.90000009536743,6.69999980926514,6.80000019073486,5.90000009536743
Sweden,2,3,4,4.69999980926514,4,3.40000009536743,2.09999990463257,1.70000004768372,1.39999997615814,1.5,2.20000004768372,3.29999995231628,5.5,6.80000019073486,7.80000019073486,8.19999980926514,7.90000009536743,6.59999990463257,6.59999990463257,6.09999990463257,5,4.69999980926514,4.80000019073486,4.90000009536743,4.5
Switzerland,,,,,,,,,,,1,1.89999997615814,3,3.29999995231628,2.70000004768372,2.90000009536743,2.59999990463257,2.70000004768372,2.5,2.5,1.60000002384186,1.70000004768372,2.20000004768372,2.79999995231628,3.29999995231628
Turkey,,,,,,,,,3.79999995231628,2.59999990463257,2.20000004768372,2.20000004768372,2.09999990463257,1.89999997615814,2,1.29999995231628,1.20000004768372,1.5,1.5,1.60000002384186,1.79999995231628,2.59999990463257,2.79999995231628,2.29999995231628,1.60000002384186
United Kingdom,,,,,,,,,,,,,,,,,,,,,3.20000004768372,3.40000009536743,3.20000004768372,3,2.59999990463257
