Aid received per person (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1.77643659227761,3.51625285701883,1.68349163922168,3.57363729618232,4.40767804723347,5.0411371938056,4.60846192674705,3.63680142060988,2.56243481083465,2.33364933942737,2.30758185647259,3.62092677311138,4.38156003229554,4.33200451643409,3.71901601400129,5.14233265983214,5.15839515632255,6.02982145009141,5.66872278083964,7.06644461222626,2.0786515752598,1.46316216230715,0.576127222872663,0.810147487716169,0.387550841453368,0.9510093810782,0.109030045312544,2.5096538914398,3.93637425639721,7.95897350920704,6.39834210818749,25.8037979928628,10.0758169574672,10.6442430483057,10.4156378644363,9.45600581393305,7.33335065473381,9.69290157418182,6.70189392175363,5.66561857085545,5.24106833480689,15.3707678978838,47.6877831390443,56.4016792494291,79.5183236260815,94.8879319759711,96.30926927817,157.005493554192,149.920707691846,186.470442347762,186.894497344022
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74029861771461,3.17581320321304,3.35919048677254,100.84470158991,125.387857849276,83.934359535378,51.2983095775926,57.4957451238451,72.7848802784299,54.3710635071875,87.2415628652725,158.865502119454,103.471647108458,87.2593487052939,99.4958213826366,114.108180993279,95.98826955823,101.578712839773,101.938568849401,96.9976322418931,114.185686350996,111.804249851929,106.326405524604
Algeria,32.875009131947,39.7859728892815,35.4714984908355,24.6838128001912,19.5488508915345,12.2645286816189,10.3778843457889,8.56145520558986,9.23953119633737,9.83812929954288,8.89046670039724,8.54093943556949,7.55445353528221,8.31031868667069,8.26648205951803,14.2818838202432,8.26633581162117,7.16829624567588,10.2917736846967,5.57744519393844,10.6032581974174,8.60849493913387,6.7875392721847,4.57453479105169,5.68187385194935,7.82186935844561,7.38918929918112,9.15658160554942,7.15532782139822,6.41354623988066,13.1091194964327,8.1436729480582,14.0244157977592,11.9422583142825,10.5815678708934,10.3882457511845,10.5965031609045,8.47418880955002,14.1448516655864,4.57922037967362,6.53766722396115,6.41271149957198,6.04162961413718,7.46142803309776,9.76044979313526,10.5389585261379,7.18466490460546,11.6290026677693,9.4414353328631,9.11698049634554,5.59148632488002
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,-0.010074413648977,4.65995856891188,,0.005722914779694,,0.20437716978127,0.517732332384157,3.23646373077749,0.001750346043413,-0.018915677691985,-0.005062152261778,0,0.014563849128232,0.025307670090478,0.057144657530523,0.717146228074497,2.56724703878041,6.79543369745413,6.5231417744393,6.35926094739475,6.86529413150887,7.61953637993321,7.21089229268288,8.70027869625829,10.6308978664456,9.9817308623558,13.9714992142708,14.0576040731184,16.0239926201672,16.6186407909542,25.7154003676034,26.0083174426469,31.2271935333471,25.4481500208851,38.0713210297915,34.4003624916926,36.8842964090189,27.7246270531104,25.518590163922,28.6820744435789,21.7005533314381,19.6500698764908,27.8050248769784,32.018925102382,71.7194340452679,25.1421840023128,9.61296188453558,14.1320863637264,20.4468752681844,12.8649162239091,12.4845979794897
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,0.146666275556598,43.574250522891,29.6744454047825,44.4857674152482,76.5280721469111,51.0399387520735,46.5083303792981,78.3163410605456,129.812317810422,71.9445373021525,49.7108803398631,35.3817783841322,44.9599170908648,78.2472613458529,87.5452684616596,134.835405064705,69.7838950347312,74.1133725603678,115.211779328808,73.1951976427071,45.985468591925,60.243665445848,33.0701319891612,54.9325762952449,59.4563203451232,133.171586467179,141.343686253866,126.068816318121,107.875955283269,167.314643447154,75.3830339223653,19.6769598493445,92.8309261642595,38.6100386100386,85.8788619305289,100.712468779135,64.2354388282727,214.970127381355
