Dependency ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,82.3240107209594,82.7870075937746,83.3575527550563,83.3703666462391,85.8315756609762,88.1035340402761,90.0494707634354,91.8375440552427,93.6118103922609,95.9742468666064,97.1029357154834,96.1929731120115,92.7757990954645,90.9564656996058,91.0963732232828,93.7860355582785,95.0696264669079,95.3048119984335,95.5732718148537,96.652692997566,98.3383370097769
Africa,81.2271238204056,83.2862872036045,86.0344313794968,88.5755787009462,90.5810706986798,91.3650454329752,91.393038505157,91.6608822642364,90.8203610374173,87.9674988824782,83.9417826091934,80.2130845554648,77.5915754491095,77.3480835577234,78.2423311200014,79.9605053823342,80.5898824732798,80.9642035929337,81.8722048071916,83.567378748474,85.6195492730522
Albania,83.1456297680306,81.8407361241737,84.8240325870293,89.6297083572639,86.6315994304949,78.7652629590879,68.3972206446793,64.8054787599815,60.1974768268743,61.6641336994013,60.8093635210815,54.2262777450266,48.4601604581198,47.3718411228775,52.8069530159881,60.2758104708826,62.5730805084517,61.1286268431948,59.1234251411161,60.3107451186485,65.6744271079916
Algeria,79.5664974326667,82.5932002036545,90.3179745493107,98.8190237378803,108.96663797701,106.118945281389,98.1789358022576,93.6159924080938,86.3690411951528,76.4569739710382,61.988451718967,51.9629820244512,46.2883630950439,47.8888911004782,50.8439240460941,52.4022809373793,51.5322674379265,50.315751001767,51.2583949227788,55.3082228741937,61.083597829662
Angola,78.9251109249085,81.7516628553076,86.2574375395614,92.0126305389186,94.4805907028415,95.4083026464675,96.5898084002522,98.1089039186944,100.057917718854,100.856872512242,98.1514399906971,94.8768222072662,89.1863109992823,87.6319417141282,87.3343631921246,90.2838897874065,91.3320719030792,91.3200227631971,91.3011595724293,92.0550195885893,93.334190579778
Argentina,52.486635814935,54.3504744323668,55.9278730251651,56.1415070067119,55.9267210650192,56.8449383286825,60.6673911080118,62.6846603062299,62.795045121741,62.6313539779205,60.5874555749981,57.6104742454675,55.1730477452749,55.4459214520758,57.4856356709644,59.5192687466376,59.226381856765,58.2105478061786,58.3559446076711,61.1020413763612,63.5370638563742
Armenia,69.1726222330179,64.7498675207888,79.1130791142433,87.1083930997373,78.9020878355604,65.3402559311209,55.5964787341879,53.3794663582251,54.4533186182969,60.9146642836103,55.8831250709525,51.3822799865259,45.468962189769,48.6559896901177,54.3469663748236,60.8322673508373,62.5683943083513,59.742634912544,58.3931220392907,60.783853021522,66.1663745495802
Aruba,80.656986431802,84.4966159052453,85.1208202963019,81.9337820014204,71.0021450799118,58.468439256377,48.4632461766157,44.8846311382151,45.5781198820832,43.4634337951721,43.1479054491481,42.1300659754948,40.1937488576129,41.3033707865169,47.1660762658887,57.7316784709289,68.1306802827519,74.1099946038182,74.1360040641556,71.3924410343848,69.1935551137864
Asia,66.6445214750349,72.1823553824494,76.7686851306836,79.6545366559586,78.4877238930323,77.3460949057569,72.0097978222713,65.627037131675,62.0155054657867,60.9860050031468,57.4018500382969,52.5018395605947,48.9810427712906,49.0582037463662,51.4590935923477,53.8308084330499,54.5422684678397,55.634870772221,58.0979465631976,60.1138419157033,62.6529683049676
Australia,51.247207743857,57.781964343643,60.8648113016726,59.4606462220735,56.9472133884933,54.5280972990701,50.973520765932,48.3448051577435,46.351978717028,50.5206018428134,49.7450942715339,48.5179556341382,48.7709287145501,52.937826620724,58.326069386167,64.2149805911058,67.8828073464461,69.1591967783105,69.9971269114228,70.2651869023709,71.5666795787311
Australia/New Zealand,52.7616722612145,59.1186783441526,62.2388440185234,60.6945828463766,58.3147889901509,55.6412350558425,51.823076313309,48.7033003171223,46.6953605649709,50.9127217919215,50.2398711123162,48.8772662996051,48.9232241957691,52.9600181231884,58.211549042794,64.1089270869906,67.8782768870631,69.1884380790909,69.8132090920234,69.9923195020218,71.2685014606039
