Total contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,8.39999961853027,,7.19999980926514,8.19999980926514,,,
American Samoa,,,,,,,,,,,0.20000000298023,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
Antigua and Barbuda,,,,,,,,,,,,0.80000001192093,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,1.70000004768372,1.5,1.29999995231628,1.39999997615814,1.20000004768372,1.10000002384186,1.10000002384186,1.70000004768372,1.39999997615814,1.20000004768372,1.10000002384186,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,0.30000001192093,,,0.30000001192093,,,0.5,,,,,,,,,,
Australia,0.40000000596046,0.40000000596046,0.40000000596046,0.40000000596046,0.30000001192093,0.40000000596046,0.80000001192093,0.89999997615814,0.89999997615814,0.80000001192093,0.80000001192093,0.89999997615814,1,1.10000002384186,1,0.89999997615814,0.89999997615814,0.89999997615814,0.69999998807907,0.80000001192093,0.80000001192093,0.5,0.5,0.40000000596046,0.40000000596046,0.30000001192093,0.30000001192093,0.30000001192093
Austria,,,,,,4.40000009536743,4.40000009536743,4.5,4.30000019073486,3.70000004768372,3.59999990463257,3.70000004768372,3.20000004768372,3,3.29999995231628,3.5,3.29999995231628,3,2.90000009536743,2.70000004768372,2.5,2.40000009536743,2.29999995231628,2.09999990463257,1,1.39999997615814,1.5,2.40000009536743
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,18.6000003814697,18.6000003814697,16.7999992370605,0,0
Bahamas,,,,,,,,,,,,,,0.40000000596046,0.40000000596046,0.60000002384186,0.69999998807907,0.20000000298023,0.20000000298023,0.20000000298023,,0.10000000149012,0.40000000596046,0.20000000298023,0.20000000298023,,,
Bangladesh,,,,,,,,,,,,,,,,,40.0999984741211,,,,33.7999992370606,,,18.3999996185303,,21.7000007629395,,
Barbados,,,,,,,,,,,0.80000001192093,0.60000002384186,0.10000000149012,0.5,0.10000000149012,0,0.30000001192093,0,0,0.10000000149012,0.20000000298023,0.10000000149012,0.10000000149012,0,0.10000000149012,,,
Belgium,3.40000009536743,3.5,3.59999990463257,3.70000004768372,3.79999995231628,3.79999995231628,3.79999995231628,3.79999995231628,3.79999995231628,3.79999995231628,3.79999995231628,3.90000009536743,3.90000009536743,4,3.79999995231628,3.79999995231628,3.70000004768372,3.5,3.40000009536743,3.20000004768372,,,,,,1.70000004768372,1.5,
Belize,,,,,,,,,,,,,,3,4.40000009536743,3.90000009536743,4,4.40000009536743,4.09999990463257,3.40000009536743,,,,,,3.90000009536743,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,32.4000015258789,,
Bolivia,,,,,,,,,,6,4.90000009536743,6,5.30000019073486,7.5,8.10000038146973,10.3999996185303,10.3000001907349,9.30000019073486,,8.80000019073486,7.80000019073486,23.2000007629395,22.2999992370605,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,5.80000019073486,
Botswana,,,,,0.30000001192093,,,,,,,,,,3.79999995231628,,,,15.8000001907349,,17.1000003814697,1.29999995231628,,2.20000004768372,,,,
Brazil,,,,,,,,,,,6.09999990463257,,8,8.10000038146973,,7.69999980926514,7.19999980926514,,,,,7.40000009536743,7.40000009536743,7.09999990463257,7,6.80000019073486,6,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,0.40000000596046,,1.89999997615814,1.89999997615814,1.5,1.29999995231628,1.20000004768372
Burkina Faso,,,,,,66.1999969482422,,,,,,,,,69.1999969482422,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,43.4000015258789,42.7999992370606,,,45.7000007629394,,,
Cameroon,,,,,,,,,,,,,,,,,15.1000003814697,,,,,18.2000007629395,,,,,,
Canada,1,1.10000002384186,1.10000002384186,1,0.89999997615814,1,0.80000001192093,0.80000001192093,0.60000002384186,0.5,0.5,0.5,0.5,0.60000002384186,0.40000000596046,0.40000000596046,0.40000000596046,0.5,0.40000000596046,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023
Cape Verde,,,,,,,,,,,,,,,,,,,,,10.3000001907349,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,28.2999992370606,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,2.59999990463257,2.40000009536743,2.40000009536743,2.29999995231628,2.29999995231628,2,2.09999990463257,2,2.20000004768372,2,1.89999997615814,1.60000002384186
Colombia,,,,,,,,,,,,,1.5,1.29999995231628,1.29999995231628,0.89999997615814,0.89999997615814,1.20000004768372,0.89999997615814,1.60000002384186,1,5.90000009536743,6,6,5.59999990463257,5.19999980926514,4.40000009536743,4.40000009536743
Costa Rica,,,,,,,,5.69999980926514,4.90000009536743,4.5,5.09999990463257,4.40000009536743,3.59999990463257,3.59999990463257,3.40000009536743,3.70000004768372,3.20000004768372,3.09999990463257,3.29999995231628,3,2.59999990463257,2.90000009536743,3.09999990463257,2.59999990463257,2.40000009536743,2.29999995231628,2.20000004768372,1.79999995231628
Croatia,,,,,,,,,,,,,,,,,7.90000009536743,7.5,6.19999980926514,5.69999980926514,4.90000009536743,4.80000019073486,4.59999990463257,3.79999995231628,2.70000004768372,2.40000009536743,2.20000004768372,2.29999995231628
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,2.09999990463257,3,3.29999995231628,3.20000004768372,3.5,3.09999990463257,2.79999995231628,2.20000004768372,1.70000004768372
Czech Rep.,,,,,,,,,,,,,,0.30000001192093,0.40000000596046,0.5,0.40000000596046,0.40000000596046,0.5,0.5,0.60000002384186,0.60000002384186,0.60000002384186,0.69999998807907,0.69999998807907,0.69999998807907,0.69999998807907,0.60000002384186
Denmark,,2.79999995231628,,3.09999990463257,2.59999990463257,2.5,2.20000004768372,2.29999995231628,2.20000004768372,1.89999997615814,2.09999990463257,1.79999995231628,1.89999997615814,1.79999995231628,1.39999997615814,1.20000004768372,1,1,1,0.89999997615814,0.89999997615814,0.80000001192093,0.80000001192093,0.69999998807907,0.80000001192093,0.69999998807907,0.60000002384186,0.60000002384186
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,2.90000009536743,,,,,,1.89999997615814,,1.60000002384186,,1.5,,,,,,
Dominican Rep.,,,,,,,,,,,,5.5,5.30000019073486,5.40000009536743,4.59999990463257,4.19999980926514,4.69999980926514,3.70000004768372,2.40000009536743,2.20000004768372,2.20000004768372,1.70000004768372,1.60000002384186,1.70000004768372,2,3.5,,
Ecuador,,,,,,,,,4.09999990463257,4.40000009536743,6.5,6.09999990463257,7,6.40000009536743,6.30000019073486,7,6.5,4.80000019073486,6.69999980926514,5.69999980926514,6,6.69999980926514,5.19999980926514,4.40000009536743,6.59999990463257,5.59999990463257,7.09999990463257,
Egypt,,,,,,,,,,,,,,14.1999998092651,13.8000001907349,13.1999998092651,2.90000009536743,12.8000001907349,12.1000003814697,11.3999996185303,11.5,9.30000019073486,10.3999996185303,12.1999998092651,14,13,13.1000003814697,
El Salvador,,,,,,,,,,,,,,7.90000009536743,8,8.69999980926514,9.89999961853027,8.10000038146973,10.5,8.39999961853027,7.90000009536743,10.8000001907349,9.10000038146973,8.69999980926514,7.69999980926514,9.80000019073486,9.19999980926514,
Equatorial Guinea,,,,39.5,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,1.60000002384186,,,,,,,,,,,
