Female contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,6.09999990463257,,7.19999980926514,13.6000003814697,,,
American Samoa,,,,,,,,,,,0.30000001192093,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,3.59999990463257,,,,,,
Antigua and Barbuda,,,,,,,,,,,,0.89999997615814,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,2.79999995231628,2.40000009536743,2.20000004768372,2,1.79999995231628,1.79999995231628,1.60000002384186,2.40000009536743,2.20000004768372,1.89999997615814,1.60000002384186,
Aruba,,,,,,,,,,,,0.60000002384186,,,0.60000002384186,,,,,,,,,,,,,
Australia,0.60000002384186,0.69999998807907,0.60000002384186,0.60000002384186,0.40000000596046,0.60000002384186,1.29999995231628,1.39999997615814,1.39999997615814,1.20000004768372,1.20000004768372,1.20000004768372,1.39999997615814,1.39999997615814,1.39999997615814,1.29999995231628,1.20000004768372,1.29999995231628,1,1.20000004768372,1.10000002384186,0.69999998807907,0.60000002384186,0.5,0.5,0.40000000596046,0.40000000596046,0.40000000596046
Austria,,,,,,,,,,,,,,,5.19999980926514,5.5,5.30000019073486,4.69999980926514,4.59999990463257,4.19999980926514,4,3.79999995231628,3.40000009536743,3,1.60000002384186,1.89999997615814,2.09999990463257,2.90000009536743
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,22.6000003814697,18.6000003814697,16.7999992370605,0,0
Bahamas,,,,,,,,,,,,,,0.60000002384186,0.40000000596046,1,1.10000002384186,0.20000000298023,0.40000000596046,0.40000000596046,,0.20000000298023,0.69999998807907,0.10000000149012,0.5,,,
Bangladesh,,,,,,,,,,,,,,,,,77.3000030517578,,,,73.1999969482422,,,48,,60.0999984741211,,
Barbados,,,,,,,,,,,0.60000002384186,0.40000000596046,0.20000000298023,0.20000000298023,0,0,0.40000000596046,0,0,0,0.20000000298023,0.20000000298023,0,0,0.20000000298023,,,
Belgium,8,8.10000038146973,8.19999980926514,8.30000019073486,8.39999961853027,8.30000019073486,8.30000019073486,8.19999980926514,8,8.10000038146973,8,8.10000038146973,8.10000038146973,8.30000019073486,7.90000009536743,7.80000019073486,7.59999990463257,7.19999980926514,6.69999980926514,6.40000009536743,,,,,,3.40000009536743,2.90000009536743,
Belize,,,,,,,,,,,,,,2.59999990463257,4.80000019073486,4.30000019073486,4.09999990463257,4.19999980926514,4.69999980926514,3.5,,,,,,4.30000019073486,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,51.7000007629394,,
Bolivia,,,,,,,,,,8.30000019073486,6.69999980926514,8.80000019073486,8,11.8000001907349,12.6000003814697,15.1000003814697,14.8999996185303,14.1999998092651,,12.6000003814697,11.1000003814697,35.0999984741211,34.7999992370606,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Botswana,,,,,0.40000000596046,,,,,,,,,,6.80000019073486,,,,12.3999996185303,,17.2999992370605,1.20000004768372,,2.20000004768372,,,,
Brazil,,,,,,,,,,,9.39999961853027,,11.8999996185303,11.8000001907349,,11.3999996185303,10.3000001907349,,,,,9.80000019073486,9.80000019073486,9.30000019073486,9.10000038146973,9,8.10000038146973,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,0.60000002384186,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,0.5,,2.59999990463257,2.59999990463257,2.20000004768372,1.79999995231628,1.60000002384186
Burkina Faso,,,,,,89.0999984741211,,,,,,,,,87.3000030517578,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,59,53.2999992370606,,,,,,
Cameroon,,,,,,,,,,,,,,,,,21.6000003814697,,,,,27.2000007629395,,,,,,
Canada,2,2.09999990463257,2,1.79999995231628,1.70000004768372,1.79999995231628,1.5,1.39999997615814,1.10000002384186,1,0.89999997615814,0.89999997615814,0.80000001192093,0.89999997615814,0.69999998807907,0.69999998807907,0.69999998807907,0.69999998807907,0.69999998807907,0.5,0.40000000596046,0.30000001192093,0.30000001192093,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023
Cape Verde,,,,,,,,,,,,,,,,,,,,,14.8000001907349,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,44.4000015258789,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,3.90000009536743,4.19999980926514,3.90000009536743,3.70000004768372,3.79999995231628,3.5,3.5,3.29999995231628,3.40000009536743,3.20000004768372,3,2.79999995231628
Colombia,,,,,,,,,,,,,2.40000009536743,2.09999990463257,2.20000004768372,1.70000004768372,1.70000004768372,1.79999995231628,1.60000002384186,2.5,1.60000002384186,7.09999990463257,8.60000038146973,8.5,8.19999980926514,7.69999980926514,6.30000019073486,6.09999990463257
Costa Rica,,,,,,,,3.79999995231628,4.90000009536743,3.70000004768372,6.30000019073486,4.90000009536743,3.79999995231628,4.19999980926514,3.70000004768372,5,3.90000009536743,4.09999990463257,4,4.19999980926514,3.29999995231628,3.59999990463257,,3.59999990463257,3.5,3.5,3.20000004768372,2.79999995231628
Croatia,,,,,,,,,,,,,,,,,12.3999996185303,11.5,10,9,8.19999980926514,7.80000019073486,7.5,6.30000019073486,4.40000009536743,4,3.59999990463257,3.70000004768372
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,4.80000019073486,6.80000019073486,6.19999980926514,6.09999990463257,6.5,5.80000019073486,4.80000019073486,3.59999990463257,2.70000004768372
Czech Rep.,,,,,,,,,,,,,,0.40000000596046,0.60000002384186,0.80000001192093,0.80000001192093,0.69999998807907,0.89999997615814,1,1,1.10000002384186,1.20000004768372,1.20000004768372,1.10000002384186,1.29999995231628,1.20000004768372,1.10000002384186
Denmark,,,,6.59999990463257,,,,,,,,,,,,2.29999995231628,1.89999997615814,2,2,1.70000004768372,1.70000004768372,1.39999997615814,1.29999995231628,1.20000004768372,1.5,1.29999995231628,1.10000002384186,1
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,2.90000009536743,,,,,,3.29999995231628,,1.89999997615814,,1.89999997615814,,,,,,
Dominican Rep.,,,,,,,,,,,,3.70000004768372,3.90000009536743,4.40000009536743,4.5,4,4.30000019073486,2.90000009536743,3,2.79999995231628,2.5,2.5,1.89999997615814,2,2.20000004768372,4.90000009536743,,
Ecuador,,,,,,,,,7,8.19999980926514,11.3000001907349,10.3999996185303,11.6000003814697,10.6000003814697,11,12.5,10.8999996185303,8.80000019073486,10.6999998092651,9.89999961853027,10.3000001907349,10.1999998092651,8.60000038146973,,11,9.39999961853027,11.1000003814697,
Egypt,,,,,,,,,,,,,,32.7999992370606,33.5,29.7999992370606,,30,23.2999992370605,22,26,17,19.5,25.7999992370605,32.2000007629394,31.5,32.5999984741211,
El Salvador,,,,,,,,,,,,,,8.60000038146973,8.10000038146973,8.30000019073486,9.39999961853027,7,10.6000003814697,8.60000038146973,7.40000009536743,10.6000003814697,8.60000038146973,9,7.69999980926514,10.3000001907349,9.89999961853027,
Equatorial Guinea,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Estonia,,,,,,,,,,1.89999997615814,2.29999995231628,2.40000009536743,2.79999995231628,3.40000009536743,3.20000004768372,1.89999997615814,2,1,1,1,0.89999997615814,0.89999997615814,0.60000002384186,0.40000000596046,0.5,0.20000000298023,0,0
Ethiopia,,,,,,,,,,,,,,,,,,,,63.5999984741211,,,,,9.89999961853027,68.5,12.6999998092651,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,19.8999996185303,,
