Female self-employed (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,31.6000003814697,,26.6000003814697,36.5999984741211,,,
American Samoa,,,,,,,,,,,1.20000004768372,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,8.80000019073486,,23.2999992370605,,,,,,
Antigua and Barbuda,,,,,,,,,,,,15.3000001907349,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,27.2999992370605,26.7000007629395,25.3999996185303,26.5,25.2000007629395,23,22.7000007629395,22.5,22.2000007629395,22,21.7000007629395,22,20.2999992370605,18.8999996185303,19.2000007629395,19,18.2000007629395,
Aruba,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Australia,12.6999998092651,12.1999998092651,12.1999998092651,12.1000003814697,11.8000001907349,12.1000003814697,11.8999996185303,11.3999996185303,11.5,11,10.8999996185303,11.3999996185303,11.5,11.6999998092651,11.1999998092651,10.8000001907349,10.6999998092651,11,10.3999996185303,9.89999961853027,9.60000038146973,9.60000038146973,9.80000019073486,9.5,9.30000019073486,9.30000019073486,8.89999961853027,8.69999980926514
Austria,,,,,,,,,,,,,,,8.60000038146973,8.69999980926514,8.60000038146973,8.5,8.5,8.39999961853027,8.19999980926514,8.39999961853027,8.30000019073486,8.30000019073486,8.69999980926514,9,9.30000019073486,9.30000019073486
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,24.8999996185303,48.2000007629394,49.4000015258789,66.1999969482422,67.3000030517578
Bahamas,,,,,,,,,,,,,,9.19999980926514,10.6999998092651,11.1000003814697,11.8000001907349,10.1999998092651,10.3999996185303,10.8000001907349,,9.10000038146973,9.89999961853027,10.5,11.5,,,
Bangladesh,,,,,,,,,,,,,,,,,7.80000019073486,,,,11,,,34.2999992370606,,26.5,,
Barbados,,,,,,,,,,,8.60000038146973,8.10000038146973,9.19999980926514,10,9.80000019073486,9.39999961853027,9.10000038146973,8,8.89999961853027,9.10000038146973,7.90000009536743,9.19999980926514,9.19999980926514,8.89999961853027,10.1999998092651,,,
Belgium,9.39999961853027,9.60000038146973,9.69999980926514,9.89999961853027,9.89999961853027,9.89999961853027,9.80000019073486,9.69999980926514,9.60000038146973,9.60000038146973,9.5,9.60000038146973,9.60000038146973,9.80000019073486,10,10,10,10,9.69999980926514,9.5,,,,,,8.89999961853027,8.89999961853027,
Belize,,,,,,,,,,,,,,21,19.7000007629395,20.7999992370605,20.6000003814697,25.2000007629395,22.8999996185303,24.8999996185303,,,,,,21.7000007629395,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,24.6000003814697,,
Bolivia,,,,,,,,,,46.5,44.9000015258789,44.4000015258789,46.5,40.9000015258789,43.5,42.7999992370606,45.0999984741211,46.7000007629394,,50.0999984741211,45.7000007629394,37,38.5999984741211,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8999996185303,
