Female service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,59,,63.7000007629394,49.4000015258789,,,
American Samoa,,,,,,,,,,,25,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,83.6999969482422,,93.9000015258789,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,86.1999969482422,,,,,,
Argentina,,,,,,,,,,,81.5999984741211,80.1999969482422,80.6999969482422,82.9000015258789,85.0999984741211,84.3000030517578,87.1999969482422,88,89,88.8000030517578,89.1999969482422,88.9000015258789,89.6999969482422,87.0999984741211,87.1999969482422,88,88.5,
Armenia,,,,,,,,,,,,,,,,,,,,,,85,46.0999984741211,46.5999984741211,45,43.7999992370606,44.5,
Aruba,,,,,,,,,,,,,,,95,,,95.0999984741211,,,,,,,,,,
Australia,79.4000015258789,78.5999984741211,79.9000015258789,80.4000015258789,80.9000015258789,81,81.4000015258789,82.6999969482422,82.4000015258789,82.6999969482422,83.6999969482422,84.4000015258789,84.5999984741211,84.4000015258789,84.5999984741211,84.9000015258789,85.3000030517578,85.4000015258789,86,86.3000030517578,86,86.5999984741211,87.0999984741211,87.5,87.5999984741211,87.9000015258789,88.1999969482422,88.5
Austria,,,,65.5999984741211,66.8000030517578,67.5,68.1999969482422,68.4000015258789,69.3000030517578,70.0999984741211,70.1999969482422,70.4000015258789,71.5999984741211,73,74.6999969482422,74.8000030517578,76.3000030517578,77.9000015258789,78.3000030517578,78.8000030517578,79.5999984741211,79.9000015258789,80.6999969482422,81.0999984741211,81.3000030517578,81.3000030517578,80.9000015258789,81
Azerbaijan,,,,,,,,,,,,,,,,,,,,44.5999984741211,46.4000015258789,50,53.0999984741211,52.5999984741211,53.7000007629394,54,54.2999992370606,54.2000007629394
Bahamas,,,,,,,91.3000030517578,,,90.3000030517578,,93.0999984741211,93,93.3000030517578,92.5,93.3000030517578,92.6999969482422,92.4000015258789,93.1999969482422,93.3000030517578,,92.1999969482422,93.4000015258789,93.6999969482422,94.4000015258789,94.3000030517578,94.1999969482422,94.1999969482422
Bahrain,,93.1999969482422,92.8000030517578,,,,,,,,,91.5999984741211,,,,,,,,,,85.1999969482422,,,,,,
Bangladesh,,,,,15.1999998092651,20.2999992370605,15.8999996185303,,,2,,2.09999990463257,,,,,11,,,,12.1000003814697,,,23,,19.3999996185303,,
Barbados,,72.4000015258789,72.6999969482422,73.4000015258789,73.1999969482422,75.5999984741211,76.0999984741211,77.0999984741211,78,67.5999984741211,69.5,72.5999984741211,72.5,71.6999969482422,72.3000030517578,70.8000030517578,69,73,70.6999969482422,73.0999984741211,72.5999984741211,73.3000030517578,73.6999969482422,74.6999969482422,78.1999969482422,,,
Belgium,79.9000015258789,81.0999984741211,81.6999969482422,82.0999984741211,82.4000015258789,82.9000015258789,83.3000030517578,83.9000015258789,,,,,,81.0999984741211,81.3000030517578,81.4000015258789,81.4000015258789,81.5999984741211,81.5,86.0999984741211,86.0999984741211,86.4000015258789,86.8000030517578,87.0999984741211,87.1999969482422,86.4000015258789,87.4000015258789,
Belize,,,,,,,,,,,,,,78.8000030517578,79.5999984741211,84,83.6999969482422,78.1999969482422,83.3000030517578,82.5,,,,,,85.5,,
Bermuda,,,,,,,,,,,,,,,,,,,,,85.6999969482422,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,31.6000003814697,,
Bolivia,53,53.5999984741211,57,55.7000007629394,56.5,56.7000007629394,59.2000007629394,59.9000015258789,60,86.4000015258789,87.3000030517578,83.6999969482422,81.8000030517578,83.9000015258789,83.4000015258789,82.5,80.1999969482422,79.0999984741211,,80.9000015258789,82.4000015258789,50.5,52.4000015258789,,,,,
Botswana,,,,,,35.5999984741211,,,,,,,,,,,69.4000015258789,,69.5,,67.4000015258789,75.5999984741211,,70.5999984741211,,64.8000030517578,,
Brazil,,67.3000030517578,67.8000030517578,67.0999984741211,69.0999984741211,69.0999984741211,70.9000015258789,71.5,72.5999984741211,72.4000015258789,,,,,,,,,,,76.0999984741211,,70.6999969482422,71.0999984741211,71,70.5999984741211,71.9000015258789,
British Virgin Islands,,,,,,,,,,,,94.0999984741211,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,88.4000015258789,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,63.7999992370606,64.0999984741211,64.1999969482422,65.8000030517578,65.8000030517578
Cambodia,,,,,,,,,,,,,,,,,,,13.3000001907349,,15.3999996185303,18,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,
Canada,81.1999969482422,81.5,82.6999969482422,82.5999984741211,82.6999969482422,83.1999969482422,83.1999969482422,84.5999984741211,84.5,84.6999969482422,85.0999984741211,85.8000030517578,86.0999984741211,86.6999969482422,86.8000030517578,86.5999984741211,86.8000030517578,86.5999984741211,86.5,86.5,86.9000015258789,87.3000030517578,87.1999969482422,87.4000015258789,87.5,87.9000015258789,87.5999984741211,88
Cayman Islands,,,,,,,,,,,,97.9000015258789,,,,,,,,,,,,,,95.6999969482422,95.5,93
Chad,,,,,,,,,,,,,,13.1000003814697,,,,,,,,,,,,,,
Chile,80.8000030517578,82.9000015258789,85.5,85.8000030517578,83.8000030517578,84.3000030517578,82.8000030517578,80.5,79.4000015258789,78.4000015258789,,79.1999969482422,,77.8000030517578,,80.0999984741211,,81.1999969482422,,82.8000030517578,,82.5,86.8000030517578,83.4000015258789,82.3000030517578,82.6999969482422,82.9000015258789,83.5
Colombia,73.5,,,,,77,76,76.0999984741211,75.6999969482422,75.6999969482422,74.3000030517578,73.4000015258789,73.9000015258789,,74.4000015258789,75.0999984741211,75.0999984741211,77.9000015258789,78.4000015258789,79.4000015258789,79.5,76.1999969482422,77.5,76.5999984741211,75.6999969482422,75.5,77.4000015258789,78.0999984741211
Costa Rica,73.8000030517578,74,73.1999969482422,72.9000015258789,69.9000015258789,75.4000015258789,72.9000015258789,69.9000015258789,68.3000030517578,66.8000030517578,68.6999969482422,66.5,69.0999984741211,70.0999984741211,71.5999984741211,72.1999969482422,74.9000015258789,75.9000015258789,75.5999984741211,77.1999969482422,77.4000015258789,78.5,80.5,81,82.4000015258789,82.1999969482422,82.3000030517578,81.5999984741211
Croatia,,,,,,,,,,,,,,,,,57.7000007629394,59.2999992370606,60.5,60.5,64.5999984741211,63,65,63.5,63.9000015258789,62.9000015258789,67.0999984741211,67.0999984741211
Cuba,,,,,,,,,,,,,,,,70.5999984741211,70.5999984741211,70.5999984741211,71.9000015258789,71.9000015258789,71.9000015258789,75.0999984741211,75.0999984741211,75.0999984741211,76,77.4000015258789,77.8000030517578,79.0999984741211
Cyprus,43,44.4000015258789,46.2000007629394,48.2000007629394,49.5,51.5999984741211,53.2999992370606,54.2000007629394,55.5999984741211,56.9000015258789,58.7999992370606,60.5999984741211,63.0999984741211,66.5999984741211,70,71.1999969482422,,,,81,81.4000015258789,82.8000030517578,83,84.1999969482422,85.0999984741211,85.3000030517578,86.1999969482422,87.5
Czech Rep.,,,,,,,,,,,,,,61.0999984741211,62.7000007629394,63.7000007629394,64.6999969482422,66.5,67,68.0999984741211,68.6999969482422,68.3000030517578,69.0999984741211,69.8000030517578,70.3000030517578,70.5999984741211,70.0999984741211,70.6999969482422
Denmark,,80.1999969482422,,79.5999984741211,81.1999969482422,80.6999969482422,80.1999969482422,80.4000015258789,80.5999984741211,80.4000015258789,80.5999984741211,79.8000030517578,81.3000030517578,82.5999984741211,82,82.1999969482422,82.6999969482422,83.3000030517578,83.1999969482422,83.5,83.8000030517578,84.6999969482422,84.9000015258789,86.0999984741211,86.3000030517578,85.6999969482422,86.6999969482422,86
Dominica,,,,,,,,,,54.5,,71,,,,,,72,,72.0999984741211,,81.5,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,75.5,76.5,,,78.0999984741211,,,83,82.6999969482422,82.0999984741211,,
Ecuador,,,,,,,,,,,,,81,81,,,84.0999984741211,82.6999969482422,,82.5999984741211,80.5999984741211,79,81.0999984741211,,81.0999984741211,83.5999984741211,83,
Egypt,68.9000015258789,68.0999984741211,71.5999984741211,41.2000007629394,37.4000015258789,,,,,27.7999992370605,37.5,44.2000007629394,37.2000007629394,45.4000015258789,45.5999984741211,48.2999992370606,,51.4000015258789,55.5999984741211,56.9000015258789,53.7000007629394,58,61.9000015258789,54.7000007629394,47.5,48.4000015258789,50.5999984741211,
