Female 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,8.69999980926514,8.60000038146973,7.90000009536743,6.80000019073486,7.19999980926514,9.10000038146973,9.5,9.69999980926514,9,7.69999980926514,7.80000019073486,7.90000009536743,7.30000019073486,6.69999980926514,6,6.5,6.19999980926514,6.09999990463257,5.69999980926514,5.30000019073486
Canada,8.19999980926514,10.6999998092651,11.5,11.3000001907349,10.6999998092651,9.80000019073486,9.19999980926514,8.19999980926514,7.80000019073486,8.10000038146973,9.69999980926514,10.1999998092651,10.6999998092651,9.80000019073486,9.10000038146973,9.30000019073486,8.89999961853027,8,7.30000019073486,6.69999980926514,6.80000019073486,7.09999990463257,7.19999980926514,6.90000009536743,6.5
Czech Rep.,,,,,,,,,,,,,5.5,5.19999980926514,4.80000019073486,4.59999990463257,5.90000009536743,8.30000019073486,10.5,10.6000003814697,9.89999961853027,9,9.89999961853027,10,9.60000038146973
Estonia,,,,,,,,,,,,,,,,,,,,12.6999998092651,12.3000001907349,9.69999980926514,9.89999961853027,8.89999961853027,7
Finland,4.59999990463257,5.19999980926514,5.19999980926514,5,4.59999990463257,4.40000009536743,4.30000019073486,3.90000009536743,3.09999990463257,2.70000004768372,5.09999990463257,9.69999980926514,14.3999996185303,14.8999996185303,15.1000003814697,14.8000001907349,13,12,10.6999998092651,10.6000003814697,9.69999980926514,9.10000038146973,8.89999961853027,8.89999961853027,8.60000038146973
France,10.6000003814697,11,11.1999998092651,12.3999996185303,12.6999998092651,12.8999996185303,13.3000001907349,12.8999996185303,12.3999996185303,11.6999998092651,12,12.6999998092651,13.6000003814697,14.1000003814697,13.5,14,13.8999996185303,13.3999996185303,12.6000003814697,11.3000001907349,10.3999996185303,10.1999998092651,10.8999996185303,11,10.8000001907349
Germany,,,,,,,,,,,7,8.39999961853027,9.60000038146973,10.1000003814697,9.39999961853027,9.60000038146973,10.6000003814697,9.80000019073486,9,8.5,8.30000019073486,8.5,9.5,10.3000001907349,10.8999996185303
"Hong Kong, China",,,,,2.5,2.5,1.70000004768372,1.29999995231628,1,1.29999995231628,1.5,1.89999997615814,1.89999997615814,1.60000002384186,2.79999995231628,2.29999995231628,2,3.90000009536743,4.80000019073486,4,3.90000009536743,6,6.19999980926514,5.59999990463257,4.40000009536743
Ireland,,,14.5,16.2999992370605,18.1000003814697,18.6000003814697,17.7000007629395,17.2000007629395,15.3999996185303,13.8000001907349,15.5,15.1000003814697,15.8000001907349,14.8000001907349,12.1999998092651,11.8999996185303,10.3000001907349,7.40000009536743,5.5,4.19999980926514,3.5,3.70000004768372,3.90000009536743,3.70000004768372,3.79999995231628
Japan,2.20000004768372,2.29999995231628,2.59999990463257,2.79999995231628,2.70000004768372,2.79999995231628,2.79999995231628,2.59999990463257,2.29999995231628,2.20000004768372,2.29999995231628,2.20000004768372,2.70000004768372,2.90000009536743,3.29999995231628,3.5,3.40000009536743,4,4.5,4.5,4.80000019073486,5.09999990463257,4.90000009536743,4.40000009536743,4.19999980926514
"Korea, Rep.",,,,,,,,,,,,2.09999990463257,2.29999995231628,1.89999997615814,1.70000004768372,1.60000002384186,2.29999995231628,5.59999990463257,5,3.59999990463257,3.29999995231628,2.70000004768372,3.20000004768372,3.29999995231628,3.29999995231628
Latvia,,,,,,,,,,,,,,,,20.5,14.8000001907349,13.1999998092651,13.5,13.5,11.6999998092651,11,10.3999996185303,10.5,8.39999961853027
Lithuania,,,,,,,,,,,,,,,,,,11.6000003814697,13,13.8999996185303,14.6999998092651,12.8999996185303,12.1999998092651,11.8000001907349,8.30000019073486
Netherlands,,,,,,,13.6000003814697,12.5,11.6000003814697,10.6999998092651,9.5,7.30000019073486,7.59999990463257,8.10000038146973,8.80000019073486,8.10000038146973,6.69999980926514,5.40000009536743,4.30000019073486,3.59999990463257,3.40000009536743,3.59999990463257,4.5,5.19999980926514,5.59999990463257
