Female 15-24 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,29.6000003814697,29.3999996185303,29.3999996185303,29,29,28.8999996185303,28.8999996185303,28.8999996185303,28.8999996185303,29.1000003814697,29.5,29.6000003814697,27.8999996185303,29.6000003814697,26.6000003814697,28.7000007629394,28.5
Albania,34,33.4000015258789,33.5,33.7000007629394,33.7999992370606,33.4000015258789,33.5999984741211,33.4000015258789,33.0999984741211,32.7999992370606,32.5,32.2999992370606,31.8999996185303,31.5,31,30.7000007629394,31
Algeria,14,13.5,13.6999998092651,13.6000003814697,12.6999998092651,13.1000003814697,13.6000003814697,13.6000003814697,13.5,13.1000003814697,14.1999998092651,15,16.1000003814697,18.8999996185303,20.2999992370605,21.8999996185303,22.7000007629395
Angola,64,64.3000030517578,63.7000007629394,64.1999969482422,63.5999984741211,63.5999984741211,63.2999992370606,63.2999992370606,63.2000007629394,63,62.7999992370606,62.9000015258789,62.7000007629394,62.7000007629394,62.7000007629394,62.7000007629394,62.5999984741211
Argentina,31.7999992370606,32.2999992370606,32.4000015258789,33,32.7999992370606,33.5,33.7000007629394,33.2000007629394,32.4000015258789,32.5999984741211,32,30.8999996185303,32.5999984741211,32.2000007629394,31.8999996185303,31.5,31.3999996185303
Armenia,17.3999996185303,17.7000007629395,15.8000001907349,15.1000003814697,15.3999996185303,17.1000003814697,16.7999992370605,17.7999992370605,17.2999992370605,17.8999996185303,18.6000003814697,19.1000003814697,19.1000003814697,18.3999996185303,18.6000003814697,18.1000003814697,19.3999996185303
Australia,55.7000007629394,54.5,54.0999984741211,57,59.5,59.2999992370606,57.7000007629394,58.7000007629394,59.7999992370606,61.0999984741211,60.5999984741211,60.2999992370606,61.0999984741211,61.5,62.5,63,63.2999992370606
Austria,58.5,59.2000007629394,55.5999984741211,56.0999984741211,53,51.4000015258789,50.4000015258789,49.9000015258789,48.5,47.5,46.4000015258789,46.7000007629394,46,47.7999992370606,49.2999992370606,50,47.4000015258789
Azerbaijan,33.7000007629394,34.5,34.2999992370606,33.0999984741211,31.8999996185303,32.2999992370606,33,33.2000007629394,33.2000007629394,33.5,33.5,33.2999992370606,33.7000007629394,34.9000015258789,33.0999984741211,31.7000007629394,35.5
Bahamas,39.5999984741211,36.2000007629394,38.2999992370606,38.2000007629394,40,37,37.5999984741211,41.0999984741211,40.7000007629394,42,42.7999992370606,40.2999992370606,37.2999992370606,38.2000007629394,39.7999992370606,42.0999984741211,40.5
Bahrain,15.5,15.6000003814697,15.6000003814697,15.8000001907349,16,16.2999992370605,16.1000003814697,16.8999996185303,17.7000007629395,18.2000007629395,18.6000003814697,18.3999996185303,18.2000007629395,17.8999996185303,17.7000007629395,17.2999992370605,17.6000003814697
Bangladesh,57.2000007629394,53,54.4000015258789,52.4000015258789,49.2000007629394,50.0999984741211,48.9000015258789,49.5,47.7999992370606,47,47.7000007629394,48.4000015258789,49.4000015258789,47.4000015258789,46.2999992370606,46,46.2000007629394
