Female 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,14.8000001907349,14.8000001907349,13.3999996185303,11.6999998092651,12.6999998092651,16.2999992370605,17.1000003814697,16.8999996185303,15.6999998092651,14.1999998092651,14.1999998092651,14.3000001907349,13.6999998092651,12.5,11.1999998092651,12.5,11.8999996185303,11.5,11.1000003814697,10.5
Canada,11.6999998092651,15.5,16.2999992370605,15.3999996185303,14.3000001907349,13.3000001907349,11.8999996185303,10.5,9.60000038146973,11,12.8999996185303,14.5,14.3999996185303,13.6999998092651,13.1999998092651,13.8000001907349,15.1999998092651,13.6000003814697,12.6999998092651,11.3999996185303,11.1000003814697,11.6999998092651,11.8000001907349,11.6999998092651,10.6000003814697
Czech Rep.,,,,,,,,,,,,,10.5,9.89999961853027,8.80000019073486,8.19999980926514,10.1000003814697,14.8000001907349,18.5,17.3999996185303,17.3999996185303,17.1000003814697,18.7000007629395,19.6000003814697,17.6000003814697
Estonia,,,,,,,,,,,,,,,,,,,,23.5,27.2999992370605,22.2000007629395,25.7999992370605,21.7000007629395,13.6000003814697
Finland,9.60000038146973,10.1999998092651,10.8000001907349,10.3999996185303,8.69999980926514,8.39999961853027,8,7.30000019073486,8.69999980926514,8.30000019073486,13.1999998092651,22.7000007629395,30.3999996185303,30.7000007629394,28.7000007629394,26,25,24.5,22.2000007629395,21.7999992370605,20.1000003814697,20.5,21.3999996185303,19.2000007629395,19.3999996185303
France,23.7000007629395,24.8999996185303,25.2999992370605,28.7000007629394,28.2000007629394,27,26.2000007629395,24.5,22.5,21.1000003814697,22.3999996185303,25.2999992370605,28.1000003814697,29.8999996185303,29.3999996185303,30.1000003814697,29.7000007629394,27.6000003814697,25,21.7000007629395,21,20.6000003814697,22.2999992370605,23.7999992370605,24.2999992370605
Germany,,,,,,,,,,,6,6.80000019073486,7.80000019073486,8.30000019073486,8,9,9.60000038146973,8.19999980926514,7.5,7.69999980926514,7,8.30000019073486,9.30000019073486,10.8999996185303,14
"Hong Kong, China",,,,,5.09999990463257,5.30000019073486,3.90000009536743,3.09999990463257,2.40000009536743,3.20000004768372,3.59999990463257,3.79999995231628,4.19999980926514,3.70000004768372,5.90000009536743,5.30000019073486,4.40000009536743,8.80000019073486,10.8000001907349,9.39999961853027,9.19999980926514,11.8000001907349,11.3999996185303,9.10000038146973,8
Ireland,,,17.6000003814697,19.1000003814697,22,22.2000007629395,21.2999992370605,21.5,18.2999992370605,16.1000003814697,19.7000007629395,21,23.1000003814697,20.7999992370605,17.5,17,15.1999998092651,11,8.30000019073486,6.69999980926514,5.69999980926514,6.40000009536743,6.69999980926514,7.40000009536743,7.30000019073486
Japan,3.79999995231628,4.30000019073486,4.40000009536743,5,4.69999980926514,5.09999990463257,5,4.69999980926514,4.19999980926514,4.09999990463257,4.19999980926514,4.09999990463257,5.30000019073486,5.30000019073486,6.09999990463257,6.69999980926514,6.30000019073486,7.30000019073486,8.19999980926514,7.90000009536743,8.69999980926514,8.69999980926514,8.69999980926514,8.30000019073486,7.40000009536743
"Korea, Rep.",,,,,,,,,,,,6.5,7,6,5.30000019073486,4.80000019073486,6.5,12.5,11.5,8.89999961853027,8.60000038146973,7.30000019073486,8.89999961853027,9.19999980926514,8.89999961853027
Latvia,,,,,,,,,,,,,,,,31.8999996185303,25.3999996185303,28.1000003814697,22.3999996185303,24.5,22.2000007629395,24.6000003814697,19.6000003814697,21.7999992370605,14.5
Lithuania,,,,,,,,,,,,,,,,,,19.3999996185303,24.2000007629395,27.5,24.2000007629395,23,28.2000007629394,22.7000007629395,15.3000001907349
Netherlands,,,,,,,16.8999996185303,14.3000001907349,13.6999998092651,12.3000001907349,10.8999996185303,7.69999980926514,9.60000038146973,9.39999961853027,13.6999998092651,12.3000001907349,9.39999961853027,8.19999980926514,7.5,6.19999980926514,6.09999990463257,5.59999990463257,7.80000019073486,8.80000019073486,9.69999980926514
New Zealand,,,,,,7.90000009536743,7.59999990463257,9.89999961853027,12.5,13.1999998092651,16.7999992370605,16.3999996185303,15.8999996185303,14.3000001907349,11.8000001907349,11.1000003814697,13,13.5,12.8000001907349,12,11.5,11.3999996185303,10.3999996185303,10.1000003814697,9.80000019073486
Norway,6.19999980926514,8.10000038146973,9.60000038146973,7.80000019073486,7.40000009536743,6.30000019073486,6.69999980926514,8.60000038146973,11,10.8999996185303,12.1000003814697,12.6999998092651,13.1999998092651,12.1000003814697,11.6000003814697,13.1000003814697,11.1000003814697,9.39999961853027,9.5,10.8999996185303,10.3000001907349,10.5,10.6999998092651,10.6999998092651,11.6000003814697
Philippines,,,,,,21.2000007629395,23.1000003814697,22.2000007629395,23.5,20,27.2999992370605,18.6000003814697,16.5,17.3999996185303,18.3999996185303,16.6000003814697,21.7999992370605,19.3999996185303,19.2000007629395,23.2000007629395,22.2999992370605,23.3999996185303,22.1000003814697,22.8999996185303,19.6000003814697
Poland,,,,,,,,,,,,,32.5,34.5,33.7000007629394,31.2000007629394,28,25.2999992370605,34.7999992370606,37.2999992370606,42.0999984741211,44.4000015258789,44.2000007629394,43.2999992370606,39.2000007629394
Portugal,,,,,,,,,,,,11.6000003814697,14.8999996185303,16.7999992370605,18,19.7000007629395,18.7999992370605,12.8999996185303,10.8000001907349,11.6000003814697,12.1000003814697,13.8999996185303,17,17.6000003814697,19.1000003814697
Romania,,,,,,,,,,,,,,25.7000007629395,23.1000003814697,23.8999996185303,20.7000007629395,19.7000007629395,18.6000003814697,17.2000007629395,17.3999996185303,21.6000003814697,18.7000007629395,18.8999996185303,18.3999996185303
Singapore,4.19999980926514,4.09999990463257,4.5,4.30000019073486,6.40000009536743,8,6.30000019073486,4.30000019073486,3.40000009536743,3,3.29999995231628,4.80000019073486,5.09999990463257,5.19999980926514,4.30000019073486,5.40000009536743,4.59999990463257,7.19999980926514,7.80000019073486,,6.90000009536743,8.89999961853027,9.10000038146973,9.10000038146973,
Slovak Republic,,,,,,,,,,,,,,,,,22.6000003814697,23.3999996185303,32.0999984741211,33.7999992370606,35.7000007629394,35.5,31.6000003814697,30.7999992370606,
Slovenia,,,,,,,,,,,,,21.7999992370605,23.1000003814697,19.6000003814697,17.8999996185303,20,19,20,18.7999992370605,17.7999992370605,15.8999996185303,17.8999996185303,16.7000007629395,18.7999992370605
Spain,35.7000007629394,39.4000015258789,43.7000007629394,48.0999984741211,50.9000015258789,49.9000015258789,48.9000015258789,47.5,42.5,39.5999984741211,37.7999992370606,40.5,47.2999992370606,50.0999984741211,49.2000007629394,48.7000007629394,45.7000007629394,42.9000015258789,36.7999992370606,32.7999992370606,26.8999996185303,27.2999992370605,27,26.3999996185303,23.5
