"GNI per capita, Atlas method (current US$)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,250,270,330,360,460,510,570,570
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,690,720,720,740,640,400,280,310,380,630,850,750,820,910,1090,1250,1320,1580,2030,2540,2940,3310,3850,4030,4040,4050,4090
Algeria,,180,230,230,240,230,250,280,310,330,310,430,520,700,900,1050,1130,1340,1660,1990,2210,2260,2180,2240,2360,2560,2770,2720,2510,2330,1960,1870,1700,1590,1530,1490,1480,1510,1500,1540,1620,1690,1880,2210,2630,3020,3500,4100,4290,4210,4110,4110
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,3970,4990,6300,7300,7570,7880,8570,10360,12550,12410,10780,8890,8050,7640,8700,11020,14080,15360,16880,18260,20140,18730,17880,17840,18990,20200,19440,19270,18570,19150,18990,21690,26510,31310,34750,37380,43110,40391.3248743605,38462.0351944396,36807.8286637051,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,780,730,760,750,820,470,310,190,320,380,470,460,390,420,460,610,690,920,1260,1770,2560,3270,3800,3870,3970,4580
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,1290,1620,1810,1850,2050,2440,2840,3130,3960,5050,5430,5740,6160,6370,6810,7180,6920,7130,7620,7730,8000,8680,8940,9340,10260,11070,12000,13420,14750,14990,13420,12620,12210,12640
Argentina,,,,1110,1220,1340,1230,1210,1300,1320,1470,1460,1810,2460,2700,2340,2200,2170,2600,2940,2810,2570,2800,2820,2650,3020,3600,3910,2910,3180,3960,6300,7100,7570,7360,7730,8140,8020,7570,7470,7000,4050,3670,3590,4480,5170,5554.64015858669,5863.81631187321,5847.62540102079,6312.02998504403,6795.12810968796,6846.85432371503
