GNI per capita (constant 2000 US$),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.423961182211,623.449264155735,707.283474738817,785.22615834388,913.864634411003,1012.68161395093,913.908902563551,1034.52751843793,1137.07053436573,1233.93961021513,1328.35601262466,1352.6481162626,1424.18388220609,1491.98658115703,1557.33530497235,1642.81967260728,1738.32986253461,1832.73878719347,1833.97038754784,1892.60670452019,1951.94899496706
Algeria,1149,905.611733216718,1134.79047068514,1161.12469053439,1186.03832901872,1093.23231726431,1174.22851491785,1270.10173312388,1348.6751279229,1403.85647166812,1219.2342384743,1512.3072617629,1517.2442534445,1583.11174188144,1604.25089773656,1675.36122531181,1708.44427505889,1800.34998552878,1852.74304551184,1808.50447688997,1799.89778364547,1854.46711310346,1899.2905092586,1940.76267393911,1952.93912596186,1918.22585943575,1853.29794382924,1771.64614588899,1802.89832863224,1770.50327178705,1684.37132357471,1682.06845268698,1624.05982006692,1568.60068731765,1583.47485846047,1615.13532240061,1617.4462004112,1685.40324544354,1707.02907109386,1705.65121842182,1754.5639269513,1799.28715235742,1891.35693772504,1954.05067976263,1999.30867115406,2025.73528394914,2110.14862697214,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17539.4420048658,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.915721155101,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9761.09782295026,,,,,,,,,,,
Argentina,5594,5450.30717192226,5085.05425209611,5516.80942763864,6012.20548852518,5970.7471321993,5855.41099208464,5938.25665100115,6470.25949628808,6362.37721719461,6944.07311188735,6762.46286007102,6965.05849032446,7226.20060850591,7178.53571621728,6833.38055340808,7138.25022921539,6725.87512339373,7284.24376693931,7475.00444931644,6840.31241184862,6160.00433444913,6322.08024997444,6399.11756819344,5809.79345259184,6237.66804509704,6319.07301609809,6082.7221459311,5302.67282198281,5337.64604278338,6013.68873696095,6725.16108757918,7070.1613418642,7381.10227372511,7051.965753024,7333.78605501152,7826.44895654166,8002.86972789296,7634.03681353912,7491.21737538265,7073.81827492196,5918.69183328989,6483.67536315074,7039.43692592461,7825.5328015093,8499.515571653,9193.69587522763,9708.5119592633,9614.96190977659,10442.6843817175,11311.916975541
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.500759969148,707.719276283041,337.387985583663,354.517344873168,423.026069100486,461.291937095366,510.72259914373,550.999046621471,579.952844343681,601.450506170556,638.62193772437,704.101454350343,803.565956002061,913.622385670696,1004.81246746055,1139.70446923587,1297.19312526217,1468.34583636858,1582.37124551051,1326.76078390183,1375.01188427394,1457.09193892782
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,10461.7510668213,10461.9522803055,10981.7292444533,11306.4654289837,11853.3742254682,12454.3131291079,12535.3945358334,12812.121509834,12944.9210759568,13165.0178151294,13181.7458333996,13333.5201288609,13642.5833238414,13605.21340714,14000.3291542185,14222.742061346,14506.8065578411,14734.5574494779,14252.0845976615,14638.6393608055,15110.2829898736,15521.9983973691,15664.1231819209,16294.6629872077,16573.0667999939,16838.7004933724,16531.1862224201,16540.4721843164,17127.8497194338,17616.4730573854,17963.6764581174,18460.9509005928,19025.2150915587,19761.4421231989,20568.4748834119,21167.7930972686,21336.9485264564,21908.3037757853,22310.9696577308,22961.5894871476,23131.9790174932,23440.9056174522,23723.4909071611,24264.6890540691,24327.4522575608,24360.9346908515,
Austria,7748,7904.62760066855,8179.0766093694,8622.38040820898,8864.63706472276,9300.86715824933,9499.24865892552,9857.08618119208,10450.7552555441,11016.2445547264,11536.8088279567,12167.8853461029,12683.9927816295,13182.1914423816,13159.3428509195,13766.2042967377,14438.9033299404,14419.5160713311,15238.4459716551,15500.7603166483,15405.3567949486,15715.4436921813,16241.6187284331,16236.4431464122,16631.292912304,16954.2227094612,17174.2503682845,17755.5040494629,18381.6018980873,19049.2651718678,19405.1489364847,19659.0022775797,19606.3587913189,19975.3286036368,20364.9200826017,21036.3612523308,21385.9659903493,22128.9105243214,22768.4725210563,23569.4717459708,23575.736819684,24070.785179896,24228.4109455632,24757.2555532073,25123.0894935892,25889.8869445624,26712.0095514215,27240.4817717662,25995.082037383,26554.6463541729,27333.5360278739
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.649493277351,485.403395435785,480.155789481135,511.02376321648,556.559223519325,588.841152436051,619.663494195138,673.766953035188,736.399423116329,812.13065331364,863.63716887194,995.291448935798,1280.76171720126,1500.99163334575,1743.99628209404,2038.50394690461,2169.29169007025,1969.6935682142
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19874.737978916,19057.8713072525,17968.4192944155,17348.3799769119,16826.3296660586,17047.0349647754,20370.8889378364,22394.4204507972,18198.9864815791,19386.072042187,20313.1979703134,20886.7174308166,21145.2386494014,21317.8229216347,20873.637694039,20814.8271634491,21100.8446889125,21364.9293028505,21202.3912719628,20700.5560943725,19427.1822918712,18570.3358655519,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12138.9841859976,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,230.842489497905,250.181976435154,236.204880190174,244.313191185822,243.7673227985,253.905896272828,258.702920643174,254.161489330405,260.744302879806,259.943527216402,266.332196229332,271.930125929916,270.810958744988,275.518737133346,279.241630294131,277.596920302795,277.446179247743,286.141330192222,288.930643190187,297.44819136701,305.382655925776,312.31660437034,320.806199310597,328.579240120511,340.132729033531,350.984925884296,361.695452743793,377.004780381484,388.974724798394,403.198990457021,420.804030387621,439.425146347183,458.344105833449,488.819792319182,518.721817260839,550.475739365245,577.351381800812,606.867122329444,633.336360763097
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7921.2081369395,7601.40851832626,7593.92260135708,7914.99810755111,7981.18093166825,8107.90575115102,8638.79729912865,8946.94800207604,9101.62019511585,9258.87177723533,8724.27754387943,8353.67606350089,8521.37038490122,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409.79314276202,1392.19244100678,1255.83171576304,1158.34679252657,1021.51789768538,916.683239552133,946.94478525249,1055.4300326071,1149.09431663296,1195.50644884783,1268.38145778179,1332.36276616112,1408.97360665276,1521.25004979215,1703.45882335862,1872.11672583369,2059.70611261882,2229.81692843051,2470.28089268531,2473.0982087112,2672.77233718789,2780.81915907298
Belgium,7879,8242.69440382622,8523.32266620038,9023.30511435826,9274.00980162087,9504.55030439451,9820.1938969764,10194.955109902,10836.4928887789,11456.0802394194,11874.603679827,12458.9639516874,13190.255082148,13746.630183777,13435.4220016994,14173.5575376878,14205.9185931549,14579.1405069017,14838.1566351787,15441.7799217809,15412.2669026171,15437.9047643209,15478.8697716723,15893.8587807236,16197.3803403094,16498.9054932784,16916.8942995001,17656.4793216887,18147.1820284439,18683.9779194579,19028.4556499904,19236.8583443847,19169.4086992332,19883.366896035,20263.468685144,20563.8955041875,21303.1512131042,21626.220107243,22378.0553490051,23215.4945577226,23167.015419057,23322.2474893408,23450.2117234747,24010.1594316647,24190.0261911788,24731.9449333248,25305.0535956071,25450.0445358353,24047.6830612164,24946.1642970125,25148.2462995848
