"Inflation, GDP deflator (annual %)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84535717037242,6.78048755572682,8.4052976372581,2.41390621651148,13.2082742702091,19.6434624818042,-1.16279069767452,3.68287795709786,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,-2.17736010429088,-0.017694487554394,-0.016747058578048,-0.028354135109751,0.351197093229885,-2.37800068668773,0.000028259266998,0.000001563057168,-0.00000169676288,-0.468707661877616,38.5683425913576,249.683436748081,114.8356475471,38.4164948380059,5.57330743777045,28.4184829551623,13.9431011842661,13.5560081545347,4.47606852339335,4.32151112751026,3.45828095535936,3.30019587186332,3.38348607035354,6.00774467102181,3.46925219965664,1.99524122109682,2.02408135733224,4.36090456348745,2.41088206821934,3.45934258977782,2.99999999999918
Algeria,3.47172004170004,2.35127950204672,0.549331310900826,1.69518317712817,1.50133124912941,1.81781469350885,1.3120409912903,3.14205601273798,1.92108449428301,4.94044597657238,17.1519638635964,-4.60646107432177,9.62761159479419,48.8965905215143,5.9140221132012,10.8405926983664,11.9270994730025,10.0851210084705,13.9878379721705,25.8620387539006,14.3539995412969,1.93979416995438,6.80479589743202,8.43350555167064,4.97252640573211,2.4053432646288,8.84202040085317,9.06096349633189,16.0113735109633,30.259598481874,53.7886042276702,21.9261145078991,13.6244246630482,29.0776473359324,28.5770375019817,24.0219040595325,7.00196306277496,-3.13108869460405,10.8564076193927,24.5980988454045,0.711209518495906,1.90632884924007,8.32380269322688,10.6293292142836,16.4592584566599,11.2828115644177,7.33105518650996,14.602179440176,-11.2666112016662,16.2456167906176,11.4311682580682
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,7.84602098547276,8.51792386862668,11.8495952707149,15.9451090391434,16.7817828348673,16.4899211162306,23.3830703506649,20.6310427078785,16.9316314977399,13.3548265751097,12.3511927236919,13.5823230726525,11.8842458575151,10.8647336244115,8.595479290724,10.8788167912666,5.94419811997817,5.93612628275795,6.89619406100004,7.3262512448464,6.93513934762035,6.71077135634141,4.53724108111955,3.87984206072977,4.93312982216932,0.797182777859689,2.22815149143882,1.49956164238432,2.7319769115482,4.51397982383108,2.77000001612026,3.39999994368576,2.88000003002782,3.34999998856276,3.10000003952899,3.20000001504049,3.86999996344369,3.18509869794595,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,-9.13462665934742,7.65767505668451,2.29148783275737,15.9347828152501,10.8586239140007,165.399580833488,252.740496547812,1253.2805682258,2124.60723711936,1895.20649298729,5399.52617238941,94.3195710012759,35.316825206298,556.939256854252,418.232953854058,108.480893660369,120.507255671487,102.538107661817,42.7054634705332,25.9546245543198,13.0411796874506,12.6164324765324,19.681608967392,-7.41883844415168,22.3939235310586,20.7930367504836
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,8.62483914155018,14.7949309654159,9.88108493646915,8.64293328522199,10.652560042672,6.13867000551198,3.14548272195397,7.73196164608659,8.06786567231544,7.60998792893039,12.1488143514525,4.23026479255067,2.26246874478076,2.714202165168,2.39041489907288,2.22407466417671,3.0208389526841,3.12689924860598,2.57501583036708,2.17471086397607,2.41608614107554,0.96955078365859,21.3186221756338,-3.20606706277637,1.12931769153457,0.192627847449998,-0.407633672753576,6.31077732598591,0.302847961521138,23.2583141776783,3.02169288477214,-0.013832623117992,4.28000572442644,2.08427475745563
Argentina,20.3106975336479,28.8718416113702,25.5911543520647,28.774617351761,21.232934917409,25.603462419485,29.0182629475181,10.2753105424959,7.79583005476638,6.46787460964732,31.2710638868093,64.2447859502427,65.5352873679864,30.6304413617118,197.697364498815,438.322779813229,159.427177687849,161.372171992643,147.37704407528,90.8408016044117,106.36409900024,207.61768137585,382.349434835889,606.735941195734,625.802140302372,74.4614934030764,127.086376406594,388.491338958764,3057.62883567321,2076.79347322213,132.953228142774,11.9207602419531,-1.46665994920738,2.84932253431987,3.1651918596054,-0.052422213308518,-0.463954028412147,-1.70520520883498,-1.83658732486391,1.03727726331815,-1.0957788461196,30.5552815443984,10.4956080507191,9.22065119026121,8.84048989557384,13.4262779593141,14.2582393272464,19.0684503177013,9.97745827569581,15.3761723596006,17.2805162854064
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3861042955971,568.807329969521,1391.16646056479,4107.29678609752,161.163917562694,19.5917703037548,17.73599450746,10.6984977480797,0.053804078495574,-1.37367599737229,4.06913993974796,2.3697878125225,4.56109839768852,6.30953271659631,3.23983625099167,4.61985766729198,4.23277038249917,5.98956236111326,2.55693505205032,9.16992191610224,4.22083999869696
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.703892152666,8.6497987965479,8.49725244809802,-4.70403990936452,3.21772645463206,2.99785061528289,1.9009979750727,2.26227284386825,4.04830875684314,2.87697584779482,3.31084482479471,1.56389573528651,,,,,,,,
Australia,3.17699073067708,-0.230734827805392,1.77153991357983,3.26103881520734,3.0017056636364,2.6759880651374,4.85518599522716,2.2526351067737,4.739351566785,5.1530816583122,5.18860559032927,6.16776429481824,8.98407155724922,16.393108943247,16.5564580408144,14.0160753316725,11.420595553002,8.23188627348182,8.57212976430657,10.0345720370741,9.55954276071328,11.7487074810738,10.2227567868445,7.83704181298863,4.84452610507378,5.64451258714216,6.99439140019136,7.58451444862483,8.99657703983732,6.11975889921237,3.05884935875282,1.35595085282461,0.826641920864901,1.04598251604348,2.02504258833196,2.22497486469706,1.1035515519462,1.13900246795666,0.134228886434926,2.52246103170692,4.62797823389845,3.04567929088675,2.60192626587015,3.29319280620987,3.9928596124827,4.86343299685808,5.25486033553828,4.61195575736453,4.35002614401132,0.093956625695029,6.32866314067199
