Youth (15-24) literacy rate (%). Female,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,11.1427980173238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4980818767758,,,,,,,99.1213215925341,,,98.8562401263823
Algeria,,,,,,,,,,,,,62.2114816141408,,,,,,,,,,,,,,,86.1339923119165,,,,89.1382394562374,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1821170282709,,,,,,,,,,66.05586
Anguilla,,,,,,,,,,99.1031390134529,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,97.3024798494237,,,,,,,,,,,98.5402086594614,,,,,,,,,,99.1276725279333,,,,,,,,,,99.40338
Armenia,,,,,,,,,,,,,,,99.9105717254588,,,,,,,,,,,,99.8616694172995,,,,,,,,,,99.82573
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,99.1663710535651,,,,,,,,,,99.3230972428595,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.9014916971573,,,,,,,,100,,99.9457877046514,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,82.0774227374676,,,,,,,,,,96.5787708344084,,,,,,,,,,97.2506106497313,,,,,,,,,97.5823392833012,
Bangladesh,,,,,,,27.1510091199665,,,,,,,,,,37.9897456070673,,,,,,,,,,60.2562288017816,,,,,,,,,,80.41
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,99.8005423550431,,,,,,,,,,99.8282095435515,,,,,,,,,,99.8473948438812,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,76.7019488751953,,,,,,,,,,,,,,,,,,,,
Benin,,,,,18.2551839314549,,,,,,,,,,,,,26.690291358389,,,,,,,,,,33.238001821844,,,,30.7865523478319,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9642610471866,,,,,,
