Youth (15-24) literacy rate (%). Male,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,45.7960161921035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3684555868442,,,,,,,98.5371249833114,,,98.7313568746585
Algeria,,,,,,,,,,,,,86.2300899212712,,,,,,,,,,,,,,,94.0575423500941,,,,94.3814797699331,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7769328263625,,,,,,,,,,80.12215
Anguilla,,,,,,,,,,99.1240875912409,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,96.4592191149829,,,,,,,,,,,98.0654903516231,,,,,,,,,,98.707897833956,,,,,,,,,,99.03215
Armenia,,,,,,,,,,,,,,,99.9093670563411,,,,,,,,,,,,99.7523451119289,,,,,,,,,,99.6894
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,98.8817598533456,,,,,,,,,,98.9657301636308,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.8703356865005,,,,,,,,100,,99.9567847882455,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,89.6903828548626,,,,,,,,,,97.2586659301201,,,,,,,,,,96.8270792375417,,,,,,,,,98.6199114660186,
Bangladesh,,,,,,,44.362159138931,,,,,,,,,,51.7367348835562,,,,,,,,,,67.1638096638859,,,,,,,,,,77.0668
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,99.7319756454825,,,,,,,,,,99.7568742847801,,,,,,,,,,99.8003266357504,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,76.136160581333,,,,,,,,,,,,,,,,,,,,
Benin,,,,,45.7106432960747,,,,,,,,,,,,,55.1302190988012,,,,,,,,,,59.205079876297,,,,54.8669386374686,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0419249466293,,,,,,
Bolivia,,91.468144168446,,,,,,,,,,,,,,,,96.3184059398234,,,,,,,,,98.5492912115118,,,,,,99.753609486552,99.3902301024582,99.6936409405984,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.7482014388489,,,,,,,,,,,99.68876
Botswana,,,,,,,,,,,,,,,,,85.9000678995087,,,,,,,,,,,,92.0833054084847,,,,,,,,93.47993
Brazil,,,,,,82.556764268043,,,,,,,,,,,,,,,,,,,,92.6540139686611,,,,95.783894058578,,96.7970047582952,97.0568754059935,97.1804635947837,97.4457197522826,96.7161658926165,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,94.0643033800495,,,,,,,,,,98.1069042316258,,,,,,,,,,98.8743028159434,,,,,,,,,,99.77855
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3096698812471,,,,,,,,,,98.0669285068604
Burkina Faso,22.3771262501068,,,,,,,,,,,,,,,,26.7888010023056,,,,,25.4782620676352,,,,,,,38.381086597337,,40.3798051637638,,46.7337418288706,,,,
Burundi,,,,,40.9319922702615,,,,,,,,,,,59.4978411441936,,,,,,,,,,76.7800212539851,,,,,,,,89.5927543210473,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,81.8462858326184,,,,,,87.9201060052429,,,,89.3836841692258,88.3561205324401,,
Cameroon,,79.5916488193488,,,,,,,,,,,,,,,,,,,,,,,,88.4224480777729,,,,,,,89.4173209657414,,,85.3974765339178,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,89.9489749705625,,,,,,,,,,,,,,96.2286,,,,,,,97.64615
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1423125794155,,,,
Central African Rep.,53.9904309145661,,,,,,,,,,,,,62.5614481145788,,,,,,,,,,,,72.5947521865889,,,,,,,,,,,72.2871
Chad,,,,,,,,,,,,,,,,,,,26.2462260418452,,,,,,,55.686195872383,,,,53.7082314588427,,,,,,,53.55929
Chile,,,,,,,,96.1822230393659,,,,,,,,,,98.1564504081787,,,,,,,,,,98.8036364995868,,,,,,99.1145198204022,98.8593836077304,,
China,,,,,,,,95.2085376229227,,,,,,,,96.9769329466015,,,,,,,,,,99.1984600529821,,,,,,,,,,99.6896191547409,
Colombia,,,,,,,,,,,,,,,,,,,89.3774950933854,,,96.3851190077231,,,,,,,,97.5525244039723,97.5170252112486,97.5336598672927,97.482878026396,97.546659650602,97.4411289572542,97.682720485605,97.7604504835065
Comoros,,,,,,69.3577267419229,,,,,,,,,,,,,,,,,,,,83.9513325608343,,,,,,,,,,,86.13718
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,77.9811097992916,,,,,,78.9364184067506,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,96.7545246554194,,,,,,,,,,,,,,,,97.1974935177182,,,,,,,,,,,97.8792
Cote d'Ivoire,,,,,,,,,,,,,,59.9322473326818,,,,,,,,,,54.4031292891158,,70.8407166765111,,,,,,,,,,,72.29478
Croatia,,,,,,,,,,,,,,,,,99.6661831379999,,,,,,,,,,99.644259794216,,,,,,,,,,99.62187
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.957406125342,,,,,,,,,99.98816
Cyprus,,,,,,,,,,,,,,,,,,99.5799095189733,,,,,,,,,99.73630831643,,,,,,,,,,99.8045423706911
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
