Male contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,8.80000019073486,,7.19999980926514,7.09999990463257,,,
American Samoa,,,,,,,,,,,0.10000000149012,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
Antigua and Barbuda,,,,,,,,,,,,0.69999998807907,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,1,1,0.80000001192093,0.89999997615814,0.69999998807907,0.60000002384186,0.80000001192093,1.10000002384186,0.69999998807907,0.69999998807907,0.69999998807907,
Aruba,,,,,,,,,,,,0.10000000149012,,,0,,,,,,,,,,,,,
Australia,0.30000001192093,0.30000001192093,0.30000001192093,0.30000001192093,0.20000000298023,0.30000001192093,0.5,0.60000002384186,0.60000002384186,0.5,0.5,0.69999998807907,0.69999998807907,0.80000001192093,0.69999998807907,0.69999998807907,0.69999998807907,0.60000002384186,0.5,0.5,0.60000002384186,0.40000000596046,0.30000001192093,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023
Austria,,,,,,,,,,,,,,,1.89999997615814,2,1.79999995231628,1.60000002384186,1.60000002384186,1.5,1.5,1.39999997615814,1.29999995231628,1.29999995231628,0.60000002384186,1,1,2
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,15.6999998092651,18.6000003814697,16.7999992370605,0,0
Bahamas,,,,,,,,,,,,,,0.30000001192093,0.30000001192093,0.20000000298023,0.30000001192093,0.20000000298023,0.89999997615814,0.80000001192093,,0,0.10000000149012,0.20000000298023,0,,,
Bangladesh,,,,,,,,,,,,,,,,,17.1000003814697,,,,10.1000003814697,,,9.89999961853027,,9.69999980926514,,
Barbados,,,,,,,,,,,1,0.69999998807907,0.20000000298023,0.80000001192093,0,0,0.20000000298023,0,0,0,0.10000000149012,0,0,0,0,,,
Belgium,0.89999997615814,0.89999997615814,0.89999997615814,1,1,1,1,1,1,1,0.89999997615814,1,1,1,1,1,1,0.89999997615814,0.89999997615814,0.80000001192093,,,,,,0.40000000596046,0.40000000596046,
Belize,,,,,,,,,,,,,,3.29999995231628,4.19999980926514,3.70000004768372,4,4.40000009536743,3.79999995231628,3.29999995231628,,,,,,3.70000004768372,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,21.2999992370605,,
Bolivia,,,,,,,,,,4.19999980926514,3.59999990463257,4,3.5,4.09999990463257,4.59999990463257,6.80000019073486,6.5,5.69999980926514,,5.80000019073486,5.19999980926514,13.3000001907349,12.6000003814697,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Botswana,,,,,0.20000000298023,,,,,,,,,,1.39999997615814,,,,18.3999996185303,,16.8999996185303,1.39999997615814,,2.20000004768372,,,,
Brazil,,,,,,,,,,,4.30000019073486,,5.5,5.59999990463257,,5.19999980926514,5.09999990463257,,,,,5.69999980926514,5.69999980926514,5.5,5.40000009536743,5.19999980926514,4.59999990463257,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,0.40000000596046,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,0.20000000298023,,1.29999995231628,1.20000004768372,0.89999997615814,0.80000001192093,0.69999998807907
Burkina Faso,,,,,,44.0999984741211,,,,,,,,,52.2000007629394,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,26.6000003814697,31.6000003814697,,,,,,
Cameroon,,,,,,,,,,,,,,,,,8.89999961853027,,,,,9.5,,,,,,
Canada,0.30000001192093,0.40000000596046,0.40000000596046,0.5,0.40000000596046,0.40000000596046,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.10000000149012,0.10000000149012,0.10000000149012,0.10000000149012,0.10000000149012,0.10000000149012,0.10000000149012
Cape Verde,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,13.1999998092651,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,2,1.5,1.60000002384186,1.70000004768372,1.60000002384186,1.29999995231628,1.39999997615814,1.39999997615814,1.60000002384186,1.39999997615814,1.29999995231628,0.89999997615814
Colombia,,,,,,,,,,,,,0.80000001192093,0.69999998807907,0.60000002384186,0.40000000596046,0.40000000596046,0.80000001192093,0.40000000596046,1,0.60000002384186,5.09999990463257,4.19999980926514,4.30000019073486,3.79999995231628,3.40000009536743,3,3.20000004768372
Costa Rica,,,,,,,,6.30000019073486,4.90000009536743,4.90000009536743,4.69999980926514,4.09999990463257,3.5,3.29999995231628,3.29999995231628,3.20000004768372,2.90000009536743,2.59999990463257,3,2.40000009536743,2.20000004768372,2.5,,2.09999990463257,1.79999995231628,1.70000004768372,1.70000004768372,1.29999995231628
Croatia,,,,,,,,,,,,,,,,,4.09999990463257,4.09999990463257,2.90000009536743,2.79999995231628,2.20000004768372,2.40000009536743,2.29999995231628,1.79999995231628,1.29999995231628,1.10000002384186,1.10000002384186,1.10000002384186
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,0.5,0.60000002384186,1.10000002384186,0.89999997615814,1.10000002384186,1,1.20000004768372,1.10000002384186,0.89999997615814
Czech Rep.,,,,,,,,,,,,,,0.20000000298023,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.20000000298023,0.10000000149012,0.30000001192093,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023
Denmark,,,,0.10000000149012,,,,,,,,,,,,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.10000000149012,0.20000000298023,0.20000000298023,0.30000001192093,0.30000001192093,0.20000000298023,0.20000000298023,0.20000000298023,0.30000001192093
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,3,,,,,,0.80000001192093,,1.29999995231628,,1.20000004768372,,,,,,
Dominican Rep.,,,,,,,,,,,,6.19999980926514,5.80000019073486,5.80000019073486,4.59999990463257,4.30000019073486,4.90000009536743,4,2.20000004768372,1.89999997615814,2,1.39999997615814,1.39999997615814,1.60000002384186,1.89999997615814,2.79999995231628,,
Ecuador,,,,,,,,,2.5,2.29999995231628,3.90000009536743,3.5,4,3.79999995231628,3.40000009536743,3.5,3.90000009536743,2.40000009536743,4,3,3.29999995231628,4.40000009536743,3,,3.70000004768372,3,4.40000009536743,
Egypt,,,,,,,,,,,,,,9.60000038146973,8.80000019073486,9.30000019073486,,8.80000019073486,9.60000038146973,8.89999961853027,8.19999980926514,7.59999990463257,8.39999961853027,9,9.39999961853027,8.5,8.60000038146973,
El Salvador,,,,,,,,,,,,,,7.40000009536743,7.90000009536743,8.89999961853027,10.1999998092651,8.69999980926514,10.5,8.19999980926514,8.30000019073486,11,9.5,8.39999961853027,7.69999980926514,9.5,8.80000019073486,
Equatorial Guinea,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Estonia,,,,,,,,,,0.60000002384186,0.89999997615814,1.10000002384186,1.5,2.29999995231628,2.40000009536743,0.89999997615814,1,0.60000002384186,0.60000002384186,0.60000002384186,0.60000002384186,0.80000001192093,0.5,0.30000001192093,0.5,0.30000001192093,0,0
Ethiopia,,,,,,,,,,,,,,,,,,,,34.2999992370606,,,,,5.19999980926514,34.5999984741211,7.80000019073486,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,12.3000001907349,,
Finland,2.70000004768372,2.59999990463257,2.40000009536743,1.79999995231628,1.70000004768372,1.39999997615814,1.5,1.39999997615814,1.20000004768372,1.70000004768372,1.70000004768372,1.5,1.60000002384186,1.60000002384186,1.60000002384186,1.60000002384186,1.29999995231628,1,0.80000001192093,0.69999998807907,0.60000002384186,0.60000002384186,0.60000002384186,0.40000000596046,0.5,0.60000002384186,0.5,0.60000002384186
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.40000000596046,0.5,0.30000001192093
Gabon,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,23.2000007629395,21.5,22.7000007629395,23.2000007629395,20.1000003814697,19.8999996185303,18.7999992370605,19,,
Germany,0.80000001192093,0.69999998807907,0.69999998807907,0.69999998807907,,,,,,,,0.40000000596046,0.40000000596046,0.40000000596046,0.40000000596046,0.40000000596046,0.40000000596046,0.40000000596046,0.40000000596046,0.40000000596046,0.40000000596046,0.5,0.5,0.5,0.5,0.5,0.40000000596046,0.40000000596046
Greece,,3.79999995231628,3.90000009536743,4.90000009536743,4.90000009536743,4.90000009536743,5,4.69999980926514,4.80000019073486,5.09999990463257,4.90000009536743,4.80000019073486,4.69999980926514,5.09999990463257,5.09999990463257,5.30000019073486,5.09999990463257,5.09999990463257,5.5,5.09999990463257,5.09999990463257,4.59999990463257,4.30000019073486,4.40000009536743,3.20000004768372,3.29999995231628,3.70000004768372,3.70000004768372
