Male industry workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,23.6000003814697,,23.7999992370605,25.6000003814697,,,
American Samoa,,,,,,,,,,,43,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,32.7000007629394,,32.0999984741211,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,24.3999996185303,,,,,,
Argentina,,,,,,,,,,,39.4000015258789,40.2000007629394,40.2000007629394,37.7999992370606,37,34.5,32.5999984741211,34,34,32.2000007629394,31.1000003814697,30,27.8999996185303,29.2000007629394,31.2999992370606,32.7000007629394,33.0999984741211,
Armenia,,,,,,,,,,,,,,,,,,,,,,32.5999984741211,22.1000003814697,21.8999996185303,20.7000007629395,21.1000003814697,20.7999992370605,
Aruba,,,,,,,,,,,,,,,28.3999996185303,,,25.6000003814697,,,,,,,,,,
Australia,39.2999992370606,38.5999984741211,37.9000015258789,36.2999992370606,36,34.9000015258789,34.5999984741211,34.2000007629394,34.7999992370606,35.0999984741211,34,31.7999992370606,32.0999984741211,32.2000007629394,32.2999992370606,31.5,31,30.6000003814697,30.3999996185303,29.8999996185303,30.6000003814697,29.7999992370606,30,30.1000003814697,30.7000007629394,30.6000003814697,31.1000003814697,31.2000007629394
Austria,,,,49.2999992370606,48.7000007629394,48.7999992370606,48.7000007629394,48.7000007629394,48.5,48.5,48.5999984741211,48.2999992370606,47,47.0999984741211,43.7999992370606,43.4000015258789,42.7000007629394,41.7999992370606,42.7999992370606,43.2000007629394,43.2999992370606,42.7000007629394,43.0999984741211,43.0999984741211,39.7000007629394,39.7999992370606,40.5999984741211,39.0999984741211
Azerbaijan,,,,,,,,,,,,,,,,,,,,14.1999998092651,13.8999996185303,14.1000003814697,15.1999998092651,18.1000003814697,15.1999998092651,15.1999998092651,19.7999992370605,21.3999996185303
Bahamas,,,,,,,22.3999996185303,,,22.1000003814697,,24.2000007629395,24.2000007629395,18.7000007629395,19.6000003814697,22.2999992370605,22.2999992370605,22.3999996185303,24.3999996185303,26.5,,27.1000003814697,28.2999992370606,25.6000003814697,26.2999992370605,29.6000003814697,30.6000003814697,29.3999996185303
Bahrain,,38.2000007629394,37.7999992370606,,,,,,,,,32.7999992370606,,,,,,,,,,31.7999992370606,,,,,,
Bangladesh,,,,,9.30000019073486,10,9.80000019073486,,,10.8999996185303,,15.6999998092651,,,,,10.8000001907349,,,,11,,,12.3000001907349,,15.1000003814697,,
Barbados,,23.7000007629395,27.3999996185303,26.8999996185303,25.6000003814697,27.8999996185303,26.8999996185303,27.2999992370605,29,30.7000007629394,28.7999992370606,26,25.8999996185303,24.6000003814697,25.2000007629395,25.5,24.8999996185303,26.6000003814697,28.7999992370606,30.3999996185303,29.2999992370606,28.2999992370606,26.6000003814697,25.5,26.2000007629395,,,
Belgium,43,41.5,40.4000015258789,39.5999984741211,39,38.5,38,37.4000015258789,,,,,,38.2000007629394,37.5,37.0999984741211,36.5999984741211,36.0999984741211,36,37.4000015258789,36.7000007629394,36.2999992370606,35.5999984741211,34.9000015258789,35.2999992370606,35.0999984741211,35.5999984741211,
Belize,,,,,,,,,,,,,,23.2999992370605,22.6000003814697,21.5,19.7000007629395,19.6000003814697,21.2999992370605,19.2999992370605,,,,,,21.7999992370605,,
Bermuda,,,,,,,,,,,,,,,,,,,,,25.2999992370605,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,23.7000007629395,,
Bolivia,21.2000007629395,20.2000007629395,17.7000007629395,17.8999996185303,17.2999992370605,16.2999992370605,12.8999996185303,13.1000003814697,13.1000003814697,34.2000007629394,34.5999984741211,39.7000007629394,42.0999984741211,38.2000007629394,40.2000007629394,38.5999984741211,38.7000007629394,39.5999984741211,,37.2000007629394,39.2999992370606,22.3999996185303,24.5,,,,,
Botswana,,,,,,17.2000007629395,,,,,,,,,,,30.3999996185303,,26.7000007629395,,26.2999992370605,31.1000003814697,,28,,19.2000007629395,,
Brazil,,30,28.3999996185303,31.2000007629394,26.7000007629395,27,29.2000007629394,29.5,29,29.1000003814697,,,,,,,,,,,26.7000007629395,,27.5,26.6000003814697,26.7999992370605,27.2999992370605,27.5,
British Virgin Islands,,,,,,,,,,,,33.7999992370606,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,28.6000003814697,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,36.5999984741211,37.2000007629394,38.9000015258789,40.0999984741211,41.5999984741211
Cambodia,,,,,,,,,,,,,,,,,,,5,,7.09999990463257,8.69999980926514,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,14.1000003814697,,,,,,
Canada,37,37.0999984741211,35.2000007629394,33.7999992370606,34.2999992370606,34.0999984741211,33.9000015258789,34,34.2999992370606,34.7000007629394,34,32.2999992370606,31.2999992370606,30.7000007629394,30.8999996185303,31.1000003814697,31,31.2000007629394,31.5,31.7000007629394,32.2000007629394,32.2000007629394,32.2999992370606,32,32.2000007629394,32.0999984741211,31.8999996185303,31.5
Cayman Islands,,,,,,,,,,,,34.0999984741211,,,,,,,,,,,,,,39.2999992370606,37.2999992370606,33.5999984741211
Chad,,,,,,,,,,,,,,3.29999995231628,,,,,,,,,,,,,,
Chile,26.7999992370605,27.3999996185303,21,20.8999996185303,23.2000007629395,23.7999992370605,24.7999992370605,26.8999996185303,29.5,31.2000007629394,,31.3999996185303,,32.5,,31.5,,33.5,,28.7999992370606,,29.3999996185303,28.7999992370606,29.3999996185303,29.7000007629394,29.1000003814697,29.8999996185303,30.5
Colombia,39,,,,,33.7000007629394,32.7999992370606,34.5,34.2999992370606,34,34.7000007629394,34,35.0999984741211,,36.0999984741211,36.7000007629394,33.7999992370606,32.2000007629394,30.7999992370606,27.3999996185303,30.2000007629394,19.2000007629395,22.1000003814697,20.3999996185303,21.1000003814697,20.6000003814697,21.7999992370605,22.3999996185303
Costa Rica,25.2999992370605,23.1000003814697,21.2000007629395,21.7000007629395,21.2999992370605,21.3999996185303,23.6000003814697,25.2999992370605,23.8999996185303,26,26.5,26.2999992370605,26.7999992370605,27,27.6000003814697,25.3999996185303,25.2000007629395,26.3999996185303,25.3999996185303,26,24.8999996185303,26.6000003814697,26.5,26.2999992370605,26.5,26.3999996185303,26.7000007629395,27.5
Croatia,,,,,,,,,,,,,,,,,35.9000015258789,36.5,36.2999992370606,37.9000015258789,36.2999992370606,36.7999992370606,37.5,38.5,38.7999992370606,37.2000007629394,38.7999992370606,40.2999992370606
Cuba,,,,,,,,,,,,,,,,26.6000003814697,26.5,26.5,23.8999996185303,21.8999996185303,21.8999996185303,22.7000007629395,22.7000007629395,22.7999992370605,22.5,22.5,21.2999992370605,21.5
Cyprus,36.5,35.5,34.9000015258789,34,33.7999992370606,33.2999992370606,32.9000015258789,32.2000007629394,32.0999984741211,31.3999996185303,31.2999992370606,31.6000003814697,31.2999992370606,30.7999992370606,30.6000003814697,30.1000003814697,,,,29.7000007629394,29.7000007629394,32.2000007629394,31.7999992370606,32.2000007629394,34.2000007629394,34.4000015258789,32.4000015258789,32.9000015258789
Czech Rep.,,,,,,,,,,,,,,52.2999992370606,51.7000007629394,51.2999992370606,51.2000007629394,51.4000015258789,51,50.5,49.7000007629394,49.7999992370606,49.5,49.5,49.2000007629394,49.7000007629394,50.0999984741211,50.2999992370606
Denmark,,40.5,,38.9000015258789,35.7999992370606,37.5,37.5,37.9000015258789,36,36.4000015258789,36.7000007629394,36.7000007629394,36.7000007629394,35.7000007629394,35.7000007629394,37.5999984741211,37,36.7999992370606,37.2999992370606,37.0999984741211,37.0999984741211,35.9000015258789,34.7999992370606,34.4000015258789,34.2999992370606,34.5999984741211,34.2000007629394,32.9000015258789
Dominica,,,,,,,,,,35.5999984741211,,26.5,,,,,,24.2999992370605,,21.8999996185303,,26.5,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,28.2000007629394,27.7000007629395,,,26.2000007629395,,,26.7000007629395,26.7999992370605,26,,
Ecuador,,,,,,,,,,,,,28.7999992370606,30.1000003814697,,,26.2000007629395,26.5,,28.7999992370606,29.5,29.6000003814697,27.7000007629395,,26.5,27.3999996185303,28,
Egypt,20.6000003814697,22.7000007629395,22.6000003814697,22.7000007629395,22.1000003814697,,,,,25.1000003814697,23.8999996185303,26.8999996185303,24.6000003814697,25.1000003814697,25.1000003814697,24.8999996185303,,25.6000003814697,25.2000007629395,25.2000007629395,24.6000003814697,23.7999992370605,22.8999996185303,22.8999996185303,23.5,25.3999996185303,25.7999992370605,
El Salvador,20.8999996185303,,,,,21.5,32.7999992370606,,34.5,32.2000007629394,,32.7999992370606,22.7999992370605,,25.7000007629395,27.2000007629395,25.2999992370605,25.7999992370605,24.2999992370605,25.3999996185303,24.2000007629395,24.6000003814697,24.7000007629395,26.5,25.1000003814697,23.7000007629395,25.8999996185303,
Equatorial Guinea,,,,7.09999990463257,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,42.2000007629394,41.9000015258789,42.2999992370606,41.5,38.7000007629394,38.2999992370606,41.4000015258789,41.5,41.7999992370606,41.7999992370606,40.5,42.5,42.4000015258789,40.7999992370606,41.7999992370606,44.2000007629394,44,45.5999984741211,48.2000007629394
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,25.2000007629395,5.19999980926514,26.7999992370605,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,33.2999992370606,,
