Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,53.7999992370606,,53.4000015258789,53.7999992370606,,,
American Samoa,,,,,,,,,,,51.9000015258789,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,53.5999984741211,,64.4000015258789,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,63.0999984741211,,,,,,
Argentina,,,,,,,,,,,59.7000007629394,58.2999992370606,58.5999984741211,61.2000007629394,62,64.3000030517578,65.9000015258789,64.1999969482422,64.5,66.3000030517578,67.5,68.5999984741211,70.5,68.3000030517578,66.9000015258789,65.5999984741211,65.5,
Armenia,,,,,,,,,,,,,,,,,,,,,,55.4000015258789,30.2999992370606,29.2999992370606,30.5,32.7999992370606,32.9000015258789,
Aruba,,,,,,,,,,,,,,,71.3000030517578,,,73.5,,,,,,,,,,
Australia,52.7000007629394,53.5999984741211,54.2000007629394,55.5,56.2000007629394,57.7000007629394,58.2999992370606,58.9000015258789,58.2000007629394,58.5,59.4000015258789,61.7000007629394,61.5999984741211,61.2000007629394,61.4000015258789,62.5,62.7999992370606,63,63.5,64,63.2000007629394,64.3000030517578,64.4000015258789,64.8000030517578,64.5,64.5,64.0999984741211,64.1999969482422
Austria,,,,42.2999992370606,42.5999984741211,42.9000015258789,43.5,43.2999992370606,43.7000007629394,44.0999984741211,44.2999992370606,44.7000007629394,46.2999992370606,46.2000007629394,49.4000015258789,49.9000015258789,50.7999992370606,52,51,50.9000015258789,50.9000015258789,51.9000015258789,51.4000015258789,51.2999992370606,55.2000007629394,54.4000015258789,53.9000015258789,55.0999984741211
Azerbaijan,,,,,,,,,,,,,,,,,,,,48.2999992370606,49.7000007629394,48.5,43.7999992370606,46,43.9000015258789,43.7000007629394,43.7000007629394,43.5
Bahamas,,,,,,,69.5,,,70.0999984741211,,67.0999984741211,67.0999984741211,71.8000030517578,71.0999984741211,70.1999969482422,68.9000015258789,71.3000030517578,69.3000030517578,66.1999969482422,,65.5,65.8000030517578,68.6999969482422,65.5,63.5,64.8000030517578,66.1999969482422
Bahrain,,57.2000007629394,57.7999992370606,,,,,,,,,64,,,,,,,,,,63.4000015258789,,,,,,
Bangladesh,,,,,25.1000003814697,26.5,27.6000003814697,,,23.8999996185303,,25.2999992370605,,,,,33.7000007629394,,,,30.2999992370606,,,37.9000015258789,,43,,
Barbados,,66.5999984741211,63.9000015258789,64.8000030517578,64.3000030517578,62.7000007629394,64.4000015258789,63.7000007629394,62.5,55.4000015258789,55.7999992370606,60,56.9000015258789,60.7000007629394,59.0999984741211,59.5999984741211,57.2000007629394,57,56.2000007629394,56,57.4000015258789,58.2000007629394,58.7999992370606,59.5,61.7999992370606,,,
Belgium,53.2999992370606,54.7000007629394,55.7999992370606,56.5999984741211,57.2000007629394,57.7999992370606,58.4000015258789,59,,,,,,55.7999992370606,56.0999984741211,56.5999984741211,57,57.5999984741211,57.7000007629394,59.7000007629394,60.5,61.2999992370606,62.2000007629394,62.7999992370606,62,61.9000015258789,61.2999992370606,
Belize,,,,,,,,,,,,,,40.7999992370606,43.2999992370606,41.9000015258789,40.2999992370606,39.7000007629394,44.0999984741211,43.5,,,,,,49.7000007629394,,
Bermuda,,,,,,,,,,,,,,,,,,,,,64.6999969482422,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,43.7000007629394,,
Bolivia,26.7000007629395,27.7000007629395,29.3999996185303,28.2000007629394,28.8999996185303,29.6000003814697,33.0999984741211,32.7999992370606,32.9000015258789,62,62.7999992370606,57.5999984741211,54.5,58.9000015258789,57.2000007629394,58,54.7999992370606,53.2999992370606,,57.5999984741211,54.7999992370606,34.5999984741211,33.0999984741211,,,,,
Botswana,,,,,,27.3999996185303,,,,,,,,,,,49.7000007629394,,45.5,,50.5999984741211,51.4000015258789,,43.2999992370606,,45.5,,
Brazil,,36.4000015258789,37.2000007629394,38,38.2000007629394,39.4000015258789,39.4000015258789,41.0999984741211,41.5999984741211,42.7000007629394,,,,,,,,,,,48.7999992370606,,48.5999984741211,49.0999984741211,48.2999992370606,48.7000007629394,49.5999984741211,
British Virgin Islands,,,,,,,,,,,,62.0999984741211,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,69.3000030517578,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,51,51,50.2999992370606,50,49.2000007629394
Cambodia,,,,,,,,,,,,,,,,,,,23.1000003814697,,20.2000007629395,20.2000007629395,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,,
