Male above 15 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,84.1999969482422,84,84.3000030517578,84,84,84,84.0999984741211,84.1999969482422,84.0999984741211,84.0999984741211,84.5999984741211,84.3000030517578,81.4000015258789,83.4000015258789,81,83.5,83.5999984741211
Albania,62.5999984741211,62.4000015258789,62.7000007629394,63.0999984741211,63.2000007629394,63,62.7999992370606,62.5,62.2999992370606,62.0999984741211,62,61.9000015258789,61.7000007629394,61.5999984741211,61.4000015258789,61.2000007629394,61
Algeria,61.0999984741211,60,60.4000015258789,60,57.7999992370606,58.7000007629394,59.5,58.7000007629394,58,56.5999984741211,58.7000007629394,59.7000007629394,61.0999984741211,65.4000015258789,67.0999984741211,69.3000030517578,69.0999984741211
Angola,83.0999984741211,82.3000030517578,83,82.6999969482422,84.3000030517578,84.3000030517578,84,83.5,83.3000030517578,83.4000015258789,83.4000015258789,83.4000015258789,83.0999984741211,83,82.9000015258789,82.1999969482422,82.4000015258789
Argentina,71.8000030517578,71.8000030517578,71.5,71.5,70.9000015258789,71.5,71.6999969482422,71.4000015258789,70.8000030517578,71.0999984741211,70.8000030517578,70.1999969482422,71.9000015258789,71.9000015258789,72,71.9000015258789,71.8000030517578
Armenia,47,45.5999984741211,44.5,44.7999992370606,44.2000007629394,45.2999992370606,44.2999992370606,44.7999992370606,43.7999992370606,44.5,45.4000015258789,46,46.4000015258789,45.7999992370606,46.4000015258789,46.4000015258789,47.4000015258789
Australia,67.4000015258789,65.9000015258789,65.4000015258789,66.4000015258789,67.5,67.3000030517578,66.8000030517578,67.0999984741211,67.3000030517578,67.6999969482422,67.0999984741211,67.3000030517578,67.4000015258789,67.8000030517578,68.5999984741211,68.9000015258789,68.5999984741211
Austria,67.5999984741211,67.6999969482422,67.0999984741211,67.6999969482422,68.0999984741211,66.8000030517578,66.5,66.1999969482422,66.3000030517578,66.3000030517578,65.9000015258789,65.5,65.4000015258789,64.1999969482422,64.3000030517578,65.1999969482422,64.8000030517578
Azerbaijan,63.2999992370606,63,62.5999984741211,62.4000015258789,61.0999984741211,61.5,62.2000007629394,62.0999984741211,62.4000015258789,62.7000007629394,62.7000007629394,62.5999984741211,63,64.5999984741211,64.0999984741211,64.3000030517578,66.1999969482422
Bahamas,69.6999969482422,69,70.3000030517578,70.9000015258789,72.9000015258789,73.4000015258789,73.0999984741211,74.4000015258789,74.4000015258789,73.6999969482422,73.5999984741211,71.9000015258789,70.9000015258789,71.3000030517578,71.3000030517578,73.0999984741211,72.8000030517578
Bahrain,83.5999984741211,83.5999984741211,83.5,83.5,83.5,83.3000030517578,82.6999969482422,82.5999984741211,82.5,82.4000015258789,82.4000015258789,82.1999969482422,82.1999969482422,82.0999984741211,82,81.5999984741211,81.1999969482422
Bangladesh,87.3000030517578,85.5999984741211,86.9000015258789,86.1999969482422,85.4000015258789,86,85.4000015258789,85.3000030517578,84.5,84,83.6999969482422,83.4000015258789,82.8000030517578,82.9000015258789,83.4000015258789,83.0999984741211,82.0999984741211
Barbados,66,61.7999992370606,60.7999992370606,64.4000015258789,66.3000030517578,68.4000015258789,69.9000015258789,71.9000015258789,72.6999969482422,73,72.5,71.9000015258789,71.0999984741211,73.0999984741211,73.3000030517578,73.3000030517578,74.1999969482422
Belarus,66.0999984741211,65.3000030517578,64.4000015258789,63.5,62.5,61.7999992370606,61.5999984741211,60.2000007629394,58.7000007629394,58.9000015258789,58.7000007629394,58.7999992370606,59,59.2999992370606,59.2999992370606,59.2000007629394,59.2000007629394
Belgium,58.5,58,56.7000007629394,56.2999992370606,56.5999984741211,56.2999992370606,56.2000007629394,55.9000015258789,56.5999984741211,58.0999984741211,57,56.4000015258789,55.5999984741211,56.0999984741211,56,55.5999984741211,55.9000015258789
Belize,74.0999984741211,74.5999984741211,75.5,74.6999969482422,73.9000015258789,72.6999969482422,74.8000030517578,73.0999984741211,74.3000030517578,75,76.1999969482422,75.5,75.3000030517578,75,75,75.4000015258789,74.5
Benin,87.9000015258789,87.5999984741211,87.9000015258789,88,88.0999984741211,88,87.5999984741211,87.3000030517578,87,86.6999969482422,86.5,86.1999969482422,86,85.8000030517578,85.5999984741211,85.4000015258789,85
Bhutan,81.6999969482422,80.9000015258789,81.3000030517578,80.5999984741211,80.0999984741211,80.1999969482422,80,79.6999969482422,79.0999984741211,79.0999984741211,79,77.9000015258789,78.6999969482422,78.5999984741211,78.9000015258789,78.1999969482422,74.3000030517578
Bolivia,79.6999969482422,77.6999969482422,76.0999984741211,74.4000015258789,72.6999969482422,71.6999969482422,79.1999969482422,79.3000030517578,79.3000030517578,78.8000030517578,78.1999969482422,78.5,78.5,78.5,78.4000015258789,78.1999969482422,79.4000015258789
Bosnia and Herzegovina,58.7000007629394,57,54.7999992370606,54.4000015258789,54.7000007629394,55,54.0999984741211,53.2000007629394,52.2000007629394,51.2999992370606,52,51,51.7000007629394,49.9000015258789,51.0999984741211,47.7000007629394,48
Botswana,64.5999984741211,62,59,55.5,52.7000007629394,50,55.2000007629394,59.4000015258789,59.2000007629394,58.7999992370606,55.5,51.9000015258789,50.2000007629394,47.5,44.5,52.5999984741211,53.5
Brazil,77.9000015258789,80.1999969482422,80.3000030517578,79.9000015258789,79.5999984741211,78,77.5999984741211,76.5999984741211,75.8000030517578,75.5999984741211,75.4000015258789,75.6999969482422,75.0999984741211,76.3000030517578,75.8000030517578,76.5,76.3000030517578
Brunei,78.5999984741211,78.4000015258789,77.9000015258789,77.5999984741211,77.3000030517578,76.9000015258789,76.5,76.1999969482422,75.9000015258789,75.5,75,74.5999984741211,74.0999984741211,73.5999984741211,73.0999984741211,72.5999984741211,71.5999984741211
Bulgaria,49,51.9000015258789,47.0999984741211,47.2000007629394,48.9000015258789,49.2999992370606,48.2999992370606,48.2000007629394,46.0999984741211,43.4000015258789,44.5999984741211,45.5,47.4000015258789,49,50.5999984741211,53.2999992370606,52.7999992370606
Burkina Faso,87,87.0999984741211,87.0999984741211,87.1999969482422,87.4000015258789,87.3000030517578,87.3000030517578,87.4000015258789,87.4000015258789,87.4000015258789,87.4000015258789,87.3000030517578,87.1999969482422,87.1999969482422,87.0999984741211,87,87
Burundi,83.4000015258789,83.5,83.8000030517578,84.1999969482422,84.4000015258789,84.6999969482422,84.9000015258789,84.8000030517578,84.5999984741211,84.5,84.0999984741211,83.6999969482422,83.3000030517578,83.0999984741211,82.9000015258789,82.9000015258789,83.0999984741211
Cambodia,82.0999984741211,82.1999969482422,82.5999984741211,82.8000030517578,81.9000015258789,80.6999969482422,80.6999969482422,81.6999969482422,82,82.5,83.6999969482422,84.0999984741211,84.5,84.9000015258789,84.6999969482422,84,84.9000015258789
Cameroon,70.8000030517578,71.0999984741211,71.1999969482422,71.1999969482422,71.1999969482422,72.0999984741211,72,71.8000030517578,71.6999969482422,71.5,71.0999984741211,70.9000015258789,70.6999969482422,70.5999984741211,70.4000015258789,70.1999969482422,69.3000030517578
Canada,66.8000030517578,64.9000015258789,64.4000015258789,65,65.1999969482422,64.9000015258789,65.3000030517578,65.8000030517578,66.5999984741211,67.1999969482422,66.6999969482422,66.9000015258789,67.4000015258789,67.5999984741211,67.5,67.5,68.3000030517578
Cape Verde,78.6999969482422,78.8000030517578,78.5,78.0999984741211,77.5,76.9000015258789,76.1999969482422,75.4000015258789,74.5,73.5,73,72.4000015258789,71.8000030517578,71.5999984741211,70.6999969482422,70.5,69.8000030517578
Central African Rep.,81,81.1999969482422,81.1999969482422,81,80.8000030517578,80.5999984741211,80.8000030517578,80.5999984741211,80.5,80.4000015258789,80.3000030517578,80.3000030517578,80.4000015258789,80.5,80.4000015258789,80.1999969482422,80.4000015258789
Chad,77,75.8000030517578,74.6999969482422,74.5,74.4000015258789,74.4000015258789,74.3000030517578,74.1999969482422,74.0999984741211,74.1999969482422,74.1999969482422,73.9000015258789,73,72.4000015258789,71.5999984741211,71.5999984741211,71.5999984741211
Chile,73.3000030517578,74.5,75.1999969482422,74.0999984741211,74,73.0999984741211,72.8000030517578,71,69.8000030517578,68.5,68.6999969482422,68,67.8000030517578,68.4000015258789,68.4000015258789,68.5999984741211,67.0999984741211
China,80.9000015258789,81.4000015258789,81.1999969482422,81,80.5999984741211,80.3000030517578,80,79.5999984741211,79.3000030517578,79.0999984741211,78.5999984741211,78.3000030517578,77.8000030517578,77.3000030517578,76.9000015258789,76.5999984741211,76.5999984741211
Colombia,67.8000030517578,68.8000030517578,70.5999984741211,70,70.1999969482422,69,68.1999969482422,67.8000030517578,69.1999969482422,69.0999984741211,69.8000030517578,69.1999969482422,70.0999984741211,70.4000015258789,71.4000015258789,70.6999969482422,72
Comoros,79.1999969482422,79.0999984741211,78.6999969482422,78.5,78.4000015258789,78,77.6999969482422,77.1999969482422,76.9000015258789,76.6999969482422,76.6999969482422,76.6999969482422,76.6999969482422,76.6999969482422,76.9000015258789,77,76.8000030517578
