Male 25-54 labour to population (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,97.3000030517578,97.4000015258789,97.4000015258789,97.4000015258789,97.4000015258789,97.5,97.5,97.5,97.5,97.5,97.5,97.5999984741211,97.5999984741211,97.5999984741211,97.5999984741211,97.5999984741211,97.5999984741211,97.5999984741211,97.6999969482422,97.6999969482422,97.6999969482422,97.6999969482422,97.6999969482422,97.6999969482422,97.6999969482422,97.6999969482422,97.8000030517578,97.8000030517578
Albania,97,96.9000015258789,96.8000030517578,96.6999969482422,96.5999984741211,96.6999969482422,96.5,96.6999969482422,96.8000030517578,96.5,96.9000015258789,85.5999984741211,85.1999969482422,86,86.6999969482422,87.3000030517578,88,87.5,88.3000030517578,88.8000030517578,89.1999969482422,89.4000015258789,89.5999984741211,89.8000030517578,89.9000015258789,90.0999984741211,90.0999984741211,90.3000030517578
Algeria,95.4000015258789,95.4000015258789,95.3000030517578,95.1999969482422,95.0999984741211,95.0999984741211,95.0999984741211,95.0999984741211,95.0999984741211,95.0999984741211,95.1999969482422,95.1999969482422,95.1999969482422,95.1999969482422,95.1999969482422,95.1999969482422,95.1999969482422,95.3000030517578,95.1999969482422,95.0999984741211,95,95.0999984741211,94.9000015258789,94.6999969482422,94.5,94.3000030517578,94.1999969482422,94.0999984741211
Angola,96.5999984741211,96.5999984741211,96.5999984741211,96.5,96.5,96.4000015258789,96.4000015258789,96.4000015258789,96.0999984741211,96.0999984741211,96.0999984741211,96.1999969482422,95.8000030517578,96.5,96,96.6999969482422,96.6999969482422,96.6999969482422,96.5999984741211,96.5,96.5999984741211,96.5999984741211,96.4000015258789,96.5,96.3000030517578,96.0999984741211,95.8000030517578,96
Argentina,96.3000030517578,96.3000030517578,96.1999969482422,96.0999984741211,96.0999984741211,96.0999984741211,96.3000030517578,96.3000030517578,96.1999969482422,96,96,93.5999984741211,93.6999969482422,93.6999969482422,93.8000030517578,93.8000030517578,94,94.0999984741211,94.1999969482422,94.3000030517578,94.4000015258789,94.5,94.5,94.5999984741211,94.6999969482422,94.6999969482422,94.8000030517578,94.8000030517578
Armenia,96.0999984741211,96.0999984741211,96.1999969482422,96.1999969482422,96.3000030517578,96.3000030517578,96.4000015258789,96.5,96.4000015258789,96.5,96.6999969482422,89.8000030517578,87.5999984741211,86.0999984741211,86.0999984741211,87.0999984741211,87.5,87.5999984741211,88.4000015258789,88.5999984741211,89,89.5,90.0999984741211,90.5999984741211,90.9000015258789,91.0999984741211,91.3000030517578,91.9000015258789
Australia,94.5999984741211,94.3000030517578,94.0999984741211,94.0999984741211,94,93.4000015258789,93.5999984741211,93.3000030517578,93.0999984741211,93,93.3000030517578,93.0999984741211,92.5,92.3000030517578,91.5999984741211,91.8000030517578,91.5999984741211,91,90.8000030517578,90.4000015258789,90.4000015258789,90.1999969482422,90.1999969482422,89.9000015258789,89.9000015258789,90.3000030517578,90.4000015258789,89.9000015258789
Austria,96.0999984741211,96.1999969482422,95.9000015258789,95.1999969482422,94.9000015258789,95,95,94.8000030517578,94.3000030517578,94.3000030517578,94.3000030517578,94.3000030517578,94.1999969482422,94.1999969482422,92.5,93,92.6999969482422,93.1999969482422,93.4000015258789,93.1999969482422,93.3000030517578,93.0999984741211,93.5999984741211,93.9000015258789,92.9000015258789,92.8000030517578,93.1999969482422,93.0999984741211
Azerbaijan,96,95.9000015258789,95.9000015258789,95.9000015258789,95.8000030517578,95.8000030517578,95.9000015258789,96,95.9000015258789,96,96.1999969482422,90.8000030517578,90.0999984741211,89.5,88,86.9000015258789,87.0999984741211,87.4000015258789,88.1999969482422,88.6999969482422,89.6999969482422,90.0999984741211,90.5,90.8000030517578,91.1999969482422,91.5999984741211,91.6999969482422,92.6999969482422
Bahamas,93.8000030517578,93.6999969482422,93.5999984741211,93.5,93.4000015258789,93.3000030517578,93.0999984741211,93,92.8000030517578,92.6999969482422,92.5,92.5999984741211,92.9000015258789,92.9000015258789,93.0999984741211,93.1999969482422,93.0999984741211,93,93,92.9000015258789,92.8000030517578,92.9000015258789,93,92.9000015258789,92.9000015258789,92.8000030517578,92.6999969482422,92.6999969482422
Bahrain,98.3000030517578,98.4000015258789,98.5,98.5999984741211,98.5999984741211,98.6999969482422,98.6999969482422,98.6999969482422,98.6999969482422,98.6999969482422,98.6999969482422,98.8000030517578,98.6999969482422,98.6999969482422,98.6999969482422,98.6999969482422,98.5999984741211,98.5999984741211,98.5,98.4000015258789,98.3000030517578,98.1999969482422,98.0999984741211,98,97.9000015258789,97.8000030517578,97.6999969482422,97.5
Bangladesh,97.5999984741211,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.4000015258789,97.4000015258789,97.4000015258789,97.4000015258789,97.5999984741211,97.8000030517578,98,98.0999984741211,98.1999969482422,98.0999984741211,98,97.9000015258789,97.6999969482422,97.5999984741211,97.5999984741211,97.5,97.5,97.4000015258789,97.3000030517578,97.1999969482422
Barbados,94.9000015258789,94.9000015258789,95,95,94.8000030517578,94.5999984741211,94.4000015258789,95.3000030517578,95.6999969482422,94.5,95.3000030517578,94.6999969482422,94.1999969482422,94.6999969482422,95.0999984741211,95.9000015258789,93.5999984741211,95.0999984741211,95,95,94.9000015258789,94.6999969482422,94.5999984741211,94.5,94.9000015258789,94.9000015258789,94.6999969482422,95.0999984741211
Belarus,96.6999969482422,96.6999969482422,96.6999969482422,96.6999969482422,96.5999984741211,96.5999984741211,96.6999969482422,96.6999969482422,96.6999969482422,96.8000030517578,96.4000015258789,95.9000015258789,95.5,94.9000015258789,94.1999969482422,93.4000015258789,92.5,91.5,90.1999969482422,88.9000015258789,88.9000015258789,89,89,89,89,89,88.9000015258789,88.5999984741211
Belgium,94.6999969482422,94.8000030517578,94.4000015258789,94.5,94.1999969482422,94.0999984741211,93.5999984741211,92.8000030517578,92.6999969482422,92.4000015258789,92.1999969482422,92.6999969482422,92.0999984741211,91.5999984741211,92.0999984741211,92.1999969482422,92.3000030517578,92,91.6999969482422,91.8000030517578,92.0999984741211,90.9000015258789,91.0999984741211,90.3000030517578,91.0999984741211,91.8000030517578,91.9000015258789,91.5
Belize,93.6999969482422,93.8000030517578,93.8000030517578,93.9000015258789,93.9000015258789,93.9000015258789,93.9000015258789,93.8000030517578,93.6999969482422,93.5,93.4000015258789,93.1999969482422,94.0999984741211,94.9000015258789,95.5,96.0999984741211,96.5999984741211,96.5,96.5,96.4000015258789,96.4000015258789,96.3000030517578,96.1999969482422,96.0999984741211,96,95.8000030517578,95.6999969482422,96.1999969482422
Benin,96.6999969482422,96.5,96.5999984741211,96.6999969482422,96.5999984741211,96.5999984741211,96.5999984741211,96.6999969482422,96.8000030517578,96.8000030517578,96.9000015258789,96.9000015258789,96.9000015258789,97,96.9000015258789,96.9000015258789,96.9000015258789,96.8000030517578,96.8000030517578,96.8000030517578,96.6999969482422,96.6999969482422,96.6999969482422,96.5999984741211,96.5999984741211,96.5999984741211,96.5999984741211,96.5
Bhutan,96,96,96.0999984741211,96.0999984741211,96.1999969482422,96.3000030517578,96.3000030517578,96.4000015258789,96.5,96.5999984741211,96.5999984741211,96.6999969482422,96.8000030517578,96.8000030517578,96.9000015258789,96.9000015258789,97,97,97,97,97,96.9000015258789,96.9000015258789,96.8000030517578,96.6999969482422,96.5,96.3000030517578,96.4000015258789
Bolivia,95.5,95.1999969482422,95.0999984741211,94.8000030517578,94.5,94.0999984741211,95.3000030517578,97.0999984741211,97.0999984741211,97.0999984741211,97.0999984741211,96.8000030517578,96.5,96.1999969482422,95.9000015258789,95.4000015258789,95.4000015258789,96.3000030517578,96.3000030517578,96.3000030517578,96.1999969482422,96.1999969482422,96.1999969482422,96.3000030517578,96.4000015258789,96.4000015258789,96.5,96.8000030517578
Bosnia and Herzegovina,95.8000030517578,95.9000015258789,95.9000015258789,96,96.0999984741211,96.1999969482422,96.3000030517578,96.4000015258789,96.4000015258789,96.5,96.5,86.4000015258789,85.8000030517578,85.6999969482422,86,88.0999984741211,91.0999984741211,91.5999984741211,91.5,91.5999984741211,91.5999984741211,91.5999984741211,91.5999984741211,91.5999984741211,91.5999984741211,91.5999984741211,91.5999984741211,91.4000015258789
