Male 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5.59999990463257,6.09999990463257,6.09999990463257,5.5,5.80000019073486,8.60000038146973,10.1999998092651,11.3999996185303,9.69999980926514,7.80000019073486,7.5,6.80000019073486,6.09999990463257,5.5,4.40000009536743,4.90000009536743,4.40000009536743,3.70000004768372,3.59999990463257,3.20000004768372
Canada,4.30000019073486,6.69999980926514,7.69999980926514,7.59999990463257,7.90000009536743,6.90000009536743,6.19999980926514,5.80000019073486,5.90000009536743,5.59999990463257,7.59999990463257,8.89999961853027,9.5,8.80000019073486,7.69999980926514,7.30000019073486,6.90000009536743,6.30000019073486,5.80000019073486,5,5.5,6,6.30000019073486,5.59999990463257,5.09999990463257
Czech Rep.,,,,,,,,,,,,,3.09999990463257,3.5,2.5,3.5,3.09999990463257,3.40000009536743,4.69999980926514,5,4.40000009536743,3.5,4.09999990463257,5,4.5
Estonia,,,,,,,,,,,,,,,,,,,,10,8.30000019073486,8,7.69999980926514,6,6
Finland,4.19999980926514,4.09999990463257,4.40000009536743,5.80000019073486,5.19999980926514,5.19999980926514,3.90000009536743,4.09999990463257,1.60000002384186,2.29999995231628,4.90000009536743,11.1000003814697,14.6999998092651,18.6000003814697,19.7999992370605,19,13.6999998092651,12.1000003814697,10.1000003814697,8.5,8.80000019073486,8.10000038146973,7.30000019073486,7,6.59999990463257
France,4.40000009536743,4.90000009536743,5.09999990463257,5.80000019073486,6.69999980926514,6.90000009536743,7.19999980926514,7,6.30000019073486,5.69999980926514,6.09999990463257,7.30000019073486,7.80000019073486,8,7.80000019073486,8.5,8.69999980926514,8.39999961853027,8,6.59999990463257,5.59999990463257,6.30000019073486,7,6.80000019073486,6.69999980926514
Germany,,,,,,,,,,,6.09999990463257,7.5,9.19999980926514,9.89999961853027,10,12,13.1999998092651,12.6999998092651,12.6999998092651,11.1000003814697,11.1999998092651,10.3999996185303,11.6999998092651,12.3000001907349,11.3000001907349
"Hong Kong, China",,,,,3,2.29999995231628,1.20000004768372,0.69999998807907,0.60000002384186,0.80000001192093,1.10000002384186,1.39999997615814,1.60000002384186,1.60000002384186,2.59999990463257,2,1.5,3.59999990463257,5.69999980926514,5.19999980926514,4.80000019073486,8,8.89999961853027,9,6.5
Ireland,,,5.90000009536743,7.30000019073486,8.10000038146973,6.90000009536743,9,8.39999961853027,7.90000009536743,7,6.90000009536743,6.80000019073486,7,7.40000009536743,6.09999990463257,6,5.30000019073486,4.40000009536743,3.40000009536743,2.09999990463257,2.20000004768372,2.09999990463257,2.09999990463257,2.5,2.5
Japan,3.70000004768372,3.79999995231628,4.30000019073486,4.30000019073486,4.19999980926514,4.40000009536743,4.30000019073486,3.59999990463257,3.29999995231628,2.90000009536743,2.59999990463257,2.59999990463257,3.20000004768372,3.70000004768372,3.79999995231628,4.19999980926514,4.09999990463257,5.09999990463257,5.5,5.59999990463257,5.80000019073486,5.80000019073486,5.69999980926514,4.59999990463257,4.30000019073486
