Physicians per 1000 people,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.034844249486923,,,,,0.063427798449993,,,,,0.064900003373623,,,,,,,,,,,0.076999999582768,,,,,0.183100000023842,0.179000005125999,,0.129199996590614,0.1092000008,,,0.1428000033,,,,0.11,,,,0.186,,,,0.2,,,,0.21,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.276291221380234,,,,,0.48128342628479,,,,,0.739499986171722,0.910899996757507,0.845499992370606,,,,,1.03649997711182,,,1.36679995059967,,,1.41480004787445,1.40659999847412,1.40629994869232,,,,1.40330004692078,1.3740999699,1.4702999592,1.6500999928,1.4254000187,1.3153990507,1.306,1.354,1.295,1.289,1.282,1.389,,1.305,,,,1.15,1.146,,,,
Algeria,0.173148155212402,,,,,0.116413652896881,,,,,0.123499996960163,,,,,,,,,0.380100011825562,,,,,0.427100002765656,,,,0.428799986839294,,0.9416000247,,,0.82099998,,0.846,,,1,,,,1.13,,,,,1.207,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,0.772300004959106,,,,,,,,,,,,,,,0.781,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.231,,2.435,2.47,2.594,2.549,2.594,,3.697,,,3.64,3.716,,,,
Angola,0.067068107426166,,,,,0.076061777770519,,,,,0.116300001740456,,,,,,,,,,,,,,0.059399999678135,,,,,,0.0421000011,,,,,,,0.077,,,,,,,0.08,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.293577969074249,,,,,,,,,,0.349299997091293,,,,,,,,,,,,,,,,,,,,0.7599999905,0.9185000062,,3.030299902,,0.76,1.141,,,0.17,,,,,,,,,,,,
Argentina,1.35069847106934,,,,,1.66665172576904,,,,,1.89219999313354,,,,,1.86930000782013,,,,,,,,,2.68330001831055,2.70499992370605,2.98440003395081,,3.03200006484985,,2.6800000668,,2.6840000153,,,2.68,,,3.01,,,,,,3.155,3.21,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,3.21050000190735,3.27789998054504,3.40580010414124,3.45350003242493,3.50090003013611,3.57719993591309,3.67389988899231,3.73550009727478,3.76270008087158,3.88120007514954,3.9244000912,3.701499939,3.5969998837,3.3454999924,3.1221001148,3.042,3.591,3.156,3.156,3.051,2.987,3.526,,3.588,,,3.7,3.697,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,
Australia,,1.1,,,,,1.2,,,,,1.2,,,,,1.5,,,,,1.8,,,1.8,1.9,2,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.47,2.5,,,,0.963,,,2.991,,
Austria,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.1,3.2,3.3,3.3,3.4,,,3.66,3.794,,4.749,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,3.36209988594055,,,,,3.79949998855591,3.87719988822937,3.90619993209839,3.96350002288818,3.9899001121521,3.9172000885,3.9163999557,3.8812999725,3.9277000427,3.8961000443,3.925,3.899,3.831,3.602,3.521,3.607,3.536,,3.547,,,3.63,3.794,,,,
Bahamas,0.495575219392776,,,,,,,,,,0.760200023651123,,,,,,,,,,0.938099980354309,,,,0.943199992179871,,,,,,1.2900999784,,,1.4457000494,,1.49,1.518,,1.05,,,,,,,,,,,,,
Bahrain,0.449664443731308,,,,,,,,,,0.428600013256073,,,,,,,,,,1.0867999792099,,,,,1.21879994869232,,,,,,1.3150000572,,0.1098999977,,,,1,,,,1.596,,,1.087,2.72,,2.965,1.442,,,
