Net barter terms of trade (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.79,102.56,110.87,114.85,121.34,125.82,130.19,117.25,107.64
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,168.3544303797,194.4444444444,165.7142857143,168.253968254,139.7260273973,136.1111111111,67.0454545455,63.1067961165,57.4074074074,59.0909090909,73.9495798319,81.1881188119,70.5882352941,58.5585585586,57.4074074074,57.89,67.54,70.75,50.93,59.43,100,97.22,85.62,106.92,122.21,164.12,191.44,182.66,237.08,160.99
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,109.73,107.08,127.11,131.9,120.59,180.22,187.96,177.22,164.19
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,118.8679245283,85.2941176471,84.9315068493,106.6666666667,121.3114754098,94.2528735632,63.5761589404,66.6666666667,61.7021276596,68.5714285714,80.77,86.54,68.32,44.33,60,100,91.41,92.47,101.91,125.71,172.53,198.45,203.79,251.87,170.76
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.57,99.64,94.19,90.45,89.42,91.61,92.56,97.05,101.78
Argentina,,,,,,,,,,,,,,,,,,,,,106.25,86.8131868132,79.0697674419,83.908045977,83.7209302326,94.1176470588,91.3043478261,82.1782178218,75,69.0909090909,63.5593220339,92.0792079208,93.2692307692,96.0784313725,97.247706422,91.6,100,100,95.19,91,100,99.32,98.73,107.22,109.21,106.89,113.35,117.55,133.21,125.95
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93.2,89.25,97.27,105.54,119.73,123.59,123.85,136.07,104.01
Australia,,,,,,,,,,,,,,,,,,,,,120.5596,120.3923,117.8385,116.7016,114.2385,108.1589,100.1925,98.29712,112.5068,119.8666,116.3521,105.185,102.7179,96.26987,95.88813,99.41489,100.7098,102.6236,99.29701,94.2857,100,104.0751,105.8495,105.9237,116.1755,131.0849,145.5161,152.3911,174.6305,162.9642
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
