"Nuclear production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Algeria,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,0,0,0,0.003472340799318,0.008298833399988,0.008347660262743,0.005232749827272,0.00912028600768,0.008352769163948,0.007152376283245,0.008477562419123,0.005544316573588,0.009942188553555,0.013346408035994,0.016333360953313,0.015937745111622,0.017777214999394,0.0157123206061,0.013461139017028,0.019179119944645,0.020151823371157,0.018153130242247,0.019609774740998,0.020571624169964,0.017431182011649,0.018175432925329,0.019166292781894,0.017734855331438,0.016721095044056,0.014381700531352,0.016271590232191,0.013291324005804,0.017119407447879,0.017647326035018,0.015278016771349,0.016946225570935,0.015762783494262,0.015870016184615,0.017515637214973,0.015257578839158,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.008109802026423,0.062993813713396,0.044077944784652,0.043944988183656,0.057812221204876,0.056044693044801,0.055727930555247,0.064100746895583,0.056132672884134,0.061794290184902,0.076170080792635,0.073944845456242,0.071407144430468,0.068724238898121,0.069512758377944,0.06924206866363,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium,0,0,0.00003709565241,0.000433149717565,0.000467260433134,,0.000054420756259,0.000849051435671,0.000548910018641,0.000197253192963,0.000509211911303,,0.000097543,0.000671549,0.001303614,0.059597288,0.087979732,0.104488767,0.109380954,0.099637913,0.109575224,0.11229322,0.136851142,0.210713472,0.242542038,0.302348911,0.343798875,0.365546657,0.37451844,0.35718279,0.369225426,0.369412848,0.373487431,0.359354356,0.347305511,0.352779834,0.368999251,0.403064991,0.391905567,0.415308364,0.406926617,0.390284361,0.397134491,0.395401145,0.392787727,0.392966318,0.382887899,0.393478585,0.369560556,0.380863404,0.384840978,0.385657046
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brazil,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001059172594534,0.002133729000265,0.000089045819107,0.000590042731251,0.000361863732479,0.001069774233527,0.001285313148664,0.000814934075333,0.000978423592535,0.000242092934642,0.00002966870474,0.001338260566083,0.001269813994103,0.001632925698464,0.001657162746264,0.001988879048793,0.002980428656197,0.006941388969911,0.006635545725797,0.006323634987853,0.005429640279392,0.004556112204784,0.006291989726851,0.005594940195182,0.006270739795403,0.005765179878198,0.006405621081592,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bulgaria,,,,,,,,,,,,0,0,0,0.009191280988383,0.025181960175608,0.048998652541671,0.057595953185385,0.057678919826065,0.060141191185678,0.059819717820372,0.08821481265006,0.103645778951289,0.118499585332837,0.122289930450618,0.126005605397789,0.115872441453609,0.119565496121983,0.154563741266303,0.141095323583993,0.142983918844349,0.129659789543229,0.1148145416591,0.140513705567615,0.156044636948667,0.177605076859675,0.187933044089344,0.1861807482955,0.178720995546885,0.168557373556947,0.195228055104842,0.21153824001913,0.220303129484568,0.18951407915728,0.185620277185133,0.207241952539195,0.217971512222548,0.164793812893308,0.178565209290252,0.173914434008639,0.17495595177291,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cameroon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
