Female 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,11.648016276704,11.8727915194346,12.2841105354059,11.724407907614,11.8679775280899,12.0555208983157,12.2540250447227,12.3605005072709,12.388503468781,12.5258323765786,12.6604021420633,12.9179717260645,13.0859096737427,12.8852558280351,12.4273369992145,12.3928472670292,12.3562865676527,12.1765936364637,11.7735071153079,11.2032816773017,10.6129303106633
Albania,11.9601328903654,10.9649122807018,10.3879849812265,11.3268608414239,12.6773888363292,12.6262626262626,11.1455108359133,10.6071179344034,10.1684341859014,10.032154340836,10.3046014257939,9.67536600891152,8.58742999377722,6.34824667472793,6.23896409652737,6.52801848642403,6.64375715922108,6.25,5.53952683208309,5.06697728596389,5.08274231678487
Algeria,11.7070895522388,11.5312304157092,11.668219944082,11.8678354686446,12.4110446911472,12.7279448003943,12.7614169867691,12.5045504186385,12.722200079713,13.137226902756,12.2072250893212,10.7792527040315,8.3228822255159,8.10667514977997,8.29275563947133,8.25882352941176,7.84172337644779,7.07945348533635,6.33184083805018,5.90705141398757,5.80259866031797
Angola,11.1216280170374,11.0004330879168,10.806577916993,11.7248752672844,12.0038722168441,12.2872800692241,12.249498997996,12.0962634578847,12.3637035668084,12.5137556987895,12.8003314001657,12.9139465875371,12.5233644859813,12.7375215928721,12.0695204377213,12.0517427236795,11.8024499319463,11.3557221271321,10.7692307692308,10.1887548190057,9.69996272828923
Argentina,9.34534534534534,9.1583360206385,9.32759126945287,9.40901322299182,9.21950407721751,8.82083396975714,8.46839261909774,8.82659713168188,9.80937972768532,8.96660828295384,8.739102700404,8.54233166134671,8.08032050972631,7.52122554448136,7.39230632866513,7.1651623390512,6.8407289029098,6.4820438074416,6.1319073083779,5.81372739646121,5.72206040165568
Armenia,13.7640449438202,7.23926380368098,8.47983453981386,10.6796116504854,12.6651126651127,12.232204561161,9.44584382871536,8.73900293255132,8.60745614035088,9.38053097345133,9.87730061349693,8.01223241590214,5.39721043056398,5.67502986857826,6.09828300769686,6.34262003556609,5.941770647653,5.27894421115777,4.99087035909921,5.00308832612724,5.18659076533839
Aruba,11.1111111111111,14.2857142857143,12.5,11.5384615384615,13.7931034482759,10.3448275862069,9.67741935483871,6.06060606060606,6.06060606060606,7.69230769230769,6.52173913043478,7.69230769230769,7.14285714285714,5.26315789473684,5.35714285714286,5.26315789473684,5.08474576271186,5.35714285714286,5.26315789473684,5.17241379310345,5.35714285714286
Australia,7.06921944035346,7.96304443466784,9.40389533739917,9.25310477523176,9.32847640164713,9.06277630415561,8.45568243610658,8.32491157150076,7.04619692020532,6.92873613703744,6.74878376979609,6.64523043944266,6.17603550295858,5.8611282231805,5.8848255569567,5.79278117950371,5.70631105597767,5.63179602549681,5.5191495558468,5.41843971631206,5.38743854303719
Austria,6.64514393327953,7.31576116191501,6.54081361340069,6.15464184122058,7.11572550012661,7.95596697523142,7.58412857860372,6.16973054646185,5.37903427570678,5.72193815437059,5.56631171345595,5.62514771921532,4.96156533892383,4.69581309275966,4.48275862068966,4.43732845379689,4.51539338654504,4.55892409391384,4.52571428571429,4.45464982778416,4.45933456561922
Azerbaijan,13.5770234986945,7.13877784123358,7.4384236453202,9.63244613434728,12.9226145755071,13.6535162950257,11.6102499209111,9.72830850131464,9.39706681151548,10.0025131942699,10.9937590014402,10.0069172238875,7.23366944322666,6.38031693077565,7.23012217103946,7.40019474196689,6.86030957385821,6.01319509896324,5.46947918611163,5.43053747442812,5.62196488606649
