Male 15-19 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,10.279488394126,10.4098181021258,10.5273711650291,10.8265213442325,10.25390625,10.3064469499855,10.3634102528672,10.461104140527,10.4964756359179,10.4842150170648,10.591109858096,10.7688671813455,11.0425785913251,11.207625923628,11.0839962906926,10.7640082502578,10.8520624260694,10.9543540047255,10.9190229367764,10.6616707825939,10.2407746663177
Albania,10.0164203612479,10.6474820143885,9.64153275648949,8.97571277719113,9.90740740740741,11.2757201646091,11.7561683599419,10.6090373280943,9.95850622406639,8.56055802155992,9.37090432503276,10.3828682673589,10.1023017902813,8.97755610972569,6.70731707317073,6.66266506602641,7.07010185739964,7.27163461538462,6.91747572815534,6.12745098039216,5.65217391304348
Algeria,9.87903225806452,9.88431093971991,9.69641214351426,9.91818333611621,10.5772091639393,10.5935957473738,11.0710880389872,11.1121108511787,11.065734705097,11.5443961284893,12.337577962578,11.5050651230101,10.1448464850959,7.8487464891293,7.72082134321806,8.00277392510402,8.07897071872227,7.7633614023028,7.08546078513434,6.39508700102354,6.02948284195264
Angola,10.1377952755906,9.94152046783626,9.76800976800977,9.48499444238607,10.1206434316354,10.3705917513449,10.5304010349288,10.4724580883954,10.3389185072353,10.5697636775656,10.7985223074737,11.03515625,11.2760277629471,10.9521137298915,11.2086092715232,10.7216799763384,10.8612982854093,10.7748404740201,10.486661457752,10.0583165608711,9.61741805248486
Argentina,9.01676483914816,8.35487540068245,8.36040512134531,8.79052369077307,8.96045386283998,8.85448916408669,8.48140421552406,8.29861577744927,8.72558838257386,9.76981198383412,9.01368049426302,8.86022637536194,8.70851298505966,8.27384659608106,7.74609015639374,7.6642822233083,7.48510748510748,7.20131623354708,6.86331292404435,6.53067871829323,6.23365125357157
Armenia,11.8380062305296,12.8686327077748,6.11790878754171,7.47663551401869,10.7317073170732,12.545322697607,12.1935056328694,9.44206008583691,8.37209302325582,8.31151832460733,10.1659751037344,11.1888111888112,9.43789035392089,6.83060109289618,7.34006734006734,7.97052913596785,8.19341840161182,7.55735492577598,6.64857530529172,6.1770761839396,6.13668061366806
Aruba,12.5,10.5263157894737,8.69565217391304,11.1111111111111,11.1111111111111,13.3333333333333,12.9032258064516,10,6.25,7.5,6.81818181818182,6.12244897959184,8,7.69230769230769,5.66037735849057,5.88235294117647,5.66037735849057,5.88235294117647,5.66037735849057,5.66037735849057,6
Australia,6.87741312741313,6.76255903821382,7.60053877236867,9.11126420943851,8.98315658140986,9.16800701856997,9.08967020986645,8.49714648065948,8.3930038736941,7.2237017310253,7.12933753943218,7.06671930517173,6.95652173913044,6.49292893355866,6.18049070379489,6.21643612693246,6.14468218512423,6.08543895591471,6.02933588855311,5.92119428694466,5.82510677028636
Austria,7.23827275551414,7.74473358116481,8.5417937766931,7.55660099970597,7.1651976116008,8.29377268919296,9.30493273542601,8.8374686367438,7.13507625272331,6.14058008884244,6.4291247095275,6.29842539365159,6.30652652163285,5.52606177606178,5.22673031026253,4.98700070905223,4.91649023759116,5.03292568203198,5.0967437470505,5.07710557532622,5.01073729420186
Azerbaijan,12.8393250183419,12.8172588832487,6.0654857756307,6.65158371040724,9.62992439315559,12.6486486486486,13.6757838559039,11.28883420486,10.3995466137716,9.12197686645636,10.3108415466262,11.5375273257226,10.2698993595608,7.66573094364068,7.28887053479248,8.29493087557604,8.50687622789784,7.82642386671833,6.80859225163023,6.14855833492458,6.0849598163031
