Total 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,28.2979506687937,28.4334885834375,28.4897025171625,28.4866189219751,28.5581552495988,28.0483229534029,27.5973327597333,27.2106076628976,26.790682884172,26.7418712674187,26.7078930710425,26.9618445215262,27.5278197554609,28.2581398744342,29.0597210994341,29.720474104383,30.1644652411696,30.7613278067099,31.5097519865158,32.3280353395266,33.0646361091199
Albania,26.6062602965404,26.8840579710145,27.56052141527,27.6083467094703,26.9410664172123,27.4885464389838,29.3677515899738,31.2711291413117,33.1306990881459,31.8225343121609,28.6179921773142,28.4014152460598,29.6623540549069,31.4820497084995,32.2252171308775,29.8498675301737,26.9242025168276,24.7652582159624,23.6546422235364,24.1492537313433,23.8570996064184
Algeria,27.8615490061686,27.7022853613342,26.9006389480507,25.8408118762057,23.2761128891475,23.7420402047696,24.6677299308878,26.7049825768204,28.7635471877225,30.5101535413571,33.3202202989772,35.8395227079021,36.8898049069708,36.3543280212135,33.4547512982698,30.3747580513514,28.4548483019205,27.6337693222354,28.1374816060542,27.9254500297625,26.7612731560806
Angola,28.9435600578871,28.4263959390863,27.6701936514274,26.7707954958227,25.8753904323525,25.8514386376982,25.9867583396995,26.2537505357908,26.5497514770702,26.4337560819973,26.7964700938507,27.1753520279215,28.0907750631845,29.1378515444906,29.8306468067741,30.7664273479354,31.24773960217,31.8371013624794,32.5123694337548,32.7446446268391,32.8490985662234
Argentina,32.7036324412571,31.7032040472175,30.4776638947979,29.3583318417756,28.7368771871355,28.7175149930801,28.4932869219294,28.3578139473336,28.0096011816839,28.0599332796503,29.261755867782,29.9992254266608,30.6595190085083,30.8529391026394,29.9160346695558,29.1349737375499,28.4701500433835,27.7881079294244,27.1454298953844,26.5922743366352,25.7861882140474
Armenia,26.7751479289941,28.5348688419706,32.5481798715203,29.750566893424,26.8467037331215,28.0155642023346,29.5997417688832,33.3732774116237,33.803611738149,30.633147113594,28.3067923301918,27.8013721006207,30.540278227111,32.1337579617834,30.5415617128463,28.0867106503299,25.3312302839117,24.3886948237536,25.3606925296569,25.1705099058136,24.0304938680809
Aruba,32.4324324324324,30.2325581395349,28,26.9230769230769,27.5862068965517,32.2033898305085,33.3333333333333,38.4615384615385,34.9206349206349,35,31.4606741573034,29.2929292929293,25.9259259259259,25.4545454545455,25.8928571428571,26.5486725663717,25.6637168141593,24.1071428571429,22.7272727272727,22.7272727272727,23.5849056603774
Australia,31.2081761771505,29.0326086956522,27.5080276345237,26.3906968671353,27.6734501453603,29.3746330005872,31.3669456351636,32.5169293082716,32.10858881348,31.4290445437986,29.5722483046427,28.4313244740842,27.6137789967923,26.7893479607184,26.3357972544879,25.5394081690483,24.9551726826226,24.4531603560115,24.2702801684673,24.2669615466933,24.1035995265613
Austria,26.8166089965398,25.2953039469893,26.4309047010368,26.1724659606657,26.0176754151044,26.9068355766693,28.306387490061,29.8677248677249,31.5912941483123,32.0226843100189,30.0649512865351,28.097667638484,26.3057476746959,25.6555634301914,25.0614826092048,23.8488372093023,22.6609541454377,21.5765713624262,21.2817833507489,21.3160658032902,21.5384615384615
Azerbaijan,26.8048359240069,28.7518796992481,31.6735112936345,28.0935723655444,24.6326372776489,24.4682721040605,26.7121064589419,31.9238266606688,32.9635279434198,33.6502633945779,32.5409533193743,31.3180312352106,32.512315270936,33.3757691491619,32.2521606507372,29.9733438641524,27.9542812863231,26.9513709754466,27.424084760193,27.4663148968246,26.0659922473291
