Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,4.6795523906409,4.59363957597173,4.46891191709845,4.38441965159522,4.30126404494382,4.25764192139738,4.21884317233154,4.17653026716266,4.09646514701024,4.05281285878301,3.97090027280994,3.91941081858969,3.97492520302037,3.96003633060854,3.99581042157633,4.10636925062218,4.32470029867845,4.63503247825608,5.0305891740923,5.55454269219082,6.21886369997201
Albania,10.2990033222591,8.7719298245614,8.01001251564456,7.33549083063646,7.00094607379376,7.32323232323232,8.59133126934985,8.30425680390788,8.92077354959451,10.2250803858521,11.7303953337654,13.1763208147677,14.6235220908525,16.3240628778718,18.9523248969982,21.4904679376083,23.7113402061856,25.401376146789,27.0628967109059,29.6447291788002,32.565011820331
Algeria,7.08955223880597,6.76833089617715,6.11369990680336,5.17532029669589,6.66097352690008,6.50566781665845,6.27400768245839,5.91554423006917,5.93064966121961,6.29730115664715,6.82149000926293,7.05506391347099,7.5761030669251,8.60505805630666,9.81814568220212,11.7176470588235,14.0114471134346,16.5912453224262,19.5235279209259,22.8378545259951,25.6557178597369
Angola,5.44249881684808,5.11043741879602,4.97259201252937,4.98930862437634,4.96934494998387,4.90337467551197,4.83466933867735,4.7287312645134,4.58325632969876,4.43326520987266,4.32201049433858,4.24925816023739,4.26791277258567,4.50040912810255,4.77148374637914,5.13833992094862,5.54151273575734,5.96706604497432,6.54387865655471,7.29985480398538,8.29295564666418
Argentina,7.14714714714715,8.08341395248844,9.15141430948419,10.2995412431411,11.5659843567981,12.647013899496,13.351575106995,14.1590612777053,14.9228441754917,15.4246002599017,15.7559004890495,16.1929371231697,16.8171067239465,17.6448874123293,18.5428115582344,19.480686144501,20.493130214603,21.9158670391514,24.040404040404,25.7631732451876,27.4566917062701
Armenia,13.061797752809,10.6748466257669,9.20372285418821,9.17917034421889,9.63480963480963,9.81340704906704,9.25692695214106,9.73607038123167,11.5131578947368,13.8643067846608,16.6257668711656,16.1467889908257,16.4342025469982,18.5782556750299,22.1432800473653,25.3704801422644,26.5597147950089,27.2945410917816,28.7888009738284,31.6244595429277,34.7881087919039
Aruba,0,0,0,3.84615384615385,6.89655172413793,6.89655172413793,9.67741935483871,12.1212121212121,12.1212121212121,10.2564102564103,10.8695652173913,11.5384615384615,16.0714285714286,19.2982456140351,23.2142857142857,28.0701754385965,33.8983050847458,32.1428571428571,33.3333333333333,34.4827586206896,32.1428571428571
Australia,13.3284241531664,13.7263528376595,13.7517214243557,13.7134860941053,13.7789040228065,14.3825523135868,15.320826536161,16.5740272865083,17.1721885207653,17.5798836060174,18.0209088086119,18.7566988210075,20.6453402366864,22.5644636099622,24.6069777217318,26.603287141476,28.1128857187161,29.5163104611924,30.1660113586719,30.8085106382979,31.3551693096046
Austria,16.6532149582997,18.4238838084992,20.3137463440574,21.929144039307,23.0691314256774,23.742807105329,22.8528377699648,24.0241752707127,24.218163622717,23.4234234234234,23.8625363020329,24.7931930985583,25.6231073841137,26.76382142031,28.8045977011494,31.7246111619396,34.4355758266819,35.9927057214497,36.6857142857143,37.5430539609644,38.0545286506469
Azerbaijan,11.5535248041775,10.6225014277556,9.70443349753694,9.63244613434728,9.84222389181067,9.81132075471698,9.11104080987029,9.14402570844289,8.74524714828897,9.22342297059563,10.0336053768603,10.053032049804,9.84217448487506,11.2593828190158,14.1197676747446,17.7020447906524,20.4471622396331,22.2431668237512,23.707298861303,25.7020643481495,28.4460216660441
Bahamas,7.14285714285714,6.38297872340426,5.35714285714286,5.55555555555556,5.88235294117647,6.31578947368421,5.66037735849057,6.72268907563025,6.97674418604651,7.69230769230769,8.38709677419355,9.6969696969697,11.2994350282486,12.7659574468085,15.5778894472362,18.6602870813397,20.9302325581395,22.8699551569507,24.7826086956522,26.6949152542373,28.0334728033473
Bahrain,5.55555555555556,4.83870967741935,4.10958904109589,3.09278350515464,3.92156862745098,4.0650406504065,3.44827586206897,4.16666666666667,3.43137254901961,4.54545454545455,5.39568345323741,4.51612903225806,4.04624277456647,4.48548812664908,6.2953995157385,8.29596412556054,11.9246861924686,15.3543307086614,18.5393258426966,21.25,23.5395189003436
Bangladesh,4.98241790896934,5.13806052573448,5.13434006667974,5.05343986717858,4.94663320533366,4.79890790717211,4.6455436516982,4.68299281835001,4.80399421333051,4.99865115762413,5.29134039613082,5.81710493264057,6.43859713867464,7.43560461870321,8.61517367458867,10.0661840744571,11.8677659743143,14.1402920756524,16.918648520247,19.8817031825307,22.5843210795969
Barbados,11.4035087719298,11.6666666666667,12.3076923076923,12.6984126984127,14.1732283464567,15.625,15.3846153846154,15.2671755725191,14.9253731343284,15.0375939849624,14.7286821705426,15.9090909090909,18.0451127819549,20.4545454545455,25.3731343283582,29.1044776119403,31.578947368421,33.587786259542,35.6589147286822,38.5826771653543,38.5245901639344
Belarus,14.1337034466805,13.8194444444444,13.5574354407836,14.6367521367521,15.8583998363004,17.526796347757,17.3719806763285,18.5872212853663,20.4916529077234,21.7143906020558,23.1013842124953,22.2137404580153,22.4517637887351,23.8133226964499,26.4621676891616,29.0132547864507,30.6038227628149,32.6429536244935,34.7225474127839,37.5397407679139,40.3486285567803
Belgium,17.169638774577,18.2241953385128,19.5111492281304,20.573566084788,21.3471713471713,21.7156568686263,21.1102268205332,22.4647747568962,23.4946871310508,24.2823894491854,24.7791010372647,24.5676691729323,25.7100971229613,27.2432432432432,29.1821891076814,31.2072892938497,32.7613104524181,33.837689133425,34.4267896805057,34.7345132743363,34.8616063847852
