Male above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,4.38180956892468,4.22967346044269,4.09063565269701,3.92370572207084,3.857421875,3.78722174038739,3.7308276910322,3.70138017565872,3.69292062519154,3.64761092150171,3.61808100742412,3.57649283125886,3.64106645443693,3.61554515201083,3.65073942115281,3.75128910278446,3.93787919258214,4.20847173235626,4.58425152860114,5.0725254761702,5.69746139753991
Albania,9.688013136289,8.05755395683453,7.04573547589617,6.44139387539599,6.2037037037037,6.33744855967078,6.67634252539913,6.74525212835625,6.75755779490219,8.56055802155992,10.4193971166448,11.6158338741077,12.7237851662404,14.0274314214464,16.1585365853659,18.0672268907563,19.29298981426,19.8317307692308,20.3276699029126,22.1813725490196,25.3416149068323
Algeria,6.56362007168459,6.10919423584331,5.61177552897884,4.97578894640174,5.84647426361202,5.65751170737881,5.54084119080411,5.05668526183192,4.9870415455902,5.37242249964932,5.71725571725572,5.86710082006754,6.21889156087467,7.33381878705919,8.60361898258791,10.4299583911234,12.5377107364685,14.8049493040041,17.4060433581652,20.4216990788127,22.9660061221202
Angola,4.47834645669291,4.27350427350427,4.15140415140415,4.11263430900334,4.08847184986595,4.09444112372983,4.0620957309185,3.94077944698454,3.84615384615385,3.70670119779864,3.63739698778062,3.57666015625,3.60918312867058,3.77852600074822,4.01490066225166,4.31824903874593,4.67676295950364,5.0805226374962,5.64237080031254,6.36837487743201,7.29116600980486
Argentina,6.94381513366561,7.99296866921725,8.89547104911141,9.6722479515497,10.3871183046888,10.828173374613,10.8984965110424,11.2014514178202,11.5235353029544,11.5796872254437,11.6284201235658,11.9347196630692,12.5538955178983,13.3713409667992,14.245630174793,15.1152974630115,16.019166019166,17.2840026999662,19.2412708919411,20.793127315663,22.3027083584852
Armenia,11.6822429906542,9.78552278820375,7.78642936596218,7.10280373831776,6.99186991869919,6.74401740391588,5.96421471172962,6.31514408338443,8.43023255813954,10.9947643979058,13.4163208852006,12.4475524475524,12.1443442054129,13.3879781420765,15.7575757575758,17.68251841929,17.6628609805238,17.476383265857,18.1139755766621,20.4529855868222,24.0585774058577
Aruba,0,0,0,3.7037037037037,3.7037037037037,6.66666666666667,9.67741935483871,10,9.375,7.5,11.3636363636364,12.2448979591837,12,15.3846153846154,20.7547169811321,21.5686274509804,26.4150943396226,25.4901960784314,28.3018867924528,28.3018867924528,24
Australia,11.5830115830116,11.2065264061829,10.7562055031749,10.7130554598691,10.7298814722396,11.1858458839012,11.9378577269011,13.0500951173114,13.8748679422467,14.4252108300044,15.2786540483701,16.3738649822345,18.3824216923796,20.1725518100151,22.0307326598183,23.7591537835639,24.9706089818951,26.0641930343729,26.5349745706494,27.129835642001,27.6832598193657
Austria,14.0105622864244,14.7149938042131,15.6497864551556,16.612760952661,16.7187944270685,16.4199944149679,14.8822869955157,15.0543629774185,15.7407407407407,15.8348575908022,17.1701523366899,18.9702574356411,20.4106575409435,21.9594594594595,24.3675417661098,27.6057669581659,30.4163726182075,31.7262464722484,32.2793770646531,33.0723606168446,33.4526366022429
Azerbaijan,10.564930300807,9.32741116751269,7.89049919484702,6.7420814479638,6.28730600875448,5.83783783783784,5.07004669779853,5.13688095970471,5.86568432983848,6.88748685594112,7.83421784179934,7.67549186300704,7.43366880146386,8.70222414165407,11.1501135659715,13.9651372470447,15.3831041257367,16.350251840372,17.1461449942463,19.0185220546114,21.9096823574436
Bahamas,5.55555555555556,4.8780487804878,3.84615384615385,2.89855072463768,4.76190476190476,4.34782608695652,5.76923076923077,5.17241379310345,4.83870967741935,5.75539568345324,7.28476821192053,8.125,8.98203592814371,10.7344632768362,12.972972972973,15.3846153846154,17.3267326732673,19.2307692307692,21.0280373831776,22.6851851851852,23.394495412844
Bahrain,3.2258064516129,4.22535211267606,3.6144578313253,3.1578947368421,4.20168067226891,3.40136054421769,3.48258706467662,2.88065843621399,3.48432055749129,3.28358208955224,4,3.34928229665072,3.44827586206896,4.58167330677291,7.05009276437848,10.5536332179931,14.6141215106732,18.8383045525903,21.6541353383459,23.2352941176471,24.7838616714697
Bangladesh,5.72978977952487,5.71140731556107,5.57184750733138,5.49934420086191,5.37628451929203,5.08375250280803,4.85267885925512,4.85746258748554,4.98227281209181,5.07153944274539,5.30627130293297,5.49934178260757,5.92303898572168,6.80832316659889,7.85337518952741,9.12891348129463,10.6772106117182,12.6145680299512,14.9762480206684,17.5204339832159,19.8189923004188
Barbados,5.15463917525773,6.86274509803922,6.73076923076923,7.40740740740741,9.00900900900901,12.9310344827586,11.864406779661,9.91735537190083,10.3174603174603,10.5691056910569,11.3821138211382,10.7438016528926,13.4920634920635,15.625,19.6850393700787,25,27.5590551181102,28.4552845528455,30.8943089430894,32.2314049586777,33.3333333333333
Belarus,10.5985401459854,10.1923629055412,9.49675324675325,9.60754332313965,9.97590361445783,10.3535937138895,9.58965209634255,9.95280995280995,12.0424292845258,13.3139776026545,14.3828340769067,13.3493554730173,13.4934889986529,14.6577552431436,16.958787304595,18.9953669836625,19.8687200201969,21.3050314465409,23.1125647315345,25.8796821793417,28.833629366489
Belgium,14.6519285042333,14.9678604224059,15.7015590200445,16.2319465402026,16.5217391304348,16.5446559297218,15.4791666666667,16.3876098786103,17.4845360824742,18.4712084347121,19.1698415881291,19.3877551020408,20.9541984732824,22.6624108148704,24.7413155949741,26.8964259664478,28.4552845528455,29.364224137931,29.6422182468694,29.7302126139003,29.7162234517223
Belize,6.06060606060606,5.12820512820513,6.52173913043478,5.45454545454545,5,6.06060606060606,5.55555555555556,4.93827160493827,5.3763440860215,5.45454545454545,4.76190476190476,4.92957746478873,5.69620253164557,6.32183908045977,6.41711229946524,9.31372549019608,10.1851851851852,12.719298245614,14.2857142857143,16.734693877551,18.7250996015936
Benin,10.4712041884817,8.93574297188755,8.21661998132586,7.46395250212044,6.98557327258922,6.36302746148694,5.6910569105691,5.07462686567164,4.50488737781555,4.17690417690418,4.06381697772426,4.14560161779575,4.14964523758332,4.38417239457552,4.75417815998702,5.29563719862227,5.91632443531828,6.59022469307389,7.34797297297297,8.13987372510928,9.07041745559463
Bhutan,3.44827586206896,3.96039603960396,3.53982300884956,3.87596899224806,4.63576158940397,3.82513661202186,4.54545454545454,4.48979591836735,5.35714285714286,5.83657587548638,6.66666666666667,6.45161290322581,7.2192513368984,7.57946210268949,8.6046511627907,9.57683741648107,11.1587982832618,12.8364389233954,15.587044534413,19.7628458498024,22.3735408560311
