Population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1.9136297950999,1.95306691747716,1.99344254846485,2.03623932031884,2.08209444966472,2.12966172574582,2.14751696651603,2.15902231791361,2.21581532071573,2.33079911685385,2.46566966315807,2.57582466590209,2.61211082675845,2.55533565703707,2.38805329937311,2.12959417201908,2.53070887037206,2.53071891837633,2.53070782187086,2.5307151418029,2.53071444522113,2.31767363536621,2.31767824329596,2.3176792971273,2.31768066975282,2.31767924062454,2.08262313561078,2.08262799171166,2.08262129546455,2.08262463806554,2.08262489865483,3.39120542305227,3.39120668713562,3.39120822273211,3.39120922501064,3.39120509279702,2.91713752782288,2.91713711489479,2.91713701217771,2.91714014268341,2.91713919813292,2.87703477223993,2.87703722792794,2.87703948859526,2.87703526496708,2.87703802922228,2.83129936764341,2.83130072226017,2.83129963877111,2.83130186259428,2.83129877692154,2.72029998602883
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,3.12507202276398,3.09299004155673,3.04761292718987,2.99289900945806,2.93206541240606,2.86666913253284,2.79754121117043,2.72626205639367,2.65523578893061,2.58588050792707,2.51905594043779,2.45377460047013,2.39152416801568,2.33487915330736,2.28475628569773,2.24059202055459,2.20208211989264,2.16727366724113,2.13394415437626,2.10135813759892,2.07162328419288,1.99138249556386,1.91052950350001,1.92865160956808,2.07329652464456,2.27032759655106,2.53746723878552,2.6871221331781,2.49883740620722,1.89147521495551,1.02742670375903,0.06722201050622,-0.753570062223099,-1.29646769526026,-1.41965424051212,-1.21320159332841,-0.911626779987588,-0.667099043695436,-0.416954976813721,-0.205209571340269,-0.02828508585999,0.179599653690698,0.402130794484318,0.546214780196012,0.582841072863149,0.54060818846021,0.470183247239116,0.412818751531944,0.369450442918815,0.355374919825626,0.361450678003253,0.364595548758508
Algeria,2.00601494125672,1.89531432572101,1.82934104386756,1.86477844370199,2.02869269610864,2.27423541206486,2.54104544359704,2.76422194975383,2.92231525215284,2.99406257306156,3.00754033168408,3.00755605683848,3.0229773044072,3.04688556328116,3.08605181980504,3.13292251190495,3.16526564307164,3.18398660906548,3.20867184776411,3.24174838893895,3.27303954512565,3.30050472115607,3.30458430257366,3.26580603709704,3.1773721761571,3.05655356419918,2.92188711763418,2.79511724509134,2.68503263066337,2.59899490387196,2.52611522390161,2.46501327286438,2.39076573872667,2.2780000006903,2.11651212440321,1.92896481239999,1.73542366520084,1.57185311699076,1.46235389100036,1.42313514307429,1.43428701550615,1.45781468932332,1.4726446562788,1.4888182581225,1.50085130092595,1.50850618483461,1.5193470860034,1.5294860407677,1.52611669122984,1.50522754568148,1.47134704065321,1.43318466574109
American Samoa,1.42723162400232,2.26447109730711,2.99849487003243,3.47059998439899,3.60148482596482,3.50183120115712,3.36275220830302,3.2573266636775,3.06955569585959,2.81665818122749,2.52351226657728,2.24305082991708,1.99733478744308,1.78585499135361,1.60863212781209,1.49623684330396,1.35545744886057,1.2819637541403,1.43286999076728,1.87070005262479,2.4871716127684,3.12057159635422,3.62856906980505,3.96108121582821,4.06772446582607,4.02086414441829,3.94871932854335,3.87176120994414,3.70472685868022,3.45181129853773,3.1455311712566,2.82877620846974,2.54169725231322,2.29579317240339,2.11136916271831,1.97327115635053,1.83865879977979,1.71614088995747,1.6477280701415,1.64043104982576,1.67644705990202,1.73411766941075,1.78165632315913,1.80478246902038,1.788950640182,1.74797974708399,1.70545914777242,1.67993112752106,1.65519550008783,1.64012992889766,1.63266527012937,1.62800867382076
Andorra,7.10133009541422,6.93067939506815,6.74246014045118,6.53654269887126,6.3018096348268,6.06853392946542,5.82312306260423,5.60376230557526,5.42952350432955,5.30996051198667,5.21058668290033,5.16708294166155,5.09482863290675,4.91481645559456,4.58690104824296,4.21791975981004,3.76769371093175,3.43275089589181,3.40597971146869,3.76478171638558,4.3109533575899,4.95960769602449,5.36995135213219,5.28431919748694,4.62595628831957,3.67754831223347,2.57959279435196,1.73400027060954,1.46784267652246,1.9808091685341,2.9459703443657,4.12607590301093,4.91572230622652,4.90316635769539,3.94457388657954,2.48506646168676,0.812774820512612,-0.494883129703773,-1.02051973170029,-0.407078413839578,1.00919072328943,2.68058546086145,3.9183056170731,4.47520973802898,4.18922911798427,3.38980099031306,2.51784956924511,1.8802022281437,1.44787760502858,1.32329574242989,1.4085826309808,1.52140876101978
Angola,1.78092287114689,1.80951652541084,1.83108832833412,1.82889827518077,1.79563724756363,1.74726343778296,1.69703919115083,1.67222681627967,1.6930789394645,1.77176945522195,1.89163605545688,2.02783465106674,2.15833121658966,2.27990005174679,2.3850801483556,2.4806081805987,2.55000534877905,2.62556029144926,2.75428453054518,2.94895311276247,3.16795595692143,3.40982222261257,3.58414822915098,3.59566161049293,3.41466556381492,3.12490872066145,2.79533574489841,2.54439564972963,2.44695791602316,2.54782926936061,2.77131997918296,3.03486600826632,3.22698986166594,3.29724264602598,3.21217023653504,3.03733523614654,2.83122100089637,2.68990281015527,2.66904622001228,2.801776072338,3.02376551056242,3.2627103672518,3.43101953683354,3.49399919957874,3.42647598563257,3.27683340077213,3.11281574367946,2.98264512823703,2.88292737413435,2.82668443288554,2.79953783593876,2.77286618499114
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1.0113726750904,1.36466934084086,1.7071184901192,1.95027001184764,2.03408520067282,2.01024516655231,1.96571404359423,1.93746020477241,1.87067153538001,1.76196039415602,1.62782674489096,1.46361426390264,1.29132290830167,1.12537230931315,0.972057570114718,0.82738343373964,0.703369009025354,0.557732294262166,0.329466194043159,-0.011342851888687,-0.422016498109798,-0.84223366735426,-1.20774065936139,-1.48031547556022,-1.62242485712638,-1.64308574984133,-1.6519395577869,-1.60723184217738,-1.33304663036606,-0.764053340135559,0.016077945916258,0.883516743115603,1.65622168216034,2.22575834218779,2.50821046819151,2.57803663587721,2.59986460603344,2.62251322240997,2.55009996326455,2.3906582184134,2.17528640243569,1.92454655434723,1.680985521236,1.49056839596493,1.36370721844085,1.29294051999146,1.22700925918144,1.15048054271065,1.0948169719647,1.0544913176615,1.02883431075827,1.01166170521875
