Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,24.3313697212928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.13045014053,,,,,,,100.592869549713,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1459083145343,,,,,,,,,,,,,,,91.5758483155964,,,,94.444630104853,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4353585940222,,,,,,,,81.0657819809996,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.036585365854,,,
Argentina,,,,,,,,,,,,,,,,,,,,,100.874214763687,,,,,,,,,,,100.484082938999,,,,,,,,,,100.42526961181,,,,,,,,100.382051432822,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.001205761935,,,,,,,,,,,,100.10959572454,,,,,,,,100.124658640532,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.287829828956,,,,,,,,,100.208890351605,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.031196461377,,,,,,,,100,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,91.511954933101,,,,,,,,,,99.3009413719491,,,,,,,,,,100.437410087646,,,,,,,,99.9705605516789,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,61.2030830937161,,,,,,,,,,73.4289585389777,,,,,,,,,,89.7153230338568,,,,,,,,103.66035199475,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.068750978928,,,,,,,,,,100.071509115869,,,,,,,,,,100.112905729582,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.743126905195,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,39.9363968982308,,,,,,,,,,,,,48.413178461265,,,,,,,,,,56.1404560068957,,,,,,,66.8733322760389,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9108277849608,,,,,,
Bolivia,,,,,,,,,,,,,,,,,82.9142709906619,,,,,,,,,,,,,,,,95.0659220446548,,,,,,,,,97.5294881893302,,,,,,99.3894652376122,99.4860485583627,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.095667284196,,,,,,,,,100.023377207133,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.394416072136,,,,,,,,,,,,103.81471315754,,,,,,103.209908523347,,
Brazil,,,,,,,,,,,,,,,,,,,,,103.245991426704,,,,,,,,,,,,,,,,,,,,103.308006854593,,,,102.213278159192,,101.61642825944,101.548116077013,101.389832369238,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,99.1225275403428,,,,,,,,,,99.9764418649477,,,,,,,,,,100.038299809332,,,,,,,,99.9243319203478,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7966621349776,,,,,,,,99.8857417844293,,
Burkina Faso,,,,,,,,,,,,,,,,29.7806636579294,,,,,,,,,,,,,,,,52.9092194364124,,,,,54.8912739880604,,,,,,,64.6447853035028,,65.5845107307881,,70.8809600769786,,,,
Burundi,,,,,,,,,,,,,,,,,,,,52.4940499627895,,,,,,,,,,,80.6941240157577,,,,,,,,,,91.6453208197671,,,,,,,,,99.1692548885794,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8354533541044,,,,,,89.736013799159,,,,95.6937163226138,,,
Cameroon,,,,,,,,,,,,,,,,,74.2077605269177,,,,,,,,,,,,,,,,,,,,,,,,88.1704714565551,,,,,,,86.6521757494679,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0712385748738,,,,,,,,,,,,,,101.765316718588,,,,,101.707905067853,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4765245977092,,,,
Central African Rep.,,,,,,,,,,,,,,,,33.2856872604548,,,,,,,,,,,,,55.7080275630782,,,,,,,,,,,,66.6382836958971,,,,,,,,,79.3587298157252,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0842856288313,,,,,,,41.7256058069561,,,,57.300169663347,,,,,72.8152107010363,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,100.971395128083,,,,,,,,,,100.55463845773,,,,,,,,,,100.384297532829,,,,,,100.08201919915,,,
China,,,,,,,,,,,,,,,,,,,,,,,86.2309433523492,,,,,,,,94.3056246469048,,,,,,,,,,99.30079880251,,,,,,,,,99.8044660131507,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.76247731381,,,101.225937445746,,,,,,,,100.879681145179,100.87968457743,100.677966546428,100.96029175221,100.902345104743,101.019682595921,,
Comoros,,,,,,,,,,,,,,,,,,,,,79.1534527411796,,,,,,,,,,,,,,,,,,,,92.3840276923524,,,,,,,,,98.7323784438954,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.900852130126,,,,,,,,84.7455725916479,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8973633008857,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,100.809889438672,,,,,,,,,,,,,,,,100.865161583749,,,,,,,,,100.871359955805,,
