"Residential electricity consumption, per person (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.679264471459,160.612860012379,175.290933588416,226.495982881298,230.918440077385,259.713214112211,344.15911873637,322.399839208317,435.968608935051,642.488583490986,709.142299504726,689.175756610312,875.172323765744,853.940371605624,787.490431075534,767.164192425049,552.078818311646,575.019962377688,636.341383366604
Algeria,,,,,,,,,,,,27.0009894395603,29.5430372377841,33.6295079447422,36.7403150793448,39.3497139945523,45.3954458106582,48.6888499396367,55.0824436914473,59.7476732222589,56.4281366523271,59.8344322131417,74.1881703343352,79.4592703576648,95.6098873946337,104.38779014424,168.651024898357,180.381116180138,192.67524451033,213.54297049262,241.384167171652,250.03094500605,270.749883272246,264.77886620804,276.53298332477,283.714525730958,295.138915714606,293.840567294699,324.773476208849,352.802182314071,372.683342924697,390.13205509045,409.794778315002,451.494726304411,465.453034741721,532.712319215263,504.219322685747,531.577537552932,590.509814347428
Angola,,,,,,,,,,,,67.6317116522026,74.6547584352329,85.8125961172889,107.930112628023,116.603565353628,51.8417663417323,49.987292855781,49.0088066339618,51.1622672710168,52.5202934377023,51.479982325479,53.8836015816694,56.6540033218139,47.1880804198257,55.671798102329,54.4970517494537,53.9832466158596,53.3846831490896,52.7793318970939,52.114975823968,51.2413666474968,50.0319666190018,48.9964914113114,48.1000916899745,47.0286919980806,49.0767437664343,67.25244617127,71.9986770514093,71.6277791326687,76.1426232704371,84.9219950178022,89.3765236599017,98.3531318315189,107.12402069465,122.619630913694,134.434225708747,147.202815737497,172.999227388199
Argentina,,,,,,,,,,,,216.712776849078,225.789035657634,232.927275309959,237.659235296877,255.357306298472,280.662678167054,282.812853684066,291.740574583226,303.868348942087,312.430664736116,310.455083910515,294.449565995103,302.687576570554,316.836199532253,317.774589447407,338.371160489933,372.288957581813,346.889257819566,324.765552839186,336.743177817155,358.781435163061,393.575376174061,426.934017567953,456.736599813449,484.241555100784,493.214068293562,511.507219627028,523.457414095625,555.019652677894,570.16381579172,577.97817048804,554.401329927189,557.05819086319,575.148648913432,614.735424652719,653.544527376787,708.579998172296,768.428299701347
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.307381907573,699.766573119428,717.347157516537,419.995314970742,310.347225643247,208.917367358903,353.919465168547,794.84719843086,578.626586386291,531.001647186985,512.161629892761,487.934581630934,496.469687287023,533.458299796916,549.681723363286,577.728998318417,574.292333082021,594.726182423906,603.763057563433
Australia,653.705288915754,712.000238894654,745.944701271926,799.03609540641,854.650175284963,904.58212435215,963.015017567872,1030.23325795316,1078.47591322182,1159.07078090477,1211.10312981826,1285.51719382865,1362.54315701601,1395.8746614451,1452.41630990286,1606.73440173112,1668.9432359599,1799.2310158376,1862.13207192286,1956.12763089468,1982.44477589474,2044.09022023338,2108.29423084522,2101.00500081203,2135.57567685533,2063.67143264316,2152.16949560972,2187.60261591614,2189.41031001672,2183.0798364862,2264.63613931345,2274.72146471053,2249.46396165605,2298.04029886447,2267.38420674027,2327.78711020116,2355.05738203206,2412.25281457399,2461.12379013904,2495.09179314251,2544.93840837961,2562.60811441752,2622.38555564514,2580.94498961686,2674.79538740844,2757.47959190733,2768.10441943533,2753.2367833183,2825.39109539914
Austria,245.239658048735,267.324441150451,300.480564566168,327.826828214957,360.26301942703,389.293441283452,415.258097919358,450.535318025029,489.205085684487,535.235495504334,591.233919095079,651.408709466938,729.433157997779,800.290082604864,842.626706169913,895.673379115685,975.388758876615,1013.33833304926,1078.43676233635,1110.74805299741,1161.62077867305,982.37962496244,968.276523170227,993.572603144542,1037.764608826,1101.02441659647,1114.46197677083,1456.40951995295,1489.25633349654,1511.44270457996,1538.16006131333,1611.86827573796,1614.06812079744,1645.14018039959,1616.97556661194,1689.16552396273,1761.66931733767,1720.65827777279,1726.71904441129,1735.2677339058,1749.6403474099,1882.60436391451,1935.10480452884,2070.16455183215,2051.68277926623,2085.97644064999,2076.20046430559,2051.88697798466,2068.12330899163
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.791984479549,,,,46.791298852533,1025.46259951867,1277.47569034604,1456.09099860186,1309.18935974507,1334.72812261132,1542.78359301851,1513.16219529166,1422.53065290659,1732.99967004198,1039.68802000771,921.562110759901
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,2782.89143288217,3232.09482250265,3419.9750202477,3425.51507659279,3500.21670600063,3532.05434919378,3625.20184784086,3290.35952596296,3757.11394527952,3984.18755216012,4171.61843634547,4256.50132107663,4524.34221146086,4466.51408962495,4886.53958056018,4965.28679770138,4861.02334353618,5055.445184943,5371.19228150037,5606.20528207326,5805.85570435147,6261.06911505132,7298.92230723534,8450.89731050999,7314.3556367342
Bangladesh,,,,,,,,,,,,1.89267923671612,1.85168012202496,1.87695534752729,2.39734376051788,2.03306453188721,1.73266949387438,1.82804372381037,2.53254362898903,2.66738957070406,2.589110100894,3.27634901727219,3.85782338487339,4.85491969510385,5.57410196555921,6.58747124251724,7.30217212512578,8.21239910577672,8.73741509214763,10.1774656549161,11.1306109555639,12.8042801159132,17.2319587938494,20.0299896846794,21.6103569912872,23.5303993621825,29.2240139115928,29.9854585750957,31.5810102115244,34.7325755272358,42.1987124362745,46.5284615967085,49.943827507639,52.4333715834968,56.6818651438531,59.1086281070514,63.2080486599048,62.5576451196314,68.1152285841314
