Total salaried employees (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,60.9000015258789,,64.8000030517578,59.7999992370606,,,
American Samoa,,,,,,,,,,,97.5999984741211,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,77,,64.5999984741211,,,,,,
Antigua and Barbuda,,,,,,,,,,,,80,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,69,70.3000030517578,70.1999969482422,68.8000030517578,70.1999969482422,70.5999984741211,70.6999969482422,71.6999969482422,72.0999984741211,72.4000015258789,72.3000030517578,71.8000030517578,71.5999984741211,73.5999984741211,74.0999984741211,74.5,75.8000030517578,
Armenia,,,,,,,,,,,,,,,,,,57.4000015258789,55.0999984741211,53.7999992370606,52.7999992370606,51.9000015258789,50,48.9000015258789,47.5999984741211,48.2000007629394,48.7999992370606,49.7000007629394
Aruba,,,,,,,,,,,,92,,,90.1999969482422,,,96.8000030517578,,,,,,,,,,
Australia,83.5,84.0999984741211,83.9000015258789,84,83.9000015258789,84.1999969482422,84,84.1999969482422,84.1999969482422,84.8000030517578,84.9000015258789,84.3000030517578,83.9000015258789,83.5,84.0999984741211,84.5999984741211,84.9000015258789,84.9000015258789,85.4000015258789,85.5,85.9000015258789,86.1999969482422,86.0999984741211,86.5999984741211,86.8000030517578,87.0999984741211,87.5,88
Austria,82.9000015258789,83.3000030517578,84,84,84.6999969482422,85.0999984741211,85.1999969482422,85.0999984741211,85.1999969482422,85.8000030517578,85.8000030517578,86.0999984741211,86.5999984741211,86.9000015258789,86.1999969482422,85.6999969482422,86.0999984741211,86.5,86.4000015258789,86.6999969482422,87,86.9000015258789,87,87.4000015258789,87.1999969482422,86.6999969482422,86.5,85.6999969482422
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,54.7000007629394,33.2000007629394,33.7999992370606,41,41.7999992370606
Bahamas,,,,,,,,,,,,,,85.3000030517578,84.9000015258789,85.1999969482422,81.8000030517578,84.6999969482422,84.9000015258789,83.1999969482422,,85.0999984741211,84,85.1999969482422,84.4000015258789,,,
Bangladesh,,,,,,,,,,,,,,,,,12.3999996185303,,,,12.6000003814697,,,13.6999998092651,,13.8999996185303,,
Barbados,,,,,,,,,,,87.5,87.4000015258789,87,85.8000030517578,86.5999984741211,86.8000030517578,86.1999969482422,87.0999984741211,86.5999984741211,85.5,87,85.5999984741211,85.5999984741211,85.3000030517578,84.4000015258789,,,
Belgium,83.4000015258789,83,82.6999969482422,82.1999969482422,82,82,81.9000015258789,81.8000030517578,81.9000015258789,81.9000015258789,81.9000015258789,81.6999969482422,81.5999984741211,81.0999984741211,81.1999969482422,81.1999969482422,81.0999984741211,81.4000015258789,81.8000030517578,82.0999984741211,,,,,,84.8000030517578,84.9000015258789,
Belize,,,,,,,,,,,,,,70.4000015258789,69.4000015258789,68.3000030517578,65.5999984741211,64.5,66.5999984741211,65,,,,,,69.3000030517578,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,
Bolivia,,,,,,,,,,54,56.9000015258789,56.5,55.4000015258789,56.2000007629394,54.2000007629394,51.5999984741211,49.4000015258789,47.0999984741211,,47.5999984741211,49.7999992370606,34.9000015258789,33.2999992370606,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,
Botswana,,,,,45.9000015258789,,,,,,,,,,66.1999969482422,,,,73.3000030517578,,69.8000030517578,82.6999969482422,,73.1999969482422,,,,
Brazil,,,,,,,,,,,65.8000030517578,,60.5999984741211,60.7999992370606,,60.0999984741211,61.5999984741211,53.2999992370606,53.7000007629394,52.5999984741211,,62.0999984741211,62,62.0999984741211,62.9000015258789,62.7000007629394,63.5999984741211,
British Virgin Islands,,,,,,,,,,,,87.3000030517578,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,94.9000015258789,,,,,,,,,,,,,,,,
