Per capita total expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,14.81829282,18.31276373,20.66559434,21.85966567,23.82013187,28.80876746,31.80972721,33.71030774,37.6667862
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,27.91080533,43.04581793,36.13518413,47.10214156,65.02402417,75.2366226,79.86222152,90.26431823,113.00532389,160.90988059,177.63331514,191.77972905,232.18043877,275.14252038,259.58258479,240.8247849
Algeria,62.05553769,61.76988298,66.89374205,65.98319467,62.52147047,62.6073894,67.81401286,69.92465684,79.62343553,88.98532327,96.14913528,109.84580642,140.85097056,185.84823354,180.54427064,178.24506554
American Samoa,,,,,,,,,,,,,,,,
Andorra,1392.17825347,1506.72014999,1460.07354113,1857.62268851,1424.6318031,1330.41130158,1293.94896131,1485.79012847,1891.38412765,2193.36068934,2355.66023952,2631.37706875,3011.77321916,3391.47002882,3364.32707861,3099.41322539
Angola,15.5683875,11.34438065,13.51675768,9.10151241,8.82515841,15.79229531,21.42584746,18.14977445,23.88995291,25.86101427,36.40979425,64.12393236,85.29308127,148.87881676,201.25701625,123.20109633
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,350.7192983,353.81016218,372.30615754,387.89294754,401.15129935,407.78132619,405.56409375,409.56410968,433.97140594,458.72667133,482.53721093,534.0946347,597.53813959,601.89284642,600.84791327,689.68669172
Argentina,615.26040908,618.92288714,685.65165004,706.19215506,725.70479611,708.70559241,677.72866824,225.35706511,283.27736226,332.44966196,400.33544055,464.21930113,562.40893436,698.45126835,734.09341805,741.83297921
Armenia,25.7381196,29.26079518,30.28429645,35.1630764,34.0302969,38.97543894,41.13969292,41.9923427,51.03744295,64.12591148,77.68618869,86.86695474,116.26410488,142.71827452,128.77436104,133.47676132
Aruba,,,,,,,,,,,,,,,,
Australia,1564.94428448,1760.46283741,1761.0735576,1587.24293074,1744.91406344,1713.13814608,1631.91770786,1846.88094922,2322.95951781,2871.99816521,3136.47499169,3330.21289122,3956.46872365,4229.03306558,3945.38130717,4774.5349072
Austria,2856.18470456,2789.12322012,2549.57557889,2655.28337724,2670.43116551,2373.75540127,2385.36258126,2577.45107763,3194.822203,3682.78390801,3831.20678884,4001.02396624,4604.06822175,5153.35866142,5034.50885926,4958.43296203
Azerbaijan,18.24266198,25.11595475,27.47675755,30.60080824,30.75942262,30.39534628,31.20467428,33.63898826,56.92475905,80.89105277,120.27742416,146.77609997,187.42808607,233.86044575,282.70029571,331.50679782
Bahamas,839.60625362,879.88014453,947.70559153,1019.03506568,1062.28102997,1097.84613524,1102.75223883,1180.50429693,1247.59943359,1341.85590463,1434.087225,1704.02827334,1789.86949172,1833.42556935,1740.67313868,1735.05007806
Bahrain,481.88139619,485.80718538,504.19045056,479.34922211,495.96267676,496.72175655,528.25677649,580.16134519,639.45304413,660.50492601,688.21612762,692.62834511,725.26664661,793.46605183,770.62362794,864.14757011
